Group Size,1,1,1,3,3,3,1,1,1,1,1,1,1,,1,2,2,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Estimated Gender,Male,Hard to Tell,Hard to Tell,Female,Female,Female,Male,Male,Female,Male,Female,Female,Hard to Tell,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Female,Hard to Tell,Female,Male,Hard to Tell,Hard to Tell,Hard to Tell,Female,Female,Male,Male,Hard to Tell,Male,Male,Male,Female,Female,Female,Male,Male,Male,Female,Male,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Male,Female,Female,Female,Male,Female,Female,,,,
Estimated Age Group,21-35,Hard to Tell,Hard to Tell,>50,>50,>50,21-35,Hard to Tell,Hard to Tell,>50,36-50,>50,Hard to Tell,>50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,>50,>50,Hard to Tell,Hard to Tell,36-50,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,36-50,>50,21-35,Hard to Tell,36-50,36-50,21-35,21-35,21-35,,,,,,,,,,,,,21-35,36-50,36-50,21-35,21-35,21-35,21-35,21-35,,,,
Clothing Color,Black,Dark,Dark,Red,Blue,White,Blue,Blue,White,Black,Blue and White,White,Dark Clothing??,White,,Bright,Bright,Dark,Dark,Dark?,Dark,Dark,Dark,White,Black,Blue,White,Black,White,White,Dark,Dark,white,grey,Black,Green,Black,Red,Black,Black,Black/Purple,Black,Red,Black,Hard to Tell,Hard to Tell,Hard to Tell,Green,Black,White,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Green,Black,Red,Blue,Red,Grey,Grey,Black,,,,
Visibility Scale,3,3,3,3,3,3,3,3,3,3,3,3,2,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,2,3,2,3,3,2,3,3,3,3,3,3,3,3,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,No,No,No,No,No,No,No,No,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has a baby,,,,Motorized Chair User,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:40:29 PM,3:40:29 PM,4:43:44 PM,4:43:44 PM,4:43:44 PM,4:43:52 PM,4:43:52 PM,4:43:52 PM,4:43:52 AM,4:43:52 PM,4:43:52 AM,4:43:52 PM,4:43:52 PM,4:43:52 PM,5:06:32 PM,5:06:32 PM,5:06:32 PM,5:48:43 PM,6:08:41 PM,6:08:41 PM,6:08:41 PM,18:09:10,6:08:41 PM,6:08:41 PM,6:08:41 PM,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:41:01 PM,3:41:01 PM,4:43:58 PM,4:43:58 PM,4:43:58 PM,4:44:17 PM,4:44:17 PM,4:44:17 PM,4:44:17 PM,4:44:17 PM,4:44:17 AM,4:44:17 PM,4:44:17 PM,4:44:17 PM,5:06:46 PM,5:06:46 PM,5:06:46 PM,,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Turned on Gothic, did not cross",,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing?,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Pedestrian Phase Crossing?,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,No,No,No,N/A,No,No,,,,,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,
Intend to Cross Timestamp,3:00:33 PM,3:00:32 PM,3:00:32 PM,3:01:07 PM,3:01:07 PM,3:01:07 PM,3:01:19 PM,3:02:44 PM,3:02:45 PM,3:03:10 PM,3:03:41 PM,3:04:28 PM,3:04:55 PM,3:06:09 PM,3:07:15 PM,3:07:14 PM,3:07:14 PM,3:09:15 PM,3:09:11 PM,3:09:11 PM,3:12:55 PM,3:12:55 PM,3:14:38 PM,3:14:45 PM,3:14:38 PM,3:14:52 PM,3:14:52 PM,3:17:03 PM,3:20:15 PM,3:20:45 PM,3:21:30 PM,3:21:27 PM,3:23:40 PM,3:23:38 PM,3:23:38 PM,3:37:24 PM,3:37:25 PM,3:37:29 PM,3:37:35 PM,3:37:35 PM,3:37:53 PM,3:38:20 PM,3:40:38 PM,3:40:45 PM,,,,,4:44:35 PM,4:44:38 PM,4:45:00 PM,4:45:00 PM,4:44:12 PM,4:44:20 PM,4:44:21 PM,4:44:22 PM,4:06:46 PM,5:06:52 PM,5:06:55 PM,5:49:23 PM,,,,6:09:08 PM,6:09:01 PM,6:09:02 PM,6:09:04 PM,
Crossing Start Time,3:00:34 PM,3:00:33 PM,3:00:33 PM,3:01:10 PM,3:01:10 PM,3:01:10 PM,3:02:21 PM,3:02:45 PM,3:02:50 PM,3:03:11 PM,3:03:42 PM,3:04:30 PM,3:04:56 PM,3:06:10 PM,3:07:16 PM,3:07:15 PM,3:07:15 PM,3:09:16 PM,3:09:14 PM,3:09:14 PM,3:12:56 PM,3:12:56 PM,3:14:48 PM,3:14:47 PM,3:14:51 PM,3:14:52 PM,3:14:52 PM,3:17:06 PM,3:20:16 PM,3:20:46 PM,3:21:31 AM,3:21:30 PM,3:23:41 PM,3:23:39 PM,3:23:39 PM,3:38:25 PM,3:38:26 PM,3:37:30 PM,3:37:36 PM,3:37:36 PM,3:37:54 PM,3:38:21 PM,3:40:39 PM,3:40:45 PM,,,,,4:44:36 PM,4:44:39 PM,4:45:02 PM,4:45:02 PM,4:44:19 PM,4:44:23 PM,4:44:24 PM,4:44:25 PM,5:06:48 PM,5:06:54 PM,5:06:56 PM,5:49:24 PM,,,,6:09:09 PM,6:09:03 PM,6:09:04 PM,6:09:05 PM,
Refuge Island Start Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3:37:44 PM,3:37:44 PM,3:37:58 PM,N/A,3:40:45 PM,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,
Refuge Island End Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3:37:45 PM,3:37:45 PM,3:38:00 PM,N/A,3:40:48 PM,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,
Did User Finish Crossing During Pedestrian Phase?,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Yes,,,,N/A,Yes,Yes,Yes,
Crossing End Time,3:00:39 PM,3:00:46 PM,3:00:54 PM,3:01:18 PM,3:01:18 PM,3:01:18 PM,3:02:30 PM,3:02:53 PM,3:03:16 PM,3:03:24 PM,3:03:50 PM,3:04:38 PM,3:05:08 PM,3:06:22 PM,3:07:30 PM,3:07:32 PM,3:07:33 PM,3:09:31 PM,3:09:32 PM,3:09:33 PM,3:13:17 PM,3:13:19 PM,3:14:56 PM,3:15:12 PM,3:15:02 PM,3:15:25 PM,3:15:25 PM,3:17:19 PM,3:20:43 PM,3:20:56 PM,3:21:50 PM,3:21:44 PM,3:24:01 PM,3:23:49 PM,3:23:54 PM,3:37:32 PM,3:37:33 PM,3:37:40 PM,3:37:53 PM,3:37:53 PM,3:38:03 PM,3:38:28 PM,3:40:50 PM,3:40:52 PM,,,,,4:44:45 PM,4:44:47 PM,4:45:11 PM,4:45:11 PM,4:44:30 PM,4:44:34 PM,4:44:35 PM,4:44:36 PM,5:06:56 PM,5:07:17 PM,5:07:11 PM,5:49:48 PM,,,,6:09:17 PM,6:09:18PM,6:09:20 PM,6:09:22 PM,
Crossing Interaction Notes,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Other,Walk,Walk,,,,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,,,,Walk,Walk,Walk,Walk,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,No,No,No,No,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Front,In Front,In Front,Behind,Behind,Behind,In Front,Behind,In Front,,,,,In Front,In Front,In Front,In Front,Behind,Behind,Behind,Behind,In Front,In Front,In Front,Behind,,,,N/A,N/A,N/A,N/A,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Upstream,Upstream,Downstream,Upstream,Upstream,Downstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,At,At,Upstream,Downstream,At,Downstream,,,,,Downstream,Downstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Upstream,,,,Downstream,Upstream,Upstream,Upstream,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,Light,Zero,Zero,Light,Light,Light,Light,Light,Zero,Zero,Zero,Zero,Zero,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Zero,Zero,Zero,Light,Light,Light,Light,Light,Light,Light,Light,Light,,,,,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,,,,Light,Light,Light,Light,
General Reviewer Notes,,diagonally,,Gothic,Gothic,Gothic,Gothic,Gothic,Gothic,Gothic,Gothic,Gothic,Crossed at ped. phase,Gothic,Crossed at ped. phase,Crossed Diagonally,Crossed Diagonally,,,,,,,,,jaywalk,jaywalk,jaywalk,jaywalk,jaywalk,,,,,,Crossed At Gothic,Crossed At Gothic,Crossed At Gothic,,,Crossed At Gothic,Crossed at Gothic,,Crossed At Gothic,,,,,Crossed at Gothic,Crossed at Gothic,Crossed at Gothic,Crossed at Gothic,,,,,Crossed at Gothic,Crossed at Gothic,Crossed at Gothic,,Crossed at Gothic,Crossed at Gothic,Crossed at Gothic,Crossed at Gothic,,,,
