Group Size,1,1,1,1,2,2,1,3,3,3,1,1,1,1,1,1,1,3,3,3,1,1,1,2,2,2,4,4,4,4,,,,,,,,,,,
Estimated Gender,Male,Male,Male,Male,Male,Male,Male,Hard to Tell,Hard to Tell,Male,Male,Male,Female,Male,Male,Male,Female,Hard to Tell,Hard to Tell,Hard to Tell,Male,Hard to Tell,Male,Male,Female,Male,Male,Female,Hard to Tell,Hard to Tell,,,,,,,,,,,
Estimated Age Group,21-35,21-35,21-35,21-35,36-50,36-50,>50,Hard to Tell,Hard to Tell,Hard to Tell,>50,21-35,>50,21-35,Hard to Tell,Hard to Tell,36-50,0-20,Hard to Tell,Hard to Tell,36-50,21-35,21-35,36-50,36-50,Hard to Tell,21-35,21-35,0-20,0-20,,,,,,,,,,,
Clothing Color,Grey,Black,White,Black,Black,Black,Red,Black,Black,White,White,White,Black,Black,White,Black,Black,Grey,White,White,Salmon,Black,Grey,Green,Black,Black,Black/White,Black,Red,Red,,,,,,,,,,,
Visibility Scale,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,Man was walking a dog,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,6:18:46 PM,6:18:46 PM,6:18:46 PM,6:18:46 PM,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,6:19:08 PM,6:19:08 PM,6:19:08 PM,6:19:08 PM,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,
Intention to Cross Time Stamp,3:00:57 PM,3:05:28 PM,3:06:21 PM,3:10:45 PM,3:13:05 PM,3:13:05 PM,3:18:38 PM,3:24:02 PM,3:24:02 PM,3:24:02 PM,3:27:24 PM,3:27:49 PM,3:28:07 PM,3:28:48 PM,3:31:11 PM,3:32:24 PM,3:32:37 PM,3:34:29 PM,3:34:29 PM,3:34:29 PM,3:37:37 PM,3:41:25 PM,3:45:22 PM,3:57:36 PM,3:57:36 PM,3:58:19 PM,6:19:35 PM,6:19:35 PM,6:19:35 PM,6:19:35 PM,,,,,,,,,,,
Crossing Start Time,3:00:57 PM,3:05:28 PM,3:06:29 PM,3:10:45 PM,3:13:05 PM,3:13:05 PM,3:18:38 PM,3:24:02 PM,3:24:02 PM,3:24:02 PM,3:27:24 PM,3:27:55 PM,3:28:07 PM,3:28:48 PM,3:31:11 PM,3:32:24 PM,3:32:37 PM,3:34:29 PM,3:34:29 PM,3:34:29 PM,3:37:37 PM,3:41:25 PM,3:45:22 PM,3:57:36 PM,3:57:36 PM,3:58:19 PM,6:19:35 PM,6:19:35 PM,6:19:35 PM,6:19:35 PM,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,3:28:15 AM,,,,,,,,,,,,,,6:19:45 PM,6:19:45 PM,6:19:45 PM,6:19:45 PM,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,3:28:31 PM,,,,,,,,,,,,,,6:19:49 PM,6:19:49 PM,6:19:49 PM,6:19:49 PM,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:01:03 PM,3:05:39 PM,3:06:35 PM,3:10:49 PM,3:13:13 PM,3:13:13 PM,3:18:49 PM,3:24:10 PM,3:24:10 PM,3:24:25 PM,3:27:33 PM,3:28:03 PM,3:28:42 PM,3:28:55 PM,3:31:19 PM,3:32:31 PM,3:32:45 PM,3:34:32 PM,3:34:36 PM,3:34:36 PM,3:37:45 PM,3:41:32 PM,3:45:29 PM,3:57:50 PM,3:57:50 PM,3:58:28 PM,6:20:02 PM,6:20:02 PM,6:20:02 PM,6:20:02 PM,,,,,,,,,,,
Crossing Interaction Notes,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Cyclist,Walk,Walk,Walk,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,
Crossing Location Relative to Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,At,Downstream,Downstream,Downstream,Upstream,Downstream,Upstream,Downstream,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,,,,,,,,,,,,,
Noteworthy Events,Pedestrian was crossing to his car,,,,,,,,,,,,"Pedestrian crossed, waited at the corner and crossed again",,,,Car had to stop for predestrian,,,,,,,,,,Pedestrian picked up child midway through second crossing, ,,,,,,,,,,,,,
Driver Behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
