Group Size,1,1,1,1,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,3,3,3,1,1,1,2,2,1,1,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Male,Male,Male,Male,Male,Male,Male,Hard to Tell,Hard to Tell,Male,Male,Male,Female,Male,Male,Male,Female,Female,Female,Hard to Tell,Hard to Tell,Hard to Tell,Male,Hard to Tell,Male,Female,Male,Hard to Tell,Hard to Tell,Male,Female,Female,Female,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,21-35,Hard to Tell,21-35,Hard to Tell,36-50,36-50,>50,Hard to Tell,Hard to Tell,Hard to Tell,>50,Hard to Tell,Hard to Tell,36-50,Hard to Tell,Hard to Tell,36-50,>50,>50,0-20,Hard to Tell,Hard to Tell,>50,Hard to Tell,36-50,>50,>50,Hard to Tell,Hard to Tell,21-35,36-50,0-20,21-35,0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,grey,black,white,black,black,black,brown,grey,grey,white,white,white,black,black,white,black,black,white,black,grey,black,black,brown,black,beige,green,navy,black,grey,blue,black,red,red,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,2,2,3,2,2,2,2,2,2,3,3,3,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,No,No,No,Yes,No,No,Hard to Tell,Hard to Tell,Hard to Tell,No,Hard to Tell,No,No,No,Hard to Tell,Hard to Tell,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,,,,,,,walks a dog,,,,,,,,,,calling on the phone,,,,,,walks with dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:18:45 PM,6:18:45 PM,6:18:45 PM,6:18:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:19:08 PM,6:19:08 PM,6:19:08 PM,6:19:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intention to Cross Time Stamp,3:00:56 PM,3:05:29 PM,3:06:21 PM,3:10:44 PM,3:13:06 PM,3:13:06 PM,3:18:36 PM,3:24:02 PM,3:24:02 PM,3:24:02 PM,3:27:25 PM,3:27:47 PM,3:28:07 PM,3:28:48 PM,3:31:11 PM,3:32:24 PM,3:32:37 PM,3:33:36 PM,3:33:36 PM,3:34:26 PM,3:34:26 PM,3:34:26 PM,3:37:33 PM,3:41:23 PM,3:45:20 PM,3:56:50 PM,3:56:50 PM,3:58:18 PM,4:07:45 PM,4:13:08 PM,6:19:33 PM,6:19:33 PM,6:19:33 PM,6:19:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,3:00:56 PM,3:05:29 PM,3:06:29 PM,3:10:44 PM,3:13:06 PM,3:13:06 PM,3:18:41 PM,3:24:03 PM,3:24:03 PM,3:24:05 PM,3:27:25 PM,3:27:55 PM,3:28:07 PM,,3:31:11 PM,3:32:24 PM,3:32:37 PM,3:34:00 PM,3:34:00 PM,3:34:27 PM,3:34:27 PM,3:34:27 PM,3:37:37 PM,3:41:26 PM,3:45:21 PM,3:56:50 PM,3:56:50 PM,3:58:18 PM,4:07:58 PM,4:13:09 PM,6:19:36 PM,6:19:36 PM,6:19:36 PM,6:19:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,3:28:19 PM,,,,,,,,,,3:37:45 PM,,,3:56:56 PM,3:56:56 PM,,,,6:19:44 PM,6:19:44 PM,6:19:44 PM,6:19:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,3:28:29 PM,,,,,,,,,,3:37:59 PM,,,3:57:35 PM,3:57:35 PM,,,,6:19:50 PM,6:19:50 PM,6:19:50 PM,6:19:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:01:02 PM,3:05:33 PM,3:06:36 PM,3:10:49 PM,3:13:12 PM,3:13:12 PM,3:18:49 PM,3:24:10 PM,3:24:10 PM,3:24:15 PM,3:24:33 PM,3:28:04 PM,3:28:41 PM,3:28:48 PM,3:31:19 PM,3:32:31 PM,3:32:45 PM,3:34:20 PM,3:34:20 PM,3:34:31 PM,3:34:36 PM,3:34:36 PM,3:38:10 PM,3:41:32 PM,3:45:29 PM,3:57:47 PM,3:57:47 PM,3:58:26 PM,4:08:05 PM,4:13:17 PM,6:20:02 PM,6:20:02 PM,6:20:02 PM,6:20:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,At,Downstream,Downstream,Downstream,Upstream,Downstream,Upstream,Downstream,Downstream,Downstream,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,crossed to get to car,,"ped waited at crosswalk, then decided to cross a couple yards away from crosswalk",,,,,,,,,,"first crossing was at black and at crosswalk, second crossing was at pink and diagnally: started at crosswalk, ended 10 yards away from the croswalk",,,,,,,,,,"first crossing was at black and not at crosswalk, second was at pink and at crosswalk",,,"first cross is at pink and at crosswalk, second cross is at black and not at crosswalk","first cross is at pink and at crosswalk, second cross is at black and not at crosswalk",,,,"first crossed at black at crosswalk during crossing phase, then crossed pink at crosswalk not during crossing phase but there were no cars driving at that time","first crossed at black at crosswalk during crossing phase, then crossed pink at crosswalk not during crossing phase but there were no cars driving at that time","first crossed at black at crosswalk during crossing phase, then crossed pink at crosswalk not during crossing phase but there were no cars driving at that time","picked up kid during first crossing and carried till done with both crossings. first crossed at black at crosswalk during crossing phase, then crossed pink at crosswalk not during crossing phase but there were no cars driving at that time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver Behavior,medium,light,medium,medium,light,light,medium,medium,medium,medium,light,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,light,medium,medium,medium,medium,medium,high,high,high,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
