Group Size,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,5,5,5,5,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1
Estimated Gender,male,female,male,male,male,male,male,male,male,male,female,female,male,male,female,male,male,female,male,female,female,female,female,female,female,female,female,female,female,,male,female,,female,female,female,male,male,male,female,,male,female,,female,female,female,male,female,male,,male,male,male,male
Estimated Age Group,36-50,36-50,21-35,21-35,21-35,21-35,21-35,36-50,,21-35,21-35,21-35,21-35,21-35,,other,36-50,,other,,21-35,21-35,21-35,21-35,21-35,,,,,21-35,36-50,36-50,other,36-50,36-50,36-50,36-50,,,,,21-35,36-50,other,36-50,,other,,other,other,,,21-35,21-35,
Clothing Color,,,red,black,,,white,red,black,white,red,blue,white,black,black,black,red,white,blue,black,white,blue,,,,white,,blue,,black,blue,black,,black,black,white,white,blue,black,white,black,white,white,black,black,black,white,black,white,black,white,black,white,white,
Visibility Scale,3,3,3,2,2,2,3,3,2,3,3,3,3,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,other,2,2,3,3,3,2,3,3,3,3,3,2,2,3,2,3,2,3,2,3,3,3
Estimated Visible Distrction,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Roadway Crossing,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes
Type of Bus Interaction,,,,,,,,,,,,,,,boarded,,boarded,boarded,boarded,boarded,,,,,,,,,,,,,,,,,,,boarded,boarded,boarded,alighted,alighted,alighted,boarded,boarded,boarded,waited,waited,waited,waited,boarded,boarded,boarded,boarded
Bus Stop Arrival Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:10:50,N/A,15:10:50,15:10:50,15:10:50,15:10:50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:45:39,15:45:39,15:45:39,15:45:39,15:45:39,15:45:39,16:16:03,16:16:03,16:36:53,N/A,N/A,N/A,N/A,17:39:44,17:39:44,15:10:50,17:39:44
Bus Stop Departure Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:11:19,N/A,15:11:19,15:11:19,15:11:19,15:11:19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:46:02,15:46:02,15:46:02,15:46:02,15:46:02,15:46:02,16:16:26,16:16:26,16:37:06,N/A,N/A,N/A,N/A,17:39:53,17:39:53,15:11:20,17:39:53
Noteworthy Events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crosswalk Crossing?,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,,,,yes,,,yes,yes,no,no,no
Pedestrian Phase Crossing?,no,yes,yes,no,,,no,,yes,yes,yes,yes,yes,yes,yes,yes,,,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,,,yes,,,,,,,,,no,,,yes,yes,no,,
Intend to Cross Timestamp,15:00:42,15:02:21,15:03:11,15:03:57,15:06:04,15:06:04,15:07:08,15:07:45,15:08:06,15:08:51,15:09:35,15:09:35,15:09:44,15:09:44,15:09:48,15:09:50,15:10:44,N/A,N/A,N/A,15:11:24,15:11:24,15:11:24,15:11:24,15:11:24,15:11:29,15:11:36,15:11:36,15:11:36,15:11:38,15:12:13,15:12:13,15:12:59,15:13:37,15:14:20,15:15:29,15:15:32,15:17:10,15:43:50,N/A,N/A,15:45:53,15:45:53,15:45:53,N/A,N/A,N/A,16:41:55,N/A,N/A,17:01:55,17:29:28,17:38:09,N/A,17:38:09
Crossing Start Time,15:00:49,15:02:23,15:03:25,15:03:58,15:06:10,15:06:10,15:07:11,15:07:48,15:08:11,15:08:58,15:09:42,15:09:42,15:09:47,15:09:47,15:09:49,15:09:50,15:10:45,N/A,N/A,N/A,15:11:26,15:11:26,15:11:26,15:11:26,15:11:26,15:11:31,15:11:37,15:11:37,15:11:37,15:11:39,15:12:18,15:12:19,15:13:00,15:13:42,15:14:25,15:15:32,15:15:34,15:17:12,15:43:54,N/A,N/A,15:45:55,15:45:55,15:45:55,N/A,N/A,N/A,16:41:56,N/A,N/A,17:02:01,17:29:39,17:38:10,N/A,17:38:10
Refuge Island Start Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Refuge Island End Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Did User Finish Crossing During Pedestrian Phase?,no,yes,yes,no,,,no,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,
Crossing End Time,15:00:57,15:02:35,15:03:41,15:04:04,15:06:19,15:06:19,15:07:16,15:08:07,15:08:18,15:09:04,15:09:53,15:09:53,15:09:56,15:09:56,15:09:57,15:09:59,15:10:58,N/A,N/A,N/A,15:11:36,15:11:36,15:11:36,15:11:36,15:11:36,15:11:41,15:11:46,15:11:46,15:11:46,15:11:51,15:12:27,15:12:29,15:13:08,15:13:51,15:14:36,15:15:40,15:15:43,15:17:22,15:44:01,N/A,N/A,15:46:08,15:46:10,15:46:11,N/A,N/A,N/A,16:42:05,N/A,N/A,17:02:13,17:29:50,17:38:22,N/A,17:38:22
Crossing Interaction Notes,courtesy,walk,walk,run,walk,walk,run,walk,courtesy,walk,walk,walk,walk,walk,walk,walk,walk,,,,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,run,walk,walk,walk,run,walk,walk,,,walk,walk,walk,,,,walk,,,,,,,
Bus Presence,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,yes,yes,yes,,,,no,,,no,no,no,,no
Crossing Location Relative to Bus,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,behind,behind,behind,,,,,,,,,,,
Crossing Location Relative to Bus Stop,upstream,upstream,upstream,upstream,downstream,downstream,upstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,upstream,,,,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,,,upstream,upstream,upstream,,,,upstream,,,upstream,upstream,downstream,,downstream
Bus Noteworthy Events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vehicle Traffic,medium,medium,light,medium,light,light,light,light,light,light,medium,medium,medium,medium,,medium,high,,,,high,high,high,high,high,high,high,high,high,high,high,high,medium,light,medium,medium,medium,high,high,,,high,high,high,,,,light,,,high,high,high,,light
General Reviewer Notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
