Estimated Age Group,36-50,36-50,36-50,21-35,,,,36-50,21-35,,36-50,36-50,21-35,21-35,21-35,,36-50,,36-50,21-35,,,,,,,,,,21-35,36-50,36-50,21-35,36-50,36-50,,,,,,36-50,other,other,other,36-50,36-50,,,,36-50,,,,
Clothing Color,,,red,black,grey,black,white,red,black,,red,,white,black,black,black,red,white,blue,black,white,blue,orange,red,black,white,yellow,,white,black,blue,black,white,black,red,,,,black,white,brown,white,white,black,black,white,white,black,white,black,white,black,white,
Visibility Scale,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,,,,3,3,3,3,3,3,3,3,3,,1,1,3,3,3,
Estimated Visible Distrction,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
Roadway Crossing,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,,,,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,
Type of Bus Interaction,,,,,,,,,,,,,,,boarded,,boarded,boarded,boarded,boarded,,,,,,,,,,,,,,,,,,,boarded,boarded,boarded,alighted,alighted,alighted,boarded,boarded,boarded,waited,waited,waited,waited,boarded,boarded,
Bus Stop Arrival Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:10:49,N/A,15:10:49,15:10:49,15:10:49,15:10:49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:45:38,15:45:38,15:45:38,15:45:38,15:45:38,15:45:38,16:16:03,16:16:03,16:36:53,N/A,N/A,N/A,N/A,17:39:42,17:39:42,N/A
Bus Stop Departure Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:11:19,N/A,15:11:19,15:11:19,15:11:19,15:11:19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:46:01,15:46:01,15:46:01,15:46:01,15:46:01,15:46:01,16:16:26,16:16:03,16:00:00,N/A,N/A,N/A,N/A,17:39:52,17:39:52,N/A
Noteworthy Events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crosswalk Crossing?,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,,,yes,no,no,yes,yes,yes,no,no,no,yes,,,yes,yes,no,
Pedestrian Phase Crossing?,,yes,yes,no,,,,,,yes,yes,yes,yes,yes,yes,yes,,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,,,yes,no,no,yes,yes,yes,no,no,no,no,,,yes,yes,no,
Intend to Cross Timestamp,N/A,15:02:21,15:03:11,15:03:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:09:42,15:09:47,N/A,15:09:50,15:10:44,N/A,N/A,N/A,15:11:23,15:11:23,15:11:24,15:11:24,15:11:24,15:11:29,15:11:35,03:11:36,03:11:36,15:11:38,15:12:12,15:12:12,15:12:59,15:13:37,15:14:20,N/A,N/A,N/A,15:43:50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:41:55,N/A,N/A,17:01:55,17:29:27,17:38:09,N/A
Crossing Start Time,15:00:49,15:02:23,15:03:20,15:03:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:09:42,N/A,N/A,N/A,15:10:45,N/A,N/A,N/A,15:11:26,15:11:26,15:11:26,15:11:26,15:11:26,15:11:31,03:11:36,15:11:37,15:11:37,15:11:39,15:12:18,15:12:18,15:13:00,15:13:40,15:14:24,N/A,N/A,N/A,15:43:53,N/A,N/A,15:45:54,15:45:54,15:45:54,N/A,N/A,N/A,16:41:56,N/A,N/A,17:02:01,17:29:39,17:38:09,N/A
Refuge Island Start Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Refuge Island End Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Did User Finish Crossing During Pedestrian Phase?,,yes,yes,no,,,,,,yes,yes,yes,yes,yes,yes,yes,,,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,,,yes,,,yes,yes,yes,,,,,,,,yes,,
Crossing End Time,15:00:57,15:02:35,N/A,15:04:04,15:06:19,15:06:19,N/A,15:08:07,15:07:16,N/A,N/A,N/A,15:09:56,15:09:57,N/A,15:09:59,05:10:58,N/A,N/A,N/A,15:11:36,15:11:36,15:11:36,15:11:36,15:11:36,15:11:40,15:11:46,15:11:46,15:11:46,15:11:51,15:12:27,15:12:28,15:13:08,15:13:51,15:14:36,N/A,N/A,N/A,15:44:01,N/A,N/A,15:46:09,15:46:10,15:46:11,N/A,N/A,N/A,16:42:04,N/A,N/A,17:02:13,17:29:50,17:38:22,N/A
Crossing Interaction Notes,courtesy,walk,walk,run,walk,walk,run,walk,run,walk,walk,walk,walk,walk,walk,walk,walk,,,,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,,walk,walk,,,,walk,,,walk,walk,walk,,,,walk,,,walk,walk,walk,
Bus Presence,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,no,,,yes,yes,yes,,,,no,,,no,no,no,
Crossing Location Relative to Bus,,,,,,,,,,,,,,,,,front,,,,,,,,,,,,,,,,,,,,,,,,,behind,behind,behind,,,,,,,,,,
Crossing Location Relative to Bus Stop,upstream,upstream,upstream,upstream,downstream,downstream,upstream,downstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,downstream,,,,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,,,,upstream,,,upstream,upstream,upstream,,,,upstream,,,upstream,upstream,downstream,
Bus Noteworthy Events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vehicle Traffic,medium,medium,medium,medium,light,light,light,light,light,light,light,light,light,light,light,light,high,,,,medium,high,high,high,high,high,high,high,high,high,high,high,high,light,medium,,,,high,,,high,high,high,,,,light,,,high,high,high,
General Reviewer Notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
