Crossing Start Time,3:00:49 PM,3:02:25 PM,3:03:25 PM,3:03:57 PM,3:06:10 PM,3:06:10 PM,3:07:10 PM,3:07:48 PM,3:08:11 PM,3:08:58 PM,3:09:42 PM,3:09:42 PM,3:09:42 PM,3:09:42 PM,3:09:48 PM,3:09:50 PM,3:10:45 PM,,,,3:11:26 PM,3:11:26 PM,3:11:26 PM,3:11:26 PM,3:11:26 PM,3:11:31 PM,3:11:37 PM,3:11:37 PM,3:11:37 PM,3:11:39 PM,3:12:18 PM,3:12:19 PM,3:13:01 PM,3:13:40 PM,3:14:25 PM,3:15:32 PM,3:15:32 PM,3:17:12 PM,3:43:54 PM,,,3:45:54 PM,3:45:54 PM,3:45:54 PM,,,,4:41:56 PM,,,5:02:02 PM,5:29:39 PM,5:38:09 PM,,6:05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase?,No,Yes,Yes,No,N/A,N/A,No,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:00:57 PM,3:02:37 PM,3:03:41 PM,3:04:04 PM,3:06:19 PM,3:06:19 PM,3:07:16 PM,3:08:07 PM,3:08:17 PM,3:09:04 PM,3:09:55 PM,3:09:55 PM,3:09:56 PM,3:09:56 PM,3:09:57 PM,3:09:59 PM,3:10:58 PM,,,,3:11:36 PM,3:11:36 PM,3:11:36 PM,3:11:36 PM,3:11:36 PM,3:11:40 PM,3:11:46 PM,3:11:46 PM,3:11:46 PM,3:11:50 PM,3:12:27 PM,3:12:28 PM,3:13:14 PM,3:13:51 PM,3:14:36 PM,3:15:40 PM,3:15:43 PM,3:17:24 PM,3:44:02 PM,,,3:46:08 PM,3:46:10 PM,3:46:11 PM,,,,4:42:04 PM,,,5:02:13 PM,5:29:50 PM,5:38:22 PM,,6:05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Courtesy Run,Walk,Walk,Run,Walk,Walk,Run,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Run,Walk,Walk,Walk,Run,Walk,Walk,,,Walk,Walk,Walk,,,,Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,Yes,Yes,,,,No,,,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Front,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,Behind,Behind,Behind,,,,N/A,,,N/A,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,,,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,Upstream,Upstream,Upstream,,,,Upstream,,,Upstream,Upstream,Downstream,,Downstream,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,We cant tell if user activated RRFB,User activated RRFB,User activated RRFB,User did not activate RRFB,Jaywalk,Jaywalk,User did not activate RRFB,"User had a limp, close call with car",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,Medium,Medium,Light,Medium,Light,Light,Light,Light,Light,Light,Medium,Medium,Medium,Medium,Medium,Medium,High,,,,High,High,High,High,High,High,High,High,High,High,High,High,Medium,Light,Medium,Medium,Medium,High,High,,,High,High,High,,,,Light,,,High,High,High,,Light,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
