Estimated Gender,Hard to Tell,Hard to Tell,Hard to Tell,Female,Female,Female,Male,Male,Hard to Tell,Male,Male,Male,Hard to Tell,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Male,Female,Female,Male,Female,Male,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Female,Male,Female,Hard to Tell,Hard to Tell,Hard to Tell,Female,Female,Male,Male,Male,Male,Female,Male,Female,Female,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Female,Male,Male,Female,Male,Female,Hard to Tell,Hard to Tell,Male,Female,,,,,,,
Estimated Age Group,Hard to Tell,Hard to Tell,Hard to Tell,36-50,>50,36-50,36-50,21-35,Hard to Tell,36-50,36-50,36-50,Hard to Tell,>50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,>50,>50,Hard to Tell,Hard to Tell,36-50,Hard to Tell,>50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,>50,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,21-35,21-35,21-35,36-50,0-20,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,36-50,21-35,21-35,21-35,Hard to Tell,Hard to Tell,0-20,21-35,,,,,,,
Clothing Color,Hard to Tell,Hard to Tell,Hard to Tell,white,black,red,BLUE,BLACK,WHITE,BLACK,WHITE,WHITE,WHITE,WHITE,Hard to Tell,Hard to Tell,Hard to Tell,WHITE,BLACK,BLACK,WHITE,WHITE,WHITE,WHITE,BLACK,WHITE,BLACK,Hard to Tell,Hard to Tell,WHITE,WHITE,WHITE,WHITE,BLACK,BLACK,GREEN,BLACK,RED,BLACK,BLACK,Hard to Tell,BLUE,RED,BLACK,WHITE,WHITE,BLACK,GREEN,BLACK,WHITE,WHITE,WHITE,BLACK,BLACK,BLACK,BLACK,BLACK,PINK,BLACK,BLACK,RED,GREY,BLACK,Hard to Tell,Hard to Tell,GREY,BLACK,,,,,,,
Visibility Scale,2,2,2,3,3,3,3,3,1,3,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,,,,1,3,3,1,1,1,3,3,3,2,2,2,3,3,3,2,2,1,1,1,1,3,3,3,1,3,3,3,1,1,3,3,,,,,,,
Estimated Visible Distrction,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,No,No,Hard to Tell,No,No,No,Hard to Tell,No,Hard to Tell,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,
User Notes,,,,,,,,,,,,THE PED WAS WALKING WITH A BICYCLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:37:07 PM,3:37:07 PM,3:37:07 PM,3:37:07 PM,3:37:07 PM,3:37:07 PM,3:37:07 PM,3:40:30 PM,3:40:30 PM,4:43:40 PM,4:43:40 PM,4:43:40 PM,4:43:49 PM,4:43:49 PM,4:43:49 PM,4:43:40 PM,4:43:40 PM,4:43:49 PM,4:43:49 PM,4:43:49 PM,4:43:49 PM,5:06:32 PM,5:06:32 PM,5:06:32 PM,5:48:39 PM,6:08:41 PM,6:08:41 PM,6:08:41 PM,6:08:41 PM,6:08:41 PM,6:08:41 PM,6:08:41 PM,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:41:02 PM,3:41:02 PM,4:44:05 PM,4:44:05 PM,4:44:05 PM,4:44:18 PM,4:44:18 PM,4:44:18 PM,4:44:05 PM,4:44:05 PM,4:44:18 PM,4:44:18 PM,4:44:18 PM,4:44:18 PM,5:06:46 PM,5:06:46 PM,5:06:46 PM,5:53:12 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing?,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,
Pedestrian Phase Crossing?,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,,,,,,,
Intend to Cross Timestamp,3:00:33 PM,3:00:33 PM,3:00:33 PM,3:01:09 PM,3:01:09 PM,3:01:09 PM,3:02:19 PM,3:02:43 PM,3:02:51 PM,3:03:10 PM,3:03:40 PM,3:04:28 PM,3:04:53 PM,3:06:09 PM,3:07:13 PM,3:07:15 PM,3:07:15 PM,3:09:13 PM,3:09:14 PM,3:09:14 PM,3:12:56 PM,3:12:56 PM,3:14:45 PM,3:14:45 PM,3:14:49 PM,3:14:51 PM,3:14:51 PM,3:17:03 PM,3:20:20 PM,3:20:45 PM,,,,,,,3:37:21 PM,,,,,,3:40:37 PM,,,,,,,4:44:32 PM,,,,,,,,,,5:49:11 PM,,,,,,,,,,,,,,
Crossing Start Time,3:00:34 PM,3:00:34 PM,3:00:34 PM,3:01:10 PM,3:01:10 PM,3:01:10 PM,3:02:21 PM,3:02:44 PM,3:02:54 PM,3:03:12 PM,3:03:41 PM,3:04:30 PM,3:04:55 PM,3:06:10 PM,3:07:15 PM,3:07:17 PM,3:07:17 PM,3:09:14 PM,3:09:16 PM,3:09:16 PM,3:13:03 PM,3:13:03 PM,3:14:47 PM,3:14:47 PM,3:14:51 PM,3:14:53 PM,3:14:53 PM,,3:20:22 PM,3:20:47 PM,3:21:30 PM,3:21:28 PM,3:23:37 PM,3:23:36 PM,3:23:39 PM,3:37:21 PM,3:37:26 PM,3:37:30 PM,3:37:55 PM,3:37:35 PM,3:37:35 PM,3:38:21 PM,3:40:39 PM,3:40:46 PM,,,,,4:44:39 PM,4:44:36 PM,4:45:02 PM,4:45:02 PM,4:44:17 PM,4:44:22 PM,4:44:23 PM,4:44:23 PM,5:06:47 PM,5:06:55 PM,5:06:56 PM,5:49:31 PM,6:08:54 PM,6:09:02 PM,6:09:04 PM,6:09:05 PM,6:09:05 PM,6:09:23 PM,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:17:04 PM,,,,,,,,,,,3:37:59 PM,3:37:44 PM,3:37:44 PM,,3:40:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:38:01 PM,3:37:47 PM,3:37:47 PM,,3:40:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase?,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,N/A,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,,,,,,,
Crossing End Time,3:00:42 PM,3:00:45 PM,3:00:45 PM,3:01:18 PM,3:01:18 PM,3:01:18 PM,3:02:29 PM,3:02:53 PM,3:03:14 PM,3:03:24 PM,3:03:50 PM,3:04:39 PM,3:05:07 PM,3:06:22 PM,3:07:25 PM,3:07:33 PM,3:07:33 PM,3:09:31 PM,3:09:34 PM,3:09:34 PM,3:13:18 PM,3:13:21 PM,3:14:57 PM,3:15:00 PM,3:15:03 PM,3:15:22 PM,3:15:22 PM,3:17:19 PM,3:20:36 PM,3:20:55 PM,3:21:48 PM,3:21:48 PM,3:23:59 AM,3:23:49 PM,3:23:55 PM,3:37:29 PM,3:37:33 PM,3:37:42 PM,3:38:04 PM,3:37:53 PM,3:37:53 PM,3:38:38 PM,3:40:52 PM,3:40:53 PM,,,,,4:44:43 PM,4:44:48 PM,4:45:10 PM,4:45:10 PM,4:44:39 PM,4:44:39 PM,4:44:41 PM,4:44:47 PM,5:06:56 PM,5:07:12 PM,5:07:18 PM,5:49:51 PM,6:08:58 PM,6:09:11 PM,6:09:15 PM,6:09:17 PM,6:09:17 PM,6:09:31 PM,,,,,,,,
Crossing Interaction Notes,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Other,Walk,Walk,,,,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Front,In Front,In Front,Behind,Behind,Behind,In Front,Behind,In Front,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Behind,In Front,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Upstream,Upstream,Upstream,Downstream,Upstream,Downstream,,,,,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Upstream,Upstream,Downstream,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,Light,Light,Light,Zero,Zero,Zero,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Zero,Zero,Zero,Zero,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,,,,,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,,,,,,,,
General Reviewer Notes,,,,Gothic,Gothic,Gothic,Gothic,GOTHIC,,GOTHIC,GOTHIC,GOTHIC,,,,,,,,,,,,,,GOTHIC,GOTHIC,,,,,,,,,Gothic,Gothic,Gothic,,,,,,Gothic,,,,,GOTHIC,GOTHIC,GOTHIC,GOTHIC,,,,,GOTHIC,,,,GOTHIC,GOTHIC,GOTHIC,,,GOTHIC,,,,,,,,
