Group Size,2,2,1,1,1,1,1,1,2,2,1,3,3,3,1,2,2,1,1,3,3,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Estimated Gender,Female,Female,Female,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Female,Male,Male,Female,Female,Female,Male,Male,Male,Female,Female,Male,Female,Female,Male,Female,Male,Male,Male,Male,Male,Male,Male,Female,Female,Male,Female,Male,Male,Female,Male,Male,Male,Male,Female,Male,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Male,Female,Male,Male,Female,Male,Male,Female,Male,Male,Female,Male,Male,Male,Male,Male,Female,Female,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Male,Female,Male,Hard to Tell,Hard to Tell,Hard to Tell,Female,Female,Male,Female,Female,Female,Male,Hard to Tell,Hard to Tell,Male,Male,Female,Hard to Tell,Male,Hard to Tell,Female,Hard to Tell,Female,Female,Male,Hard to Tell,Hard to Tell,Hard to Tell,Male,
Estimated Age Group,21-35,21-35,21-35,>50,36-50,21-35,21-35,36-50,36-50,21-35,36-50,Hard to Tell,Hard to Tell,Hard to Tell,36-50,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,>50,36-50,36-50,36-50,21-35,36-50,36-50,36-50,36-50,36-50,21-35,21-35,21-35,21-35,21-35,21-35,>50,36-50,21-35,36-50,>50,21-35,21-35,36-50,0-20,21-35,36-50,Hard to Tell,Hard to Tell,Hard to Tell,21-35,36-50,21-35,36-50,36-50,>50,21-35,21-35,36-50,36-50,21-35,21-35,36-50,21-35,36-50,36-50,36-50,21-35,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,36-50,36-50,Hard to Tell,Hard to Tell,Hard to Tell,36-50,21-35,21-35,36-50,21-35,36-50,36-50,21-35,Hard to Tell,21-35,21-35,21-35,Hard to Tell,36-50,Hard to Tell,Hard to Tell,Hard to Tell,21-35,36-50,36-50,Hard to Tell,Hard to Tell,Hard to Tell,>50,
Clothing Color,Black,beige,black,black,black,black,Yellow,Black,Navy,white,black,black,black,black,black,red,beige,black,gray,black,black,black,brown,black,blue,light blue,black,brown,Black,brown,black,black,black,navy,black,blue,beige,black,black,black,black,black,black,black,orange,white,dark green,black,tan,black,black,White,black,dark brown,black,black,black,dark green,black,Dark Green,Black,Dark Green,black,black,black,black,black,black,black,black,navy,black,black,black,black,black,black,black,black,black,brown,black,green,black,black,black,black,black,black,green,black,dark gray,dark gray,black,white,black,dark gray,black,black,black,black,white,white,Black,Black,Black,Black,Black,Black,Black,
Visibility Scale,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,3,3,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,
Type of Bus Interaction,,,,,,,,Alighted,,,Alighted,Alighted,Alighted,Alighted,Alighted,,,,,,,,,,,,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boarded,,,,,,,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,,,,Alighted,Alighted,Alighted,,,,,,,,,,,,,Alighted,Boarded,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,
Bus Stop Arrival Time,,,,,,,,3:01:46 PM,,,3:03:23 PM,3:03:23 PM,3:03:23 PM,3:03:23 PM,3:03:23 PM,,,,,,,,,,,,3:08:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:47:00 PM,,,,,,,3:46:54 PM,3:46:54 PM,3:46:54 PM,3:46:54 PM,3:46:54 PM,3:47:00 PM,3:47:00 PM,,,,3:51:38 PM,3:51:38 PM,3:51:38 PM,,,,,,,,,,,,,4:08:13 PM,4:08:13 PM,4:10:12 PM,4:15:04 PM,4:15:04 PM,4:15:04 PM,4:16:50 PM,4:16:50 PM,4:16:50 PM,4:43:11 PM,4:43:11 PM,4:43:11 PM,
Bus Stop Departure Time,,,,,,,,3:01:56 PM,,,3:03:45 PM,3:03:45 PM,3:03:45 PM,3:03:45 PM,3:03:45 PM,,,,,,,,,,,,3:08:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:47:33 PM,,,,,,,3:47:13 PM,3:47:13 PM,3:47:13 PM,3:47:13 PM,3:47:13 PM,3:47:33 PM,3:47:33 PM,,,,3:51:52 PM,3:51:52 PM,3:51:52 PM,,,,,,,,,,,,,4:08:32 PM,4:08:32 PM,4:10:24 PM,4:15:19 PM,4:15:19 PM,4:15:19 PM,4:17:07 AM,4:17:07 AM,4:17:07 AM,4:43:21 PM,4:43:21 PM,4:43:21 PM,
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bus 2,,,,,,,Bus 1,Bus 1,Bus 1,Bus 1,Bus 1,Bus 2,Bus 2,,,,,,,,,,,,,,,,,,,,,Bus doesnt pull into the bus zone,Bus stops after bus stop,Bus stops after bus stop,Bus stops after bus stop,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,,,,,,No,No,
Pedestrian Phase Crossing,Yes,Yes,Yes,Yes,Yes,Yes,No,,No,No,,N/A,N/A,N/A,N/A,No,No,Yes,Yes,No,No,No,N/A,No,Yes,Yes,Yes,No,No,N/A,N/A,N/A,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,N/A,N/A,N/A,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,N/A,,,,,,,,Yes,No,No,,,,Yes,Yes,Yes,No,No,No,N/A,N/A,N/A,No,Yes,Yes,N/A,No,N/A,N/A,N/A,,,,,,N/A,N/A,
Intend to Cross Timestamp,3:00:03 PM,3:00:03 PM,3:00:39 PM,3:00:44 PM,3:00:44 PM,,3:01:34 PM,,3:02:18 PM,3:02:18 PM,,3:03:49 PM,3:03:49 PM,3:03:49 PM,3:03:49 PM,3:04:41 PM,3:04:41 PM,3:05:02 PM,3:05:17 PM,3:05:41 PM,3:05:41 PM,3:05:41 PM,3:06:15 PM,3:06:43 PM,3:07:42 PM,3:07:42 PM,3:08:25 PM,3:08:09 PM,3:12:26 PM,3:14:06 PM,,3:16:04 PM,3:15:29 PM,3:15:31 PM,3:19:19 PM,3:19:39 PM,3:20:08 PM,3:20:08 PM,3:21:08 PM,3:23:00 PM,3:24:12 PM,3:24:56 PM,3:25:04 PM,3:26:43 PM,3:26:49 PM,3:27:47 PM,3:27:47 PM,3:28:10 PM,3:28:10 PM,3:29:27 PM,3:29:36 PM,3:29:43 PM,3:29:43 PM,3:30:48 PM,3:31:01 PM,3:30:29 PM,3:32:28 PM,3:33:09 PM,3:33:59 PM,3:37:38 PM,3:38:20 PM,3:42:01 PM,3:44:32 PM,3:44:41 PM,3:44:41 PM,3:45:09 PM,3:46:23 PM,3:46:48 PM,3:46:48 PM,3:46:48 PM,3:46:56 PM,3:47:04 PM,3:47:08 PM,,,,,,,,3:47:43 PM,3:49:33 PM,,,,,3:51:55 PM,3:52:01 PM,3:52:01 PM,3:54:35 PM,3:55:52 PM,3:56:09 PM,3:56:33 PM,3:57:06 PM,3:57:28 PM,3:57:45 PM,3:58:50 PM,3:58:50 PM,4:08:28 PM,4:07:12 PM,4:10:31 PM,4:15:09 PM,4:15:20 PM,,,,,,4:43:48 PM,4:27:50 PM,
Crossing Start Time,3:00:19 PM,3:00:19 PM,3:00:40 PM,3:00:45 PM,3:00:45 PM,3:00:37 PM,3:01:44 PM,,3:03:03 PM,3:03:03 PM,,3:03:50 PM,3:03:52 PM,3:03:52 PM,3:03:53 PM,3:04:52 PM,3:04:52 PM,3:05:15 PM,3:05:18 PM,3:06:12 PM,3:06:13 PM,3:06:14 PM,3:06:15 PM,3:06:43 PM,3:08:25 PM,3:08:25 PM,3:08:27 PM,3:08:09 PM,3:12:33 PM,3:14:09 PM,3:15:05 PM,3:16:11 PM,3:15:29 PM,3:16:53 PM,3:19:54 PM,3:19:50 PM,3:20:13 PM,3:20:13 PM,3:21:09 PM,3:23:03 PM,3:24:36 PM,3:25:04 PM,3:25:05 PM,3:26:45 PM,3:27:01 PM,3:27:49 PM,3:27:49 PM,3:28:33 PM,3:28:33 PM,3:29:30 PM,3:29:40 PM,3:29:44 PM,3:29:44 PM,3:30:50 PM,3:31:02 PM,3:31:13 PM,3:32:31 PM,3:33:21 PM,3:34:01 PM,3:37:40 PM,3:38:24 PM,3:42:02 PM,3:44:46 PM,3:44:46 PM,3:44:46 PM,3:45:10 PM,3:46:25 PM,3:46:53 PM,3:46:51 PM,3:46:53 PM,3:46:57 PM,3:47:05 PM,3:47:10 PM,,,,,,,,3:48:32 PM,3:49:35 PM,3:50:08 PM,,,,3:51:56 PM,3:52:03 PM,3:52:03 PM,3:54:41 PM,3:56:08 PM,3:56:11 PM,3:56:37 PM,3:57:14 PM,3:57:30 PM,3:57:46 PM,3:58:51 PM,3:58:51 PM,4:08:29 PM,4:07:49 PM,4:10:34 PM,4:15:13 PM,4:15:21 PM,,,,,,4:43:49 PM,4:27:51 PM,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,Yes,Yes,Yes,Yes,Yes,Yes,No,,No,No,,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,N/A,No,Yes,Yes,Yes,No,No,N/A,N/A,N/A,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,N/A,N/A,N/A,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,N/A,,,,,,,,Yes,No,Yes,,,,Yes,Yes,Yes,No,No,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,N/A,N/A,,,,,,N/A,N/A,
