Group Size,2,2,2,2,2,1,1,1,3,3,3,1,1,1,2,2,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,,
Estimated Gender,male,male,male,male,male,male,male,hard to tell,male,female,female,hard to tell,Male,hard to tell,,,Hard to Tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,male,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,male,,hard to tell,hard to tell,male,Male,hard to tell,hard to tell,hard to tell,hard to tell,male ,hard to tell,female,male,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,female,male,hard to tell,hard to tell,hard to tell,male,,
Estimated Age Group,36-50,36-50,36-50,36-50,hard to tell,hard to tell,21-35,hard to tell,0-20,0-20,36-50,hard to tell,21-35,hard to tell,,,Hard to Tell,hard to tell,hard to tell ,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,36-50,,hard to tell,hard to tell,hard to tell,Hard to Tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,36-50,0-20,hard to tell,hard to tell,hard to tell,hard to tell,,
Clothing Color,black,white,black,white,hard to tell,hard to tell,white,hard to tell ,hard to tell ,hard to tell ,hard to tell ,hard to tell,black,hard to tell,,,black,hard to tell,hard to tell ,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,white,white,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,white,,hard to tell,hard to tell,hard to tell,hard  to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,orange,black,white,hard to tell,hard to tell,hard  to tell,hard  to tell,hard  to tell,hard to tell,black,white,hard to tell,hard to tell,hard to tell,white,,
Visibility Scale,3,3,3,3,1,2,1,2,2,2,2,2,2,1,3,3,2,2,3,2,2,1,1,2,2,3,3,3,2,1,1,1,1,3,,1,1,2,3,1,1,1,1,1,3,3,2,1,1,1,1,1,1,2,2,2,2,2,1,,
Estimated Visible Distrction,no,no,no,no,no,no,no,no,no,no,no,no,No,no,no,no,No,no,no,no,no,no,no,no,no,no,no,no,no,No,No,No,No,no,,No,No,no,No,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
User Notes,,,,,,,he was pulling a cart,,,,,he is pulling the cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,no,no,no,no,no,no,no,no,no,no,no,no,No,yes ,yes,yes,Yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,no,,yes,yes,no,No,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,,
Roadway Crossing,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Yes,no,yes ,yes,No,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,,no,no,yes,Yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,
Type of Bus Interaction,,,,,,,,,,,,,,alighted,alighted,alighted,Waited at Bus Stop,,,boarded,boarded,boarded,,alighted,alighted,,,,Alighted,,,,boarded,,boarded,boarded,alighted,,,Boarded,Boarded,Boarded,Alighted,,,,,,,,,,,,,boarded,alighted,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,1:59:43 PM,1:59:43 PM,1:59:43 PM,,,,12:15:30 PM,12:15:30 PM,12:15:30 PM,,12:31:06 PM,12:31:06 PM,,,,12:55:04 PM,,,,11:12:55 AM,,11:53:50 AM,11:53:50 AM,11:53:50 AM,,,10:17:03 AM,10:17:03 AM,10:17:03 AM,10:17:03 AM,,,,,,,,,,,,,10:53:38 AM,10:53:38 AM,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,1:59:54 PM,,,,,,12:15:48 PM,12:15:48 PM,12:15:48 PM,,12:31:36 PM,12:31:36 PM,,,,12:56:10 PM,,,,11:13:10 AM,,11:54:09 AM,11:54:09 AM,11:54:09 AM,,,10:17:21 AM,10:17:21 AM,10:17:21 AM,10:17:21 AM,,,,,,,,,,,,,10:54:12 AM,10:54:12 AM,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,he crossed the road in an electric wheel chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,Yes,,Yes,Yes,,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,yes,,no,yes,yes,No,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,,
Pedestrian Phase Crossing,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,Yes,,Yes,Yes,,yes,yes,N/A,N/A,N/A,no,,no,no,yes,no,yes,no,no,yes,no,yes,,no,yes,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no,no,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Intention to Cross Time Stamp,1:07:27 PM,1:07:27 PM,1:12:45 PM,1:12:45 PM,1:15:14 PM,1:16:58 PM,1:34:06 PM,1:44:57 PM,1:50:25 PM,1:50:26 PM,1:50:27 PM,1:57:16 PM,1:58:47 PM,,2:03:23 PM,2:03:23 PM,,12:07:52 PM,12:16:21 PM,,,,12:16:41 PM,,12:32:05 PM,12:32:31 PM,12:34:25 PM,12:52:04 PM,12:56:35 PM,11:03:30 AM,11:09:38 AM,11:10:08 AM,,11:38:32 AM,,,11:54:34 AM,11:55:57 AM,11:57:40 AM,,,,,10:23:32 AM,10:24:27 AM,10:28:02 AM,10:38:59 AM,10:40:59 AM,10:40:59 AM,10:38:17 AM,10:46:28 AM,10:46:28 AM,10:47:46 AM,10:50:12 AM,10:50:12 AM,,10:53:51 AM,10:54:47 AM,10:58:21 AM,,
Crossing Start Time,1:08:33 PM,1:08:33 PM,1:13:31 PM,1:13:31 PM,1:15:18 PM,1:18:01 PM,1:34:12 PM,1:45:47 PM,1:51:44 PM,1:51:44 PM,1:51:44 PM,1:57:23 PM,2:03:25 PM,,2:03:25 PM,2:03:26 PM,,12:08:56 PM,12:16:25 PM,,,,12:16:42 PM,,12:32:08 PM,12:32:54 PM,12:34:29 PM,12:52:05 PM,12:56:39 PM,11:03:31 AM,11:09:30 AM,11:10:10 AM,,11:39:18 AM,,,11:55:19 AM,11:57:17 AM,11:57:40 AM,,,,,10:23:51 AM,10:24:28 AM,10:29:51 AM,10:39:01 AM,10:41:03 AM,10:41:03 AM,10:44:01 AM,10:46:30 AM,10:46:30 AM,10:47:47 AM,10:50:13 AM,10:50:13 AM,,10:53:52 AM,10:54:48 AM,10:58:23 AM,,
Refuge Island Start Time,,,,,1:15:26 PM,,,,,,,1:57:32 PM,,,,,,,,,,,12:16:50 PM,,,,,,,11:03:38 AM,11:09:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:03:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,yes,yes,yes,yes,no,N/A,N/A,yes,N/A,N/A,N/A,N/A,Yes,,Yes,Yes,,yes,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Crossing End Time,1:08:54 PM,1:08:54 PM,1:13:51 PM,1:13:50 PM,,,,1:46:02 PM,1:51:55 PM,1:51:55 PM,1:52:02 PM,,2:03:42 PM,,2:03:41 PM,2:03:44 PM,,12:09:05 PM,12:16:42 PM,,,,,,12:32:28 PM,12:33:18 PM,12:34:47 PM,12:52:19 PM,12:56:58 PM,11:04:01 AM,,11:10:26 AM,,11:39:39 AM,,,11:55:39 AM,11:57:28 AM,11:57:55 AM,,,,,10:24:39 AM,10:24:48 AM,10:30:11 AM,10:39:23 AM,10:41:52 AM,10:41:52 AM,10:44:12 AM,10:46:51 AM,10:46:51 AM,10:48:43 AM,10:51:31 AM,10:51:31 AM,,10:54:13 AM,10:55:32 AM,10:58:55 AM,,
Crossing Interaction Notes,walk,walk,walk,walk,,Cyclist ,walk,Courtesy Run,Courtesy Run,Courtesy Run,walk,walk,Walk,,Walk,Walk,,cyclist,walk,,,,walk,,walk,walk,walk,Courtesy run,other,walk,walk,walk,,walk,,,walk,cyclist,Walk,,,,,walk,cyclist,walk,walk,walk,walk,cyclist,walk,walk,walk,walk,walk,,walk,walk,walk,,
Bus Presence,no,no,no,no,,no,no,no,no,no,no,no,No,,No,No,,no,no,,,,no,,no,no,no,no,no,no,no,no,,no,,,no,no,No,,,,,no,no,NO,no,no,no,no,no,no,no,no,no,,yes,no,no,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no,,no,no,no,no,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,infront,N/A,N/A,,
Crossing Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,,Downstream,downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,,Downstream,Downstream,,downstream,downstream,,,,upstream,,downstream,downstream,upstream,Downstream,downstream,upstream,upstream,upstream,,downstream,,,upstream,downstream,,,,,,upstream,upstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,upstream,upstream,,downstream,upstream,upstream,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver Behavior,high,high,high,high,,high,medium,high,high,high,high,high,high,,high,high,,high,high,,,,high,,high,high,high,high,high,high,high,medium,,high,,,high,high,high,,,,,high,high,high,high,high,high,high ,high,high,high,high,high,,medium,high,medium,,
General Reviewer Notes,,,same as ped in B,same as ped in C,does ot finish crossing and stops at the refuge island,the camera was not able to record the crossing end time,the camera was not able to record the crossing end time,,,,,the camera does not record the crossing ehd time.,,,,,,,He walked with his bicycle ,,,,walked from gas station to middle and started soliciting,,they walked with his bicycle,they walked with his bicycle,,,does not finish crossing at crosswalk and goes diagonally towards gas station,,stopped in the middle on the refuge island,,,crosses using a crosswalk at the beginning the then diagonallly from the  refuge island.,,,,,walkes parallel to the roads over the intersection but were not able to get the crossing end time .,,,,,,,,,,,,,,,,,,,,,,
