Group Size,2,2,2,2,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Male,Male,Male,Male,Hard to Tell,Male,Female,Female,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Male,Hard to Tell,Male,Male,Male,Male,Male,Male,Male,Hard to Tell,Male,Female,Male,Male,Male,Hard to Tell,Male,Female,Male,Hard to Tell,Hard to Tell,Male,Male,Male,Male,Hard to Tell,Hard to Tell,Male,Male,Hard to Tell,Female,Female,Hard to Tell,Hard to Tell,Male,Hard to Tell,Hard to Tell,Male,Female,Male,Female,Female,Male,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,21-35,21-35,21-35,21-35,Hard to Tell,0-20,36-50,21-35,0-20,0-20,36-50,Hard to Tell,>50,21-35,Hard to Tell,21-35,21-35,>50,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,>50,36-50,36-50,21-35,Hard to Tell,21-35,>50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,,Hard to Tell,36-50,>50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,36-50,36-50,Hard to Tell,21-35,Hard to Tell,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,white,black,white,black,"grey, yellow traffic vest",white,white,white,hard to tell,white,grey,"grey, yellow traffic vest",grey,black,black,black,"black, blue",black,grey,beige,white,white,white,yellow,Hard to Tell,brown,white,white,blue,yellow,grey,grey,black,yellow,black,brown,red,brown,white,brown,black,brown,white,white,brown,black,yellow vest,black,white,black,white,grey,orange,grey,grey,white,black,brown,white,black,black,black,grey,black,brown,grey,grey,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,3,2,3,2,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,3,3,3,3,2,2,2,3,2,2,3,2,3,2,2,2,3,3,2,2,3,2,3,2,3,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,No,No,No,No,No,No,Hard to Tell,No,No,No,No,No,No,No,No,No,Hard to Tell,Hard to Tell,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,,,,,,,pulling cart,calling,,,,same person as F,pushes cart,,,,,,,pushing bike,,,,,,,,,,,,in electric wheelchair (dont know right term),,,,pushing a cart,,,,pushing cart,,,,,,,,,,,,,,,,,,,,,,,pushing cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,Alighted,,,Waited at Bus Stop,,,Boarded,Boarded,Boarded,,Alighted,Alighted,,,,,,,,,,,,,Boarded,,,,Boarded,Boarded,Alighted,,,Boarded,Boarded,Boarded,Alighted,,,,,,,,,,,,,Boarded,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,1:59:42 PM,1:59:42 PM,1:59:42 PM,,,,12:15:29 PM,12:15:29 PM,12:15:29 PM,,12:31:07 PM,12:31:07 PM,,,,,,12:55:04 PM,,,,,,,11:12:54 AM,,,,11:53:51 AM,11:53:51 AM,11:53:51 AM,,,10:17:03 AM,10:17:03 AM,10:17:03 AM,10:17:03 AM,,,,,,,,,,,,,10:53:37 AM,10:53:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,1:59:54 PM,1:59:54 PM,1:59:54 PM,,,,12:15:48 PM,12:15:48 PM,12:15:48 PM,,12:31:35 PM,12:31:35 PM,,,,,,12:56:10 PM,,,,,,,11:13:09 AM,,,,11:54:09 AM,11:54:09 AM,11:54:09 AM,,,10:17:18 AM,10:17:18 AM,10:17:18 AM,10:17:18 AM,,,,,,,,,,,,,10:54:11 AM,10:54:11 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,,Yes,Yes,,,,No,,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,,No,No,Yes,,,Yes,Yes,No,,,,,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,Yes,Yes,No,No,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,N/A,Yes,,Yes,Yes,,Yes,Yes,,,,N/A,,No,Yes,Yes,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,,N/A,N/A,No,,,Yes,Yes,N/A,,,,,N/A,N/A,Yes,No,N/A,N/A,Yes,N/A,N/A,N/A,No,No,,Yes,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Intention to Cross Time Stamp,1:07:26 PM,1:07:26 PM,1:12:42 PM,1:12:42 PM,1:15:16 PM,1:16:53 PM,1:34:09 PM,1:44:57 PM,1:50:21 PM,1:50:21 PM,1:50:21 PM,1:56:44 PM,1:57:20 PM,1:58:17 PM,,,,,12:07:50 PM,12:16:23 PM,,,,12:16:41 PM,,12:32:06 PM,12:31:54 PM,12:34:13 PM,12:29:09 PM,12:48:33 PM,12:52:04 PM,12:55:30 PM,11:03:31 AM,11:08:19 AM,11:09:38 AM,11:09:38 AM,11:10:10 AM,11:12:32 AM,,11:13:57 AM,11:13:57 AM,11:38:08 AM,,,11:54:26 AM,11:55:55 AM,11:57:40 AM,,,,,10:23:34 AM,10:24:29 AM,10:27:54 AM,10:38:56 AM,10:40:25 AM,10:40:25 AM,10:38:18 AM,10:46:29 AM,10:46:29 AM,10:47:43 AM,10:50:13 AM,10:50:13 AM,,10:53:52 AM,10:54:46 AM,10:58:23 AM,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,1:08:33 PM,1:08:33 PM,1:13:32 PM,1:03:32 PM,1:15:17 PM,1:18:00 PM,1:34:13 PM,1:45:47 PM,1:51:43 PM,1:51:43 PM,1:51:43 PM,1:56:44 PM,1:57:20 PM,2:03:25 PM,,2:03:25 PM,2:03:26 PM,,12:08:56 PM,12:16:23 PM,,,,12:16:41 PM,,12:32:06 PM,12:32:52 PM,12:34:29 PM,12:32:18 PM,12:48:33 PM,12:52:04 PM,12:56:38 PM,11:03:31 AM,11:08:20 AM,11:09:38 AM,11:09:38 AM,11:10:10 AM,11:13:04 AM,,11:13:59 AM,11:13:59 AM,11:38:08 AM,,,11:55:19 AM,11:57:17 AM,11:57:40 AM,,,,,10:23:50 AM,10:24:29 AM,10:29:51 AM,10:39:00 AM,10:41:04 AM,10:41:04 AM,10:44:02 AM,10:46:31 AM,10:46:31 AM,10:47:46 AM,10:50:13 AM,10:50:13 AM,,10:53:52 AM,10:54:46 AM,10:58:23 AM,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,1:15:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:03:38 AM,,11:09:52 AM,11:09:52 AM,,,,,,11:38:21 AM,,,,,,,,,,10:24:09 AM,,,,,,,,,,,,,,10:54:55 AM,10:58:34 AM,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:03:54 AM,,,11:10:54 AM,,,,,,11:39:18 AM,,,,,,,,,,10:24:28 AM,,,,,10:41:43 AM,,,,,,,,,10:55:20 AM,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,No,No,Yes,Yes,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,N/A,Yes,,Yes,Yes,,Yes,Yes,,,,N/A,,No,No,Yes,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,No,,,Yes,Yes,N/A,,,,,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,,No,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,1:08:54 PM,1:08:54 PM,1:13:51 PM,1:13:51 PM,,1:18:09 PM,1:34:19 PM,1:46:02 PM,1:51:55 PM,1:51:56 PM,1:52:03 PM,1:56:52 PM,1:57:32 PM,2:03:42 PM,,2:03:41 PM,2:03:44 PM,,12:09:05 PM,12:16:41 PM,,,,12:16:49 PM,,12:32:27 PM,12:33:16 PM,12:34:47 PM,idk,12:48:11 PM,12:52:16 PM,12:56:57 PM,11:04:00 AM,11:08:28 AM,,11:11:04 AM,11:10:26 AM,11:13:15 AM,,11:14:14 AM,11:14:14 AM,11:39:39 AM,,,11:55:39 AM,11:57:27 AM,11:57:55 AM,,,,,10:24:36 AM,10:24:40 AM,10:30:08 AM,10:39:21 AM,10:41:50 AM,10:41:50 AM,10:44:12 AM,10:46:50 AM,10:46:50 AM,10:48:42 AM,10:51:32 AM,10:51:32 AM,,10:54:11 AM,10:55:28 AM,10:58:51 AM,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Walk,Walk,Walk,Cyclist,Walk,Courtesy Run,Run,Run,Walk,Walk,Walk,Walk,,Walk,Walk,,Cyclist,Walk,,,,Walk,,Cyclist,Walk,Walk,Walk,Walk,Courtesy Run,Other,Walk,Walk,Walk,Walk,Walk,Walk,,Walk,Walk,Walk,,,Walk,Cyclist,Walk,,,,,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,Walk,Walk,Walk,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,,No,No,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,,,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,In Front,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,N/A,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,,Upstream,Upstream,,,,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,Upstream,,Upstream,Upstream,Upstream,,,Upstream,Upstream,,,,,,At,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,At,At,Upstream,Upstream,Upstream,,Upstream,,Downstream,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,doesnt finish crossing: solliciting in middle,crosses intersection diagonally,,,,,,,,,,,,,,,,,,,,,,,,,,does not finish at crosswalk: goes diagonally towards gas station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver Behavior,high,high,high,high,high,high,medium,medium,high,high,high,high,high,high,,high,high,,high,medium,,,,medium,,high,high,high,high,high,medium,medium,medium,medium,medium,medium,medium,high,,medium,medium,high,,,high,high,high,,,,,high,medium,high,medium,high,high,high,high,high,high,high,high,,medium,medium,high,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,same ped as B,same ped as C,,,walks out of view before finishes crossing,,,,,does not cross whole road: from middle back to gas station side,dropped something so walked back onto road at 13:58:53 till 13:59:03.,,,,,,,,,,,walked from gas station to middle:soliciting,,,,,"walks out pf screen before done crossing. comes back at 12:38:36, so crossed twice. hopes in car at 12:44:23",sollicitating: crosses from middle to gas station,,,out of sight for a bit,sollicitating: crosses from middle to gas station,stop midway of road,"stop midway of road, crosses later again",,"same person as AK, crosses gas station to midway",,same person as AK,same person as AL,"crosses parallel while light is on red, crosses perpendiculer during ped phase",,,,,walkes parallel to the roads over the intersection. walks out of screen before done crossing. comes back at 11:58:21 and finished crossing at 11:58:34,,,,,,bikes diagonally through intersection,,,,"out of sight, cant see when reaches refuge island",does not finsih crossing: joins cars ,"out of sight, cant see when reaches refuge island and leaves exavtly","out of sight, cant see when reaches refuge island and leaves exavtly","out of sight, cant see when reaches refuge island and leaves exavtly",solliciting people,solliciting people,,,"crosses first downstream, walks on island in middle of road downstream, then finishes crossing",cant see when ped leaves refuge island,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,at 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
