Group Size,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Estimated Gender,Female,Female,Female,Male,Female,Male,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Male,Male,Female,Hard to Tell,Male,Hard to Tell,Hard to Tell,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Female,Hard to Tell,Hard to Tell,Male,Male,Male,Hard to Tell,Hard to Tell,Male,Male,Hard to Tell,Male,Male,Hard to Tell,Male,Male,Male,Male,Male,Hard to Tell,Male,Male,Female,Hard to Tell,Hard to Tell,Male,,,,,,,,,,,,,,,,
Estimated Age Group,36-50,36-50,36-50,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,0-20,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,0-20,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,Hard to Tell,0-20,0-20,0-20,21-35,>50,Hard to Tell,21-35,Hard to Tell,21-35,Hard to Tell,Hard to Tell,36-50,,,,,,,,,,,,,,,,
Clothing Color,white,pink,blue,black,black,white,white,black,black,black,green,white,black,white/black,black,black,black,black,grey,white,black,black,grey,beige,black,grey,black,white,black,black,black,black,black,black,black,white,black,white,white,black,black/white,white,white,white,white,black,black,grey,black,white,,,,,,,,,,,,,,,,
Visibility Scale,3,3,3,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,3,3,2,2,3,3,3,3,2,2,3,2,3,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,No,No,Hard to Tell,No,No,No,No,No,Hard to Tell,Hard to Tell,No,No,No,Hard to Tell,No,No,Hard to Tell,Hard to Tell,Yes,Hard to Tell,No,No,Hard to Tell,No,No,No,No,No,No,No,No,No,No,No,No,No,Hard to Tell,No,,,,,,,,,,,,,,,,
User Notes,,,,,,,,,,,,,escooter,,,,,,,,,,,,,,,,,,on the phone,,,,,,,,,,,,,,,,,,,exits his parked car,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boarded,Alighted,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:55:18 PM,3:55:18 PM,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:55:23 PM,3:55:23 PM,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing?,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,No,,Yes,No,Yes,No,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,Yes,N/A,No,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,No,N/A,,,,,,,,,,,,,,,,
Intention to Cross Time Stamp,,,,3:15:32 PM,3:16:55 PM,3:17:40 PM,3:17:58 PM,3:18:26 PM,3:19:32 PM,3:19:40 PM,3:20:23 PM,3:21:45 PM,3:26:04 PM,3:27:11 PM,3:27:22 PM,3:27:14 PM,3:28:59 PM,3:29:53 PM,3:30:10 PM,3:30:25 PM,3:31:10 PM,3:32:50 PM,3:34:10 PM,3:35:14 PM,3:36:21 PM,,3:38:54 PM,3:40:29 PM,3:41:50 PM,3:42:19 PM,3:43:13 PM,3:44:12 PM,3:44:29 PM,3:45:48 PM,,3:47:22 PM,3:47:22 PM,3:48:18 PM,3:49:14 PM,3:49:28 PM,3:49:28 PM,3:49:38 PM,3:49:37 PM,3:49:51 PM,3:52:07 PM,,3:56:03 PM,3:55:52 PM,3:58:08 PM,3:58:42 PM,,,,,,,,,,,,,,,,
Crossing Start Time,,,,3:15:32 PM,3:16:55 PM,3:17:40 PM,3:18:12 PM,3:19:13 PM,3:19:36 PM,3:19:44 PM,3:20:36 PM,3:21:47 PM,3:26:04 PM,3:27:25 PM,3:27:22 PM,3:27:29 PM,3:28:59 PM,3:29:53 PM,3:30:12 PM,3:30:34 PM,3:31:10 PM,3:32:51 PM,3:34:12 PM,3:35:22 PM,3:36:24 PM,3:37:05 PM,3:39:00 PM,3:40:29 PM,3:41:50 PM,3:42:21 PM,3:43:13 PM,3:44:14 PM,3:44:29 PM,3:45:55 PM,3:47:05 PM,3:47:22 PM,3:47:22 PM,3:48:18 PM,3:49:29 PM,3:49:29 PM,3:49:29 PM,3:49:44 PM,3:49:38 PM,3:49:57 PM,3:42:08 PM,,3:56:03 PM,3:56:08 PM,3:58:09 PM,3:58:43 PM,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,Yes,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,No,N/A,,,,,,,,,,,,,,,,
Crossing End Time,3:13:59 PM,3:13:59 PM,3:13:59 PM,3:15:45 PM,3:17:08 PM,3:17:51 PM,3:18:25 PM,3:19:24 PM,3:19:44 PM,3:19:50 PM,3:20:42 PM,3:22:03 PM,3:26:08 PM,3:27:33 PM,3:27:30 PM,3:27:39 PM,3:29:05 PM,3:30:01 PM,3:30:19 PM,3:30:47 PM,3:31:20 PM,3:33:01 PM,3:34:18 PM,3:35:31 PM,3:36:30 PM,3:37:11 PM,3:39:10 PM,3:40:40 PM,3:41:55 PM,3:42:28 PM,3:43:26 PM,3:44:22 PM,3:44:42 PM,3:46:05 PM,3:47:14 PM,3:47:37 PM,3:47:37 PM,3:48:22 PM,3:49:38 PM,3:49:40 PM,3:49:41 PM,3:49:55 PM,3:49:50 PM,3:50:13 PM,3:52:09 PM,,3:56:12 PM,3:56:18 PM,3:58:19 PM,3:58:52 PM,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,,,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Other,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Cyclist,Courtesy Run,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,Walk,Walk,Walk,Walk,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,At,Downstream,Downstream,Downstream,Upstream,Upstream,Downstream,Upstream,Downstream,Upstream,Downstream,Upstream,Upstream,Downstream,At,Downstream,Downstream,Upstream,At,Downstream,Downstream,Upstream,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,At,At,Upstream,,Upstream,Downstream,Downstream,At,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,cars did not stop for pedestrian,cars did not stop for pedestrian,,cars did not stop for pedestrian,,,,,,,,,,cars did not stop for pedestrian,,,,ped walks diagonally so ends up on crosswalk,,,,,,,,crosses diagonally so ends up at crosswalk,crosses diagonally so ends up at crosswalk,,,,,,cars stopped to let ped cross,cars stopped to let ped cross,,,,,,,,,,,,,,,,,,,,,,
Driver Behavior,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,light,medium,medium,,,medium,medium,medium,medium,light,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,light,light,light,light,medium,medium,medium,,medium,medium,medium,light,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,ped dissapears from view,,,,,,,,,,,,,,,,,,,,,,,,,,,,not 100% sure if ped is bus-user,,,,,,,,,,,,,,,,,,,
