Group Size,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,,,,,,
Estimated Gender,Male,Female,Hard to Tell,Female,Male,Female,Female,Hard to Tell,Hard to Tell,Male,Male,Female,Hard to Tell,Male,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Hard to Tell,Hard to Tell,Female,Male,Female,Male,Female,Female,Female,Hard to Tell,Male,Male,Female,Female,Male,Male,Female,Male,Male,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Female,Male,Male,Female,Hard to Tell,Male,Male,Male,Male,Female,Female,Hard to Tell,Female,Hard to Tell,Hard to Tell,Female,Female,Male,Female,Male,Male,Female,Male,Female,,,,,,
Estimated Age Group,Hard to Tell,21-35,Hard to Tell,21-35,21-35,Hard to Tell,36-50,Hard to Tell,Hard to Tell,Hard to Tell,36-50,Hard to Tell,0-20,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,0-20,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,,36-50,0-20,Hard to Tell,,0-20,Hard to Tell,>50,36-50,0-20,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,0-20,Hard to Tell,,21-35,21-35,36-50,Hard to Tell,,,,,,
Clothing Color,black,black,black,pink,blue,black,black,brown,black,black,white,black,black,"black, red",white,black,black,black,black,black,black,black,black,black,grey,black,black,black,hard to tell,grey,black,black ,black,black,black,white,black,black,black,black,red,black,black,black,Hard to Tell,blue,Hard to Tell,red,white,black,red,grey,white,grey,black,"black, red",red,white,white,white,black,white,blue,red,black,black,red,white,red,,,,,,
Visibility Scale,2,2,2,3,3,2,3,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,,3,,3,3,2,3,2,3,2,2,2,2,3,3,3,2,3,3,3,2,2,3,3,3,,,,,,
Estimated Visible Distrction,Hard to Tell,No,Hard to Tell,No,No,No,No,Hard to Tell,No,No,No,No,No,Hard to Tell,No,No,Hard to Tell,Hard to Tell,No,No,Yes,Hard to Tell,Hard to Tell,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Hard to Tell,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,on phone,,,,,,pulling suitcase,,,,,,,,,,,,,,,,,pulling a cart,,,,,,,,,,,,,,,pushing cart,pushing cart,got dropped off by car,pushing stroller,,pulling somthing,on phone,,pushing a stroller,pulling somth,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,,,,,,
Type of Bus Interaction,,,,,,,,,,Boarded,,,,Alighted,Alighted,,,,,,,,,,Boarded,,,,,,,,,,,,,,,,Boarded,Alighted,,,,,,Alighted,Boarded,Boarded,Boarded,Alighted,Boarded,Alighted,Waited at Bus Stop,Boarded,Boarded,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Alighted,Alighted,Boarded,Waited at Bus Stop,Alighted,Boarded,,,,,,
Bus Stop Arrival Time,,,,,,,,,,9:41:57 AM,,,,9:47:31 AM,9:47:31 AM,,,,,,,,,,9:58:07 AM,,,,,,,,,,,,,,,,10:13:07 AM,10:13:07 AM,,,,,,10:28:56 AM,10:36:02 AM,10:36:02 AM,10:36:02 AM,10:36:02 AM,11:56:17 AM,11:56:17 AM,,12:04:38 PM,12:04:38 AM,12:04:38 PM,12:04:38 PM,12:04:38 PM,12:27:55 PM,12:27:55 PM,12:34:57 PM,12:34:57 PM,12:34:57 PM,12:46:20 PM,,1:00:14 PM,1:18:31 PM,,,,,,
Bus Stop Departure Time,,,,,,,,,,9:42:02 AM,,,,9:47:51 AM,9:47:51 AM,,,,,,,,,,9:58:13 AM,,,,,,,,,,,,,,,,10:13:34 AM,10:13:34 AM,,,,,,10:29:09 AM,10:36:27 AM,10:36:27 AM,10:36:27 AM,10:36:27 AM,11:56:26 AM,11:56:26 AM,,12:05:03 PM,12:05:03 PM,12:05:03 PM,12:05:03 PM,12:05:03 PM,12:28:14 PM,12:28:14 PM,12:35:09 PM,12:35:09 PM,12:35:09 PM,12:46:32 PM,,1:00:24 PM,1:18:45 PM,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boarded the next bus at 10:36:02 (see cell AZ),,,,,,,got picked up by car,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,
Intention to Cross Time Stamp,9:25:33 AM,9:25:54 AM,9:25:49 AM,9:28:26 AM,9:29:49 AM,9:33:14 AM,9:33:50 AM,9:34:45 AM,9:38:44 AM,,9:46:47 AM,9:47:02 AM,9:47:02 AM,,,9:51:33 AM,9:52:30 AM,9:52:30 AM,9:52:59 AM,9:55:08 AM,9:55:35 AM,9:57:09 AM,9:57:09 AM,9:57:19 AM,,9:58:01 AM,9:58:23 AM,10:01:00 AM,10:01:00 AM,10:01:21 AM,10:02:09 AM,10:03:12 AM,10:06:16 AM,10:06:28 AM,10:06:28 AM,10:07:03 AM,10:08:08 AM,10:09:49 AM,10:10:31 AM,10:10:44 AM,,,10:14:43 AM,10:14:43 AM,10:16:13 AM,10:16:18 AM,10:19:34 AM,,,,,,,,,,,,,,,,,,12:35:09 PM,12:39:12 PM,12:59:03 PM,,,,,,,,
Crossing Start Time,9:25:33 AM,9:25:54 AM,9:26:00 AM,9:28:26 AM,9:29:53 AM,9:33:14 AM,9:33:50 AM,9:34:45 AM,9:38:44 AM,,9:46:47 AM,9:47:02 AM,9:47:02 AM,,,9:51:33 AM,9:52:30 AM,9:52:30 AM,9:52:59 AM,9:55:08 AM,9:55:35 AM,9:57:10 AM,9:57:10 AM,9:57:19 AM,,9:58:16 AM,9:58:23 AM,10:01:00 AM,10:01:00 AM,10:01:21 AM,10:02:09 AM,10:03:12 AM,10:06:16 AM,10:06:28 AM,10:06:28 AM,10:07:03 AM,10:08:08 AM,10:09:49 AM,10:10:31 AM,10:10:44 AM,,,10:14:43 AM,10:14:43 AM,10:16:13 AM,10:16:18 AM,10:19:34 AM,,,,,,,,,,,,,,,,,,12:35:09 PM,12:39:12 PM,12:59:03 PM,,,,,,,,
Refuge Island Start Time,,,,,9:30:05 AM,,9:33:55 AM,,,,9:46:59 AM,,,,,,,,,,,,,,,,,,,10:01:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,9:30:25 AM,,9:34:21 AM,,,,9:47:19 AM,,,,,,,,,,,,,,,,,,,10:01:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,
Crossing End Time,9:25:49 AM,9:26:04 AM,9:26:09 AM,9:28:36 AM,9:30:30 AM,9:33:26 AM,9:32:35 AM,9:34:55 AM,9:38:48 AM,,9:47:24 AM,9:47:12 AM,9:47:12 AM,,,9:51:43 AM,9:52:38 AM,9:52:38 AM,9:53:09 AM,9:55:20 AM,9:55:45 AM,9:57:20 AM,9:57:20 AM,9:57:29 AM,,9:58:31 AM,9:58:36 AM,10:01:09 AM,10:01:09 AM,10:01:54 AM,10:02:17 AM,10:03:23 AM,10:06:25 AM,10:06:40 AM,10:06:40 AM,10:07:13 AM,10:08:16 AM,10:10:02 AM,10:10:45 AM,10:10:57 AM,,,10:14:53 AM,10:14:55 AM,10:16:23 AM,10:18:28 AM,10:19:43 AM,,,,,,,,,,,,,,,,,,12:35:15 PM,12:39:12 PM,12:59:16 PM,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Cyclist,,Walk,,,,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,Walk,Walk,Walk,Walk,Courtesy Run,,,,,,,,,,,,,,,,,,Courtesy Run,Courtesy Run,Walk,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,,No,,,,,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Behind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,Behind,Behind,N/A,,,,,,,,
Crossing Location Relative to Bus Stop,Downstream,Upstream,Downstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,,Downstream,,,,,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,Downstream,Downstream,Downstream,Upstream,Downstream,,,,,,,,,,,,,,,,,,Downstream,Downstream,Upstream,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver Behavior,medium,medium,medium,medium,medium,medium,medium,light,light,,medium,,,,,medium,medium,medium,medium,light,medium,light,light,light,,light,light,medium,medium,light,light,light,light,medium,medium,light,light,light,medium,low,,,medium,medium,light,light,medium,,,,,,,,,,,,,,,,,,light,medium,light,,,,,,,,
General Reviewer Notes,,,,,"crosses road perpendicular, then side road",,"crosses side road, then perpendicular at crosswalk",,,,"crossed perpendicular t crosswalk, then parallel at side roa",,,,,,,,,,,,,,,,,,,"starts crossing at crosswalk, but walks diagonnal so doesnt end at crosswalk. then crosses at parallel street",,,,,,,,,started at crosswalk but walked diagonally,,,crosses at crosswalk around the corner,,,,,,,,,,,,,,,,,,,,,crossed road around the corner (have not been scoring that),,,,,,,,,,,,
