Group Size,1,1,1,1,1,2,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Female,Male,Male,Male,Male,Male,Female,Male,Male,Hard to Tell,Male,Female,Male,Male,Male,Hard to Tell,Hard to Tell,Male,Male,Female,Female,Male,Female,Female,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,36-50,36-50,36-50,0-20,36-50,21-35,21-35,21-35,21-35,Hard to Tell,21-35,21-35,21-35,21-35,21-35,Hard to Tell,Hard to Tell,21-35,21-35,>50,21-35,36-50,21-35,>50,21-35,21-35,36-50,21-35,>50,>50,0-20,21-35,0-20,0-20,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,Black,Orange,Navy Blue,Grey,Yellow/Black,Black,Black,Grey,Grey,Black,Blue,Red,Blue,Black,Black,Black,Black,White,Green,Brown,Pink,Green,Black,Purple,Purple,Brown,Brown,Grey,Blue,Blue,Black,Black,Black,Black,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,,Pushing a baby stroller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,Yes,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,No,,,,,,,,,,,,,,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,,,,Alighted,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,16:20,16:20,16:20,16:20,,,,7:29:02 AM,,,,,,,,,,,,,,1:20:55 PM,1:20:55 PM,1:20:55 PM,1:20:55 PM,2:51:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,16:21:18,16:21:18,16:21:18,16:21:18,,,,7:29:13 AM,,,,,,,,,,,,,,1:21:14 PM,1:21:14 PM,1:21:14 PM,1:21:14 PM,2:52:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,No,No,No,Yes,Yes,No,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intend to Cross Timestamp,3:05:43 PM,3:17:59 PM,3:26:06 PM,3:29:54 PM,3:39:08 PM,3:36:47 PM,3:36:47 PM,3:58:28 PM,4:03:54 PM,,4:21:18 PM,4:21:18 PM,4:21:28 PM,4:32:40 PM,4:46:00 PM,7:08:18 AM,,7:40:49 AM,9:44:09 AM,9:53:27 AM,9:55:49 AM,10:00:28 AM,10:17:08 AM,10:56:07 AM,12:02:36 PM,12:06:21 PM,12:08:36 PM,12:13:09 PM,12:22:51 PM,12:34:37 PM,1:21:17 PM,1:21:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,3:06:17 PM,3:18:36 PM,3:26:52 PM,3:30:26 PM,3:34:47 PM,3:36:47 PM,3:36:47 PM,3:59:07 PM,4:04:39 PM,,4:21:18 PM,4:21:18 PM,4:21:34 PM,4:32:59 PM,4:46:09 PM,7:08:18 AM,,7:40:58 AM,9:44:56 AM,9:53:56 AM,9:56:13 AM,10:01:21 AM,10:17:11 AM,10:56:36 AM,12:03:04 PM,12:06:21 PM,12:09:22 PM,12:13:09 PM,12:23:17 PM,12:35:27 PM,1:22:09 PM,1:22:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,No,No,No,Yes,Yes,N/A,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:06:30 PM,3:18:50 PM,3:27:04 PM,3:30:31 PM,3:34:58 PM,3:37:01 PM,3:37:01 PM,3:59:17 PM,4:04:49 PM,,4:21:40 PM,4:21:40 PM,4:21:41 PM,4:33:07 PM,4:46:19 PM,7:08:31 AM,,7:41:06 AM,9:55:07 AM,9:54:09 AM,9:56:25 AM,10:01:32 AM,10:17:22 AM,10:56:44 AM,12:03:16 PM,12:06:26 PM,12:09:34 PM,12:13:16 PM,12:23:27 PM,12:35:37 PM,1:22:20 PM,1:22:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,,Walk,Walk,Walk,Walk,Walk,Walk,,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,User barely finished during ped phase,,,,,Pedestrians made car wait at a green light for them to finish crossing,Pedestrians made car wait at a green light for them to finish crossing,,,,Group of two started crossing parallel to bus stop then cut over diagonaly,,,,,J walked downstream from the bus stop between cars ,,User crossed from the crosswalk but upon reaching the other side switched to the roadway,,,,,,Car stopped to allow pedestrian to cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
