Group Size,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Female,Male,Male,Male,Male,Female,Hard to Tell,Male,Hard to Tell,Hard to Tell,Hard to Tell,Male,Hard to Tell,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Male,Male,Male,Male,Male,Female,Hard to Tell,Hard to Tell,Hard to Tell,Male,Hard to Tell,Male,Male,Female,Male,Hard to Tell,Male,Male,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,Hard to Tell,36-50,21-35,>50,>50,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,>50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,36-50,36-50,>50,0-20,36-50,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,21-35,21-35,21-35,Hard to Tell,0-20,0-20,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,Pink,Black,Gray,Blue,Blue,Dark,Dark,Gray,Black,Dark,Dark,Gray,Dark,Purple,Black,Black,Black,Black,Dark,Black,Orange,Blue,Gray,Yellow,Black,Black,Dark,Dark,Dark,Gray,Dark,Gray,Blue,Red,Black,Black,Black,Black,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,,,Jaywalks during green light,,Same user as 4,,,,,,,Waiting at part of intersection where there is no crosswalk connecting - looking to cross the main road,,"Carrying multiple things, had to put them down to press pushbutton to cross",Took a long time to deboard the bus (~14 seconds),Jaywalks far downstream,Jaywalks far downstream,Jaywalks far downstream,Jaywalks far downstream,,,,Holding/on cellphone while waiting,,,,Jaywalks far downstream,Jaywalks far downstream,Jaywalks far downstream,,Jaywalks far downstream,,,,,,,Same user as 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,Alighted,Alighted,Alighted,Alighted,,,,,,Alighted,,,,,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,,,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,1:20:54 PM,1:20:54 PM,1:20:54 PM,1:20:54 PM,,,,,,2:51:38 PM,,,,,,,,,,,,,,,,,,4:20:58 PM,4:20:58 PM,4:20:58 PM,4:20:58 PM,,,7:29:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,1:21:13 PM,1:21:13 PM,1:21:13 PM,1:21:13 PM,,,,,,2:51:58 PM,,,,,,,,,,,,,,,,,,4:21:16 PM,4:21:16 PM,4:21:16 PM,4:21:16 PM,,,7:29:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Noteworthy Events,,,,,,,,,,,,,,,,Users slow down in middle of road to check for oncoming traffic ,Users slow down in middle of road to check for oncoming traffic ,,,,,,,,,,,,,,,,Bus has to depart bus stop while oncoming traffic merges from 2 lanes to 1,Crossed diagonally through intersection with no signal because traffic was jammed,Crossed diagonally through intersection with no signal because traffic was jammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,Yes,Yes,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,N/A,Yes,No,No,No,N/A,Yes,Yes,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intend to Cross Timestamp,12:02:35 PM,12:08:35 PM,12:13:09 PM,12:22:58 PM,12:34:36 PM,,,1:21:16 PM,1:21:18 PM,2:00:43 PM,2:04:29 PM,2:05:57 PM,2:18:17 PM,2:30:18 PM,,,,2:56:25 PM,2:57:54 PM,3:05:37 PM,3:17:58 PM,3:26:04 PM,3:29:54 PM,3:33:45 PM,3:36:47 PM,3:36:48 PM,3:38:28 PM,3:47:51 PM,3:47:51 PM,3:58:27 PM,3:59:08 PM,4:03:52 PM,4:21:10 PM,4:21:18 PM,4:21:18 PM,,4:32:37 PM,4:45:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,12:03:04 PM,12:09:22 PM,12:13:10 PM,12:23:18 PM,12:35:27 PM,,,1:22:09 PM,1:22:10 PM,2:00:43 PM,2:04:29 PM,2:06:42 PM,2:18:17 PM,2:31:08 PM,,2:53:22 PM,2:53:22 PM,2:56:25 PM,2:57:54 PM,3:06:17 PM,3:18:36 PM,3:26:52 PM,3:30:26 PM,3:33:54 PM,3:36:48 PM,3:36:48 PM,3:38:44 PM,3:48:01 PM,3:48:02 PM,3:59:07 PM,3:59:53 PM,4:04:40 PM,4:21:10 PM,4:21:18 PM,4:21:18 PM,,4:32:59 PM,4:46:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,2:31:20 PM,,,,,,,,,,3:34:04 PM,,,,,,,,,16:21:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,2:31:36 PM,,,,,,,,,,3:34:47 PM,,,,,,,,,16:21:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,Yes,No,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,No,Yes,Yes,Yes,N/A,N/A,N/A,,,Yes,N/A,Yes,N/A,N/A,N/A,N/A,Yes,Yes,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,12:03:15 PM,12:09:34 PM,12:13:16 PM,12:23:27 PM,12:35:38 PM,,,,,2:00:51 PM,2:04:39 PM,2:06:52 PM,2:18:33 PM,2:31:51 PM,,2:53:31 PM,2:53:31 PM,2:56:33 PM,2:58:01 PM,3:06:31 PM,3:18:51 PM,3:27:04 PM,3:30:31 PM,3:34:58 PM,3:37:01 PM,3:37:02 PM,3:38:02 PM,3:48:09 PM,3:48:11 PM,3:59:16 PM,4:00:05 PM,4:04:49 PM,4:21:41 PM,4:21:40 PM,4:21:40 PM,,4:33:07 PM,4:46:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Courtesy Run,Walk,Walk,,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Courtesy Run,,Walk,Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,,,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,Behind,Behind,Behind,Behind,Behind,,,Behind,Behind,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,,,Upstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,Jaywalked to get from bus stop to other side of street without having to go through the crosswalks - dangerous and took just as much time,Jaywalked to get from bus stop to other side of street without having to go through the crosswalks - dangerous and took just as much time,,Jaywalks during heavy congestion of traffic to other side of main road rather than crossing 3 times to get to same location,,Jaywalks to other side of main road rather than crossing 3 times to get to same location,"Crosses perpendicular street afterwards, where there is no crosswalk",,Cannot see when they arrive,Cannot see when they arrive,,,Jaywalked across the perpendicular street after crossing was over,,,,Only in a crosswalk once at refuge island to ending,Crossed during the green light - held up traffic,Crossed during the green light - held up traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,Left Intention to Cross blank because I can't see when they first arrive - too far,Left Intention to Cross blank because I can't see when they first arrive - too far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
