Group Size,1,5,5,5,5,5,2,2,2,2,3,3,3,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,4,4,4,4,2,2,2,2,3,3,3,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1
Estimated Gender,Female,Hard to Tell,Female,Female,Female,Hard to Tell,Male,Male,Male,Male,Female,Female,Male,Male,Male,Female,Female,Female,Female,Female,Female,Male,Hard to Tell,Male,Female,Hard to Tell,Hard to Tell,Male,Female,Female,Male,Female,Female,Male,Female,Female,Female,Female,Male,Hard to Tell,Male,Female,Hard to Tell,Male,Female,Female,Female,Female,Hard to Tell,Female,Male,Female,Male,Female,Male,Male,Male,Male
Estimated Age Group,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,21-35,0-20,0-20,0-20,0-20,0-20,0-20,>50,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,21-35,Hard to Tell,0-20,0-20,0-20,Hard to Tell,0-20,Hard to Tell,0-20,0-20,21-35,21-35,0-20,0-20,,0-20,>50
Clothing Color,black,black,black,white,white,gray,black,grey,black,black,black,white,black,black,black,white,black,white,white,black,black,black,brown,black,black,black,black,black,black,white,grey,black,black,red,white,black,pink backpack,black,black,red pants,grey,black,black,red,black,black,white,black,white hood up,black,red,black,black,black,black,black,black,grey
Visibility Scale,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,3,2,3,2,2,3,2,2,2,3,2,2,3,2,3,2,3,2,2,2,2,2,2,2
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no,No,No,No,No,No,Hard to Tell,No,No,No,No,No,No,No,No,No
User Notes,,holds ball,,,,,,,,,,,ran first part to walk w friends,,,calling,,,,,,,pulling smth,,,,,,,,,,,,,,,,,,,,took a right,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:23:23 PM,2:48:38 PM,2:48:38 PM,2:48:38 PM,2:48:38 PM,2:48:38 PM,2:48:38 PM,2:48:38 PM,2:48:38 PM,2:48:38 PM,11:18:31 AM,9:18:20 AM,7:10:15 AM,7:14:32 AM,7:31:25 AM,7:33:33 AM,6:34:52 AM
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:23:30 PM,2:48:52 PM,2:48:52 PM,2:48:52 PM,2:48:52 PM,2:48:52 PM,2:48:52 PM,2:48:52 PM,2:48:52 PM,2:48:52 PM,11:23:38 AM,9:25:06 AM,7:17:37 AM,7:17:37 AM,7:33:47 AM,7:33:45 AM,6:35:04 AM
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,No,,Yes,Yes,,Yes,
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,,,,,N/A,,,,,N/A,
Intention to Cross Time Stamp,3:00:02 PM,3:01:10 PM,3:01:10 PM,3:01:10 PM,3:01:10 PM,3:01:11 PM,3:01:37 PM,3:01:38 PM,3:01:40 PM,3:01:41 PM,3:01:44 PM,3:01:44 PM,3:01:45 PM,3:01:58 PM,3:01:58 PM,3:02:32 PM,3:02:37 PM,3:02:37 PM,3:02:38 PM,3:02:41 PM,3:03:01 PM,3:03:01 PM,,,,,,,,,,,,,,,,,,,,,,2:49:13 PM,,,,,,,,11:18:19 AM,,7:09:56 AM,7:14:18 AM,,7:33:56 AM,
Crossing Start Time,3:00:03 PM,3:01:11 PM,3:01:12 PM,3:01:12 PM,3:01:13 PM,3:01:13 PM,3:01:37 PM,3:01:38 PM,3:01:40 PM,3:01:41 PM,3:01:44 PM,3:01:44 PM,3:01:45 PM,3:02:00 PM,3:02:00 PM,3:02:33 PM,3:02:37 PM,3:02:37 PM,3:02:38 PM,3:02:41 PM,3:03:07 PM,3:03:04 PM,3:03:12 PM,3:03:51 PM,3:03:58 PM,3:04:12 PM,3:04:12 PM,3:04:21 PM,3:04:30 PM,3:04:31 PM,3:05:18 PM,3:05:18 PM,3:05:19 PM,3:05:20 PM,3:09:09 PM,3:09:09 PM,3:09:10 PM,3:09:10 PM,3:09:45 PM,3:09:45 PM,3:09:46 PM,,,2:49:13 PM,,,,,,,,11:18:21 AM,,7:10:05 AM,7:14:18 AM,,7:33:59 AM,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,3:03:53 PM,3:03:58 PM,3:04:12 PM,3:04:12 PM,3:04:27 PM,3:04:30 PM,3:04:31 PM,3:05:21 PM,3:05:21 PM,3:05:22 PM,3:05:22 PM,3:09:10 PM,3:09:10 PM,3:09:10 PM,3:09:10 PM,3:09:45 PM,3:09:46 PM,3:09:47 PM,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:00:12 PM,3:01:20 PM,3:01:20 PM,3:01:21 PM,3:01:21 PM,3:01:21 PM,3:01:46 PM,3:01:46 PM,3:01:48 PM,3:01:48 PM,3:01:53 PM,3:01:53 PM,3:01:53 PM,3:02:08 PM,3:02:09 PM,3:02:43 PM,3:02:44 PM,3:02:44 PM,3:02:46 PM,3:02:46 PM,3:03:10 PM,3:03:09 PM,3:03:22 PM,3:04:02 PM,3:04:03 PM,3:04:17 PM,3:04:18 PM,3:04:30 PM,3:04:38 PM,3:04:38 PM,3:05:29 PM,3:05:30 PM,3:05:30 PM,3:05:30 PM,3:09:23 PM,3:09:23 PM,3:09:18 PM,3:09:18 PM,3:09:56 PM,3:09:56 PM,3:09:57 PM,,,2:49:22 PM,,,,,,,,11:18:31 AM,,7:10:11 AM,7:14:26 AM,,7:34:09 AM,
Crossing Interaction Notes,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Run,Run,Run,Run,Cyclist,Courtesy Run,Walk,Walk,Courtesy Run,Run,Run,Other,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,,,,Walk,,,,,,,,Walk,,Walk,,,Walk,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,No,,,,,,,,No,,No,,,No,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,,,,,,,,N/A,,N/A,,,N/A,
Crossing Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downstream,
Noteworthy Events,,,,,,,,,,,,,,,,,ran to crosswalk,ran to crosswalk,ran to crosswalk,ran to crosswalk,,,can't see intention to cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver Behavior,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,,,2,,,,,,,,1,,2,2,,2,
General Reviewer Notes,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,,,,Someone is helping peds cross,Someone is helping peds cross,,,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,Someone is helping peds cross,,,,,,Someone is helping peds cross,did cross parallel,did cross parallel,did cross parallel,did cross parallel,did cross parallel,did cross parallel,did cross parallel,,,,,,Someone is helping peds cross,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,school bus 15:23:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"bus at 15:40:41, no stop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,schoolbus at 15:45:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bus at 16:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bus at 14:09:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,schoolbus side road 14:38:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,schoolbus 14:42:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
