Visibility Scale,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
Estimated Visible Distrction,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
User Notes,Crossing guard present,Crossing guard present; ped dribbling a ball,Crossing guard present,Crossing guard present,Crossing guard present,Crossing guard present,Crossing guard present - exchanging bags with friend,Crossing guard present - exchanging bags with friend,Crossing guard present,Crossing guard present,Crossing guard present,Crossing guard present,Crossing guard present - kid ran to catch up with friends already in crosswalk,Crossing guard present,Crossing guard present,Crossing guard present - woman talking on the phone,Crossing guard present,Crossing guard present,Crossing guard present,Crossing guard present - ran into crosswalk after friend,Electric bike; Entered street prior to crosswalk then road up to it - confused cars,Crossed right in front of a car before it was fully stopped ,Crossing guard present,Crossing guard present - ran to crosswalk when user saw crossing guard already in street,Crossing guard present - electric scooter,Crossing guard present,Crossing guard present,Crossing guard present,Crossing guard present,Crossing guard present,On phone - Crossing guard present,Crossing guard present,Crossing guard present,Crossing guard present,Crossing guard present,Crossing guard present,Crossing guard present,Crossing guard present,Crossing guard present,Crossing guard present,,,,,,,,,,,,,,Runs into crosswalk after friends,Jaywalks about 10 feet away from crosswalk,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,Boarded,Boarded,Boarded,Alighted,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:34:52 AM,7:17:30 AM,7:17:30 AM,9:25:00 AM,2:23:23 PM,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:35:04 AM,7:17:37 AM,7:17:37 AM,9:25:06 AM,2:23:33 PM,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User had to wave down the bus, then the bus stopped in middle of road rather than pulling over to the side",Went towards Dunkin',,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Intention to Cross Time Stamp,3:00:02 PM,3:01:10 PM,3:01:10 PM,3:01:10 PM,3:01:10 PM,3:01:10 PM,3:01:38 PM,3:01:38 PM,3:01:40 PM,3:01:41 PM,3:01:44 PM,3:01:45 PM,3:01:46 PM,3:01:56 PM,3:01:56 PM,3:02:31 PM,3:02:37 PM,3:02:37 PM,3:02:39 PM,3:02:41 PM,3:03:00 PM,3:03:01 PM,3:03:49 PM,3:03:59 PM,3:04:21 PM,3:04:30 PM,3:04:31 PM,3:05:16 PM,3:05:17 PM,3:05:18 PM,3:05:20 PM,3:09:07 PM,3:09:07 PM,3:09:08 PM,3:09:08 PM,3:09:43 PM,3:09:43 PM,3:09:43 PM,3:10:18 PM,3:11:18 PM,3:12:20 PM,3:12:20 PM,3:12:44 PM,3:12:44 PM,3:12:48 PM,3:12:48 PM,3:12:48 PM,3:13:22 PM,3:13:42 PM,3:14:54 PM,3:14:54 PM,3:15:06 PM,3:15:06 PM,3:15:10 PM,3:17:01 PM,3:19:07 PM,3:19:07 PM,3:19:07 PM,3:20:28 PM,3:20:28 PM,,,,,,,,,
Crossing Start Time,3:00:05 PM,3:01:11 PM,3:01:12 PM,3:01:12 PM,3:01:12 PM,3:01:13 PM,3:01:38 PM,3:01:38 PM,3:01:40 PM,3:01:41 PM,3:01:44 PM,3:01:45 PM,3:01:46 PM,3:02:01 PM,3:02:03 PM,3:02:33 PM,3:02:37 PM,3:02:37 PM,3:02:39 PM,3:02:41 PM,3:03:06 PM,3:03:04 PM,3:03:53 PM,3:03:59 PM,3:04:27 PM,3:04:30 PM,3:04:31 PM,3:05:21 PM,3:05:21 PM,3:05:21 PM,3:05:22 PM,3:09:10 PM,3:09:10 PM,3:09:10 PM,3:09:10 PM,3:09:46 PM,3:09:47 PM,3:09:47 PM,3:10:21 PM,3:11:20 PM,3:12:35 PM,3:12:35 PM,3:12:49 PM,3:12:49 PM,3:12:50 PM,3:12:50 PM,3:12:50 PM,3:13:26 PM,3:13:45 PM,3:15:04 PM,3:15:04 PM,3:15:07 PM,3:15:08 PM,3:15:10 PM,3:17:01 PM,3:19:08 PM,3:19:08 PM,3:19:09 PM,3:20:31 PM,3:20:31 PM,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Crossing End Time,3:00:13 PM,3:01:21 PM,3:01:21 PM,3:01:22 PM,3:01:22 PM,3:01:22 PM,3:01:46 PM,3:01:46 PM,3:01:49 PM,3:01:49 PM,3:01:54 PM,3:01:54 PM,3:01:54 PM,3:02:09 PM,3:02:10 PM,3:02:43 PM,3:02:44 PM,3:02:44 PM,3:02:46 PM,3:02:46 PM,3:03:09 PM,3:03:08 PM,3:04:02 PM,3:04:03 PM,3:04:30 PM,3:04:38 PM,3:04:38 PM,3:05:30 PM,3:05:31 PM,3:05:31 PM,3:05:30 PM,3:09:23 PM,3:09:23 PM,3:09:19 PM,3:09:19 PM,3:09:56 PM,3:09:56 PM,3:09:57 PM,3:10:26 PM,3:11:24 PM,3:12:33 PM,3:12:33 PM,3:12:58 PM,3:12:58 PM,3:12:58 PM,3:12:58 PM,3:12:58 PM,3:13:39 PM,3:13:52 PM,3:15:08 PM,3:15:08 PM,3:15:12 PM,3:15:13 PM,3:15:13 PM,3:17:06 PM,3:19:16 PM,3:19:16 PM,3:19:14 PM,3:20:43 PM,3:20:43 PM,,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Courtesy Run,Courtesy Run,Courtesy Run,Courtesy Run,Cyclist,Cyclist,Walk,Courtesy Run,Other,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Courtesy Run,Courtesy Run,Courtesy Run,Courtesy Run,Courtesy Run,Courtesy Run,Walk,Walk,Courtesy Run,Walk,Walk,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
Crossing Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,Prius drove in fast before stopping even when people were in the crosswalk,,,,,,Dangerous crossing,,,,,,,,,,,,,,,,,Car brakes hard and stops in crosswalk,,,,,,,,,"Walked almost fully to the other side, then turned around and ran back to start of crosswalk",,,,,,,,,,,,,,,,,,,,,
Driver Behavior,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,1,2,3,3,3,3,3,3,3,1,1,3,3,3,3,3,1,1,1,1,3,3,2,3,3,2,1,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9:03:36 am to 9:08:29am, SUV parked where bus pulls over and owner went into Dunkin' (STANDARD_2025_11_13-1833_30.00015)",,,,,,
