Group Size,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,5,5,5,5,1,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Estimated Gender,Hard to Tell,Female,Male,Male,Male,Male,Male,Male,Male,Hard to Tell,Female,Female,Male,Female,Female,Hard to Tell,Male,Female,Male,Female,Female,Female,Female,Female,Female,Female,Hard to Tell,Female,Female,Hard to Tell,Male,Female,Male,Female,Female,Female,Male,Female,Male,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Female,Female,Male,Female,Male,Hard to Tell,Hard to Tell,Male,,,,,,,,,,,,,,
Estimated Age Group,36-50,36-50,36-50,21-35,36-50,36-50,36-50,36-50,21-35,21-35,36-50,36-50,21-35,21-35,21-35,21-35,36-50,36-50,36-50,21-35,Hard to Tell,Hard to Tell,36-50,36-50,36-50,36-50,36-50,36-50,36-50,21-35,36-50,36-50,21-35,36-50,36-50,36-50,36-50,>50,21-35,36-50,36-50,Hard to Tell,Hard to Tell,Hard to Tell,36-50,36-50,36-50,36-50,36-50,36-50,>50,36-50,36-50,,,,,,,,,,,,,,
Clothing Color,Grey,Blue,Red,Black,Grey,Black,White,Red,Black,White,Red,Blue,White,Black,Black,Black,Red,White,Blue,Black,White,Blue,Orange,Red,Black,White,Yellow,Blue,White,Black,Blue,Black,White,Black,Red,White,White,White,Black,White,Brown,White,White,Black, Black,White,White,Black,White,Black,White,Black,White,,,,,,,,,,,,,,
Visibility Scale,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
Roadway Crossing,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,Boarded,,Boarded,Boarded,Boarded,Boarded,,,,,,,,,,,,,,,,,,,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Waited at Bus Stop,Waited at Bus Stop,Waited at Bus Stop,Waited at Bus Stop,Boarded,Boarded,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,3:10:49 PM,,3:10:49 PM,3:10:49 PM,3:10:49 PM,3:10:49 PM,,,,,,,,,,,,,,,,,,,3:45:40 PM,3:45:40 PM,3:45:40 PM,3:45:40 PM,3:45:40 PM,3:45:40 PM,4:16:03 PM,4:16:03 PM,4:36:53 PM,,,,,5:39:44 PM,5:39:44 PM,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,3:11:19 PM,,3:11:19 PM,3:11:19 PM,3:11:19 PM,3:11:19 PM,,,,,,,,,,,,,,,,,,,3:46:01 PM,3:46:01 PM,3:46:01 PM,3:46:01 PM,3:46:01 PM,3:46:01 PM,4:16:26 PM,4:16:03 PM,4:00:00 PM,,,,,5:39:53 PM,5:39:53 PM,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing?,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,,,Yes,Yes,No,,,,,,,,,,,,,,
Pedestrian Phase Crossing?,N/A,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,,,Yes,Yes,No,,,,,,,,,,,,,,
Intend to Cross Timestamp,3:00:42 PM,3:02:21 PM,3:03:11 PM,3:03:57 PM,3:06:01 PM,3:06:01 PM,3:07:10 PM,3:07:41 PM,3:08:06 PM,3:08:57 PM,3:09:34 PM,3:09:34 PM,3:09:46 PM,3:09:47 PM,3:09:48 PM,3:09:50 PM,3:10:44 PM,,,,3:11:23 PM,3:11:23 PM,3:11:27 PM,3:11:28 PM,3:11:28 PM,3:11:29 PM,3:11:35 PM,3:11:36 PM,3:11:36 PM,3:11:38 PM,3:12:17 PM,3:12:17 PM,3:12:59 PM,3:13:41 PM,3:14:22 PM,3:15:32 PM,3:15:33 PM,3:17:10 PM,3:43:52 PM,,,3:45:55 PM,3:45:56 PM,3:45:56 PM,,,,4:41:55 PM,,,5:01:55 PM,5:29:28 PM,5:38:09 PM,,,,,,,,,,,,,,
Crossing Start Time,3:00:50 PM,3:02:23 PM,3:03:20 PM,3:03:58 PM,3:06:11 PM,3:06:11 PM,3:07:11 PM,3:07:48 PM,3:08:11 PM,3:08:58 PM,3:09:42 PM,3:09:42 PM,3:09:47 PM,3:09:48 PM,3:09:49 PM,3:09:51 PM,3:10:45 PM,,,,3:11:27 PM,3:11:27 PM,3:11:28 PM,3:11:29 PM,3:11:29 PM,3:11:31 PM,3:11:36 PM,3:11:37 PM,3:11:38 PM,3:11:39 PM,3:12:18 PM,3:12:18 PM,3:13:00 PM,3:13:42 PM,3:14:24 PM,3:15:33 PM,3:15:34 PM,3:17:11 PM,3:43:53 PM,,,3:45:56 PM,3:45:57 PM,3:45:57 PM,,,,4:41:56 PM,,,5:02:01 PM,5:29:39 PM,5:38:10 PM,,,,,,,,,,,,,,
Refuge Island Start Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,,N/A,,,N/A,N/A,N/A,,,,,,,,,,,,,,
Refuge Island End Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,,N/A,,,N/A,N/A,N/A,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase?,N/A,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,N/A,Yes,,,Yes,Yes,Yes,,,,No,,,Yes,Yes,N/A,,,,,,,,,,,,,,
Crossing End Time,3:02:24 PM,3:02:35 PM,3:03:41 PM,3:04:04 PM,3:06:19 PM,3:06:19 PM,3:07:16 PM,3:08:09 PM,3:08:18 PM,3:09:04 PM,3:09:53 PM,3:09:53 PM,3:09:56 PM,3:09:57 PM,3:09:57 PM,3:09:59 PM,3:10:58 PM,,,,3:11:37 PM,3:11:37 PM,3:11:39 PM,3:11:40 PM,3:11:39 PM,3:11:42 PM,3:11:47 PM,3:11:47 PM,3:11:48 PM,3:11:51 PM,3:12:27 PM,3:12:29 PM,3:13:08 PM,3:13:53 PM,3:14:36 PM,3:15:40 PM,3:15:43 PM,3:17:21 PM,3:44:01 PM,,,3:46:09 PM,3:46:10 PM,3:46:11 PM,,,,4:42:05 PM,,,5:02:13 PM,5:29:50 PM,5:38:22 PM,,,,,,,,,,,,,,
Crossing Interaction Notes,Courtesy Run,Walk,Walk,Run,Walk,Walk,Run,Walk,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,,,Walk,Walk,Walk,,,,Walk,,,Walk,Walk,Walk,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,Yes,Yes,,,,No,,,No,No,No,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,In Front,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,Behind,Behind,Behind,,,,N/A,,,N/A,N/A,N/A,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,,,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,At,Upstream,Upstream,Upstream,,,Upstream,Upstream,Upstream,,,,Upstream,,,Upstream,Upstream,Downstream,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,Medium,Medium,Medium,Medium,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,High,,,,Medium,High,High,High,High,High,High,High,High,High,High,High,High,Light,Medium,Medium,Medium,High,High,,,High,High,High,,,,Light,,,High,High,High,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goal: 30 bus users and 30 non-bus users, or 2hrs of video data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
