Group Size,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,6,6,6,6,6,1,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
Estimated Gender,Male,Female,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Male,Male,Male,Male,Male,Female,Male,Female,Female,Female,Female,Female,Female,Female,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Female,Male,Female,Female,Female,Male,Male,Male,Female,Female,Female,Female,Male,Hard to Tell,Female,Female,Hard to Tell,Hard to Tell,Hard to Tell,Female,Male,Male,,,,,,,,,,,,
Estimated Age Group,36-50,36-50,36-50,0-20,36-50,36-50,21-35,>50,36-50,21-35,36-50,36-50,21-35,21-35,21-35,21-35,>50,21-35,36-50,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,21-35,21-35,36-50,21-35,36-50,Hard to Tell,Hard to Tell,36-50,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to tell,21-35,,,,,,,,,,,,
Clothing Color,Blue,Black,Red,black,Black,white,WHITE,red,BLACK,WHITE,RED,BLUE,WHITE,BLACK,black,black,red,white,blue,black,WHITE,BLUE,ORANGE,RED,BLACK,WHITE,WHITE,GREEN,GREEN,Hard to tell,BLUE,BLACK,White,BLACK,RED,WHITE,WHITE,BLUE,BLACK,WHITE,BLACK,WHITE,WHITE,BLACK,BLACK,BROWN,WHITE,BLACK,BLACK,BLACK,Hard to Tell,hard to tell,white,,,,,,,,,,,,
Visibility Scale,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,1,2,2,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,2,2,3,,,,,,,,,,,,
Estimated Visible Distrction,No,No,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,Boarded,,Boarded,Boarded,Boarded,Boarded,,,,,,,,,,,,,,,,,,,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Waited at Bus Stop,Waited at Bus Stop,Waited at Bus Stop,Waited at Bus Stop,Boarded,Boarded,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,3:10:50 PM,,3:10:50 PM,3:10:50 PM,3:10:50 PM,3:10:50 PM,,,,,,,,,,,,,,,,,,,3:45:39 PM,3:45:39 PM,3:45:39 PM,3:45:39 PM,3:45:39 PM,3:45:39 PM,4:16:03 PM,4:16:03 PM,4:36:52 PM,,,,,5:39:44 PM,5:39:44 PM,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,3:11:20 PM,,3:11:20 PM,3:11:20 PM,3:11:20 PM,3:11:20 PM,,,,,,,,,,,,,,,,,,,3:46:02 PM,3:46:02 PM,3:46:02 PM,3:46:02 PM,3:46:02 PM,3:46:02 PM,4:16:27 PM,4:16:27 PM,4:37:09 PM,,,,,5:39:53 PM,5:39:53 PM,,,,,,,,,,,,
Noteworthy Events,,,,,,,,waited for a long time for the bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing?,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,,,,,,,,,,,
Pedestrian Phase Crossing?,N/A,Yes,Yes,No,,,No,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,No,No,Yes,N/A,N/A,Yes,Yes,Yes,N/A,N/A,N/A,Yes,N/A,N/A,,Yes,No,,,,,,,,,,,,
Intend to Cross Timestamp,15:00:41,15:02:21,15:03:21,15:03:58,15:06:04,15:06:04,15:07:07,15:07:45,15:08:06,15:08:51,15:09:37,15:09:37,15:09:44,15:09:44,15:09:42,15:09:42,15:10:43,,,,15:11:24,15:11:26,15:11:26,15:11:28,15:11:28,15:11:28,15:11:29,15:11:35,15:11:36,15:11:37,15:12:13,15:12:13,3:12:59 PM,15:13:37,15:14:20,15:15:29,15:15:30,15:17:10,15:43:45,,,15:45:53,15:45:53,15:45:53,,,,16:41:55,,,15:01:55,17:29:34,17:38:08,,,,,,,,,,,,
Crossing Start Time,15:00:47,15:02:23,15:03:28,15:03:59,15:06:05,15:06:10,15:07:19,15:07:48,15:08:11,15:08:57,15:09:42,15:09:37,15:09:47,15:09:48,15:09:46,15:09:51,15:10:45,,,,15:11:26,15:11:27,15:11:27,15:11:29,15:11:29,15:11:29,15:11:31,15:11:36,15:11:36,15:11:39,15:12:19,15:12:19,3:13:00 PM,15:13:42,15:14:25,15:15:32,15:15:34,15:17:12,15:43:54,,,15:45:55,15:45:55,15:45:55,,,,16:41:56,,,17:02:01,17:29:40,17:38:11,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase?,No,Yes,Yes,No,N/A,N/A,No,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,N/A,Yes,N/A,N/A,Yes,Yes,Yes,N/A,N/A,N/A,No,N/A,N/A,Yes,Yes,No,,,,,,,,,,,,
Crossing End Time,3:00:56 PM,3:02:33 PM,3:03:39 PM,3:04:04 PM,3:06:19 PM,3:06:19 PM,3:07:16 PM,3:08:07 PM,3:08:18 PM,3:09:04 PM,3:09:53 PM,3:09:53 PM,3:09:57 PM,3:09:59 PM,3:09:57 PM,3:09:59 PM,3:10:58 PM,,,,3:11:36 PM,3:11:36 PM,3:11:37 PM,3:11:38 PM,3:11:38 PM,3:11:41 PM,3:11:41 PM,3:11:46 PM,3:11:46 PM,3:11:51 PM,3:12:27 PM,3:12:29 PM,3:13:08 PM,3:13:51 PM,3:14:35 PM,3:15:40 PM,3:15:42 PM,3:17:22 PM,3:44:01 PM,,,3:46:08 PM,3:46:08 PM,3:46:08 PM,,,,4:42:05 PM,,,5:02:14 PM,5:29:50 PM,5:38:21 PM,,,,,,,,,,,,
Crossing Interaction Notes,Courtesy Run,Walk,Walk,Run,Walk,Walk,Run,Walk,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,,,Walk,Walk,Walk,,,,Walk,,,Walk,Walk,Walk,,,,,,,,,,,,
Bus Presence,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,,,Yes,Yes,Yes,,,,No,,,No,No,No,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Front,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,Behind,Behind,Behind,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,,,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,Upstream,Upstream,Upstream,,,,Upstream,,,Upstream,Upstream,Upstream,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,Medium,Light,Medium,High,Light,Light,Light,Light,Medium,Light,Light,Light,Medium,Medium,Light,Light,High,,,,High,High,High,High,High,High,High,High,High,High,High,High,High,Light,Light,Light,Light,Light,Light,,,Medium,Medium,Medium,,,,Light,,,Medium,Light,Medium,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
