Group Size,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Estimated Gender,Female,Female,Male,Female,Male,Male,Male,Hard to Tell,Male,Male,Male,Female,Hard to Tell,Hard to Tell,Male,Female,Male,Male,Male,Female,Male,Male,Male,Male,Male,Hard to Tell,Female,Male,Male,Female,Male,Female,Male,Hard to Tell,Female,Male,Female,Male,Female,Male,Male
Estimated Age Group,Hard to Tell,Hard to Tell,Hard to Tell,36-50,36-50,36-50,>50,Hard to Tell,21-35,>50,21-35,21-35,Hard to Tell,Hard to Tell,36-50,36-50,36-50,21-35,21-35,21-35,21-35,0-20,21-35,0-20,21-35,Hard to Tell,21-35,21-35,21-35,36-50,21-35,36-50,21-35,>50,21-35,21-35,21-35,>50,21-35,>50,21-35
Clothing Color,black,white,black,black,grey,black,black,black,black,grey,black,black,black,black,blue,white,white,white/black,black,white,black,black,black,black,orange,black,black,blue,blue,white,black,white/black,black,grey,red,black,black,white,pink,white,white
Visibility Scale,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,3,2,2,3,3,3,2,2,2,2,3,2,2,3,3,3,3
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,Hard to Tell,No,No,No,No,No,No,No,No,No,No,No,Hard to Tell,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
User Notes,,,,,,,,,,,,,,,,,,,,,escooter,escooter,,escooter,,,,,,,,,jogging,,waited at bus stop for - 25 min,waited at bus stop for - 25 min,waited at bus stop for a car,"waited at busstop for 10 min and then walked away ","waited at busstop, left, came back. talked to person AP","waited at stop, left, came back, left, came back, left. talked to person AP",waited at stop for 2 hours
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,,Alighted,Waited at Bus Stop,Waited at Bus Stop,Waited at Bus Stop,Waited at Bus Stop,Waited at Bus Stop,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:44:47 PM,,5:58:05 PM,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:44:55 PM,,3:58:29 PM,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,
Pedestrian Phase Crossing,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,,,,,,
Intention To Cross Timestamp,3:06:42 PM,3:06:42 PM,3:08:07 PM,3:30:49 PM,3:32:11 PM,3:32:11 PM,3:37:54 PM,3:45:21 PM,3:49:16 PM,3:56:45 PM,4:12:03 PM,4:12:03 PM,4:20:07 PM,4:23:57 PM,4:27:11 PM,4:27:11 PM,4:32:45 PM,,4:50:47 PM,4:50:47 PM,4:51:47 PM,4:54:43 PM,5:03:22 PM,5:13:38 PM,5:15:56 PM,5:17:02 PM,5:33:41 PM,5:33:51 PM,5:33:54 PM,5:38:15 PM,5:43:25 PM,,5:57:16 PM,5:58:58 PM,,,,,,,
Crossing Start Time,3:06:50 PM,3:06:50 PM,3:08:08 PM,3:30:55 PM,3:32:13 PM,3:32:13 PM,3:38:46 PM,3:45:23 PM,3:49:17 PM,3:47:12 PM,4:12:11 PM,4:12:11 PM,4:20:13 PM,4:24:03 PM,4:27:12 PM,4:27:12 PM,4:32:47 PM,,4:50:54 PM,4:50:54 PM,4:51:50 PM,4:54:51 PM,5:03:30 PM,5:13:51 PM,5:15:57 PM,5:17:04 PM,5:33:46 PM,5:33:53 PM,5:33:54 PM,5:38:29 PM,5:43:35 PM,,5:57:25 PM,5:59:08 PM,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,,,,,,
Crossing End Time,3:07:07 PM,3:07:07 PM,3:08:15 PM,3:31:05 PM,3:32:27 PM,3:32:27 PM,3:38:55 PM,3:45:30 PM,3:49:29 PM,3:57:23 PM,4:12:22 PM,4:12:22 PM,4:20:29 PM,4:24:16 PM,4:27:28 PM,4:27:28 PM,4:33:01 PM,4:42:20 PM,4:51:07 PM,4:51:07 PM,4:51:56 PM,4:54:58 PM,5:03:36 PM,5:13:57 PM,5:16:13 PM,5:17:18 PM,5:33:56 PM,5:34:04 PM,5:34:04 PM,5:38:41 PM,5:43:44 PM,,5:57:32 PM,5:59:37 PM,,,,,,,
Crossing Interaction Notes,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Other,Other,Run,Other,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,Run,Walk,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,,,,,,
Crossing Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,At,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,Downstream,Upstream,,,,,,,
Noteworthy Events,some cars did not stop,some cars did not stop,,,,,lot of cars did not stop,,,,,,,,,,,,,,,,cars did not stop,cars did not stop,,,,,,,cars do not stop,,,cars do not stop,,,,,,,
Driver Behavior,high,high,medium,high,medium,medium,medium,medium,light,medium,medium,medium,high,medium,medium,medium,medium,light,high,high,high,high,light,medium,medium,medium,high,medium,medium,medium,medium,,,medium,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,can not see moment ped started crossing,,,,,,,,,,,,,,,,,,,,,,,
