Group Size,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
Estimated Gender,Female,Female,Hard to Tell,Female,Male,Male,Male,Hard to Tell,Female,Male,Male,Female,Hard to Tell,Hard to Tell,Male,Female,Male,Male,Male,Female,Hard to Tell,Male,Hard to Tell,Male,Male,Hard to Tell,Female,Male,Male,Female,Male,Female,Male,Hard to Tell,Male
Estimated Age Group,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,Hard to Tell,Hard to Tell,36-50,Hard to Tell,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,36-50,Hard to Tell,Hard to Tell,21-35,21-35,>50,0-20,21-35,Hard to Tell,>50,36-50
Clothing Color,white,black,grey,black,grey,black,red,grey,black,green,black,black,grey,black,blue,white,white,blue,black,white,black,black,black,grey,pink,grey,grey,blue,blue,white,black,white,brown,grey,blue
Visibility Scale,3,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,3,3,3,2,2,2,2,3,2,2,3,3,3,2,3,2,2,3
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
User Notes,,,,,,,,,,,,,,,,,,,,,e-scooter,escooter,,e-scooter,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,,Alighted,Waited at Bus Stop
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:44:48 PM,,5:58:06 PM,8:10:00 PM
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:44:56 PM,,5:58:30 PM,8:10:09 PM
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,
Intention to Cross Timestamp,3:06:43 PM,3:06:43 PM,3:08:05 PM,3:30:49 PM,3:32:12 PM,3:32:12 PM,3:37:54 PM,3:45:21 PM,3:49:15 PM,3:56:43 PM,4:12:04 PM,4:12:04 PM,4:20:06 PM,4:24:00 PM,4:27:10 PM,4:27:10 PM,4:32:45 PM,,4:50:47 PM,4:50:47 PM,4:51:46 PM,4:54:40 PM,5:03:23 PM,5:13:37 PM,5:15:57 PM,5:17:02 PM,5:33:41 PM,5:33:50 PM,5:33:53 PM,5:38:15 PM,5:43:25 PM,,5:57:16 PM,5:58:57 PM,
Crossing Start Time,3:06:50 PM,3:06:50 PM,3:08:07 PM,3:30:54 PM,3:32:13 PM,3:32:13 PM,3:38:45 PM,3:45:22 PM,3:49:17 PM,3:57:11 PM,4:12:11 PM,4:12:11 PM,4:20:12 PM,4:24:03 PM,4:27:12 PM,4:27:12 PM,4:32:47 PM,,4:50:54 PM,4:50:54 PM,4:51:51 PM,4:54:50 PM,5:03:30 PM,5:13:51 PM,5:15:57 PM,5:17:03 PM,5:33:45 PM,5:33:53 PM,5:33:54 PM,5:38:30 PM,5:43:35 PM,,5:57:25 PM,5:59:09 PM,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,
Crossing End Time,3:07:07 PM,3:07:07 PM,3:08:17 PM,3:31:07 PM,3:32:28 PM,3:32:27 PM,3:38:57 PM,3:45:33 PM,3:49:28 PM,3:57:24 PM,4:12:23 PM,4:12:23 PM,4:20:30 PM,4:24:17 PM,4:27:29 PM,4:27:29 PM,4:33:05 PM,4:42:20 PM,4:51:06 PM,4:51:06 PM,4:51:56 PM,4:54:59 PM,5:03:35 PM,5:13:57 PM,5:16:13 PM,5:17:18 PM,5:33:57 PM,5:34:05 PM,5:34:05 PM,5:38:42 PM,5:43:44 PM,,5:57:32 PM,5:59:39 PM,
Crossing Interaction Notes,Walk,Walk,Run,Walk,Walk,Walk,Walk,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Other,Other,Run,Other,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,Run,Walk,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,
Crossing Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,At,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,Downstream,Downstream,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver Behavior,high,high,light,high,medium,medium,high,medium,light,medium,light,light,high,light,medium,medium,light,light,high,high,high,high,light,high,light,light,medium,medium,medium,medium,medium,medium,light,medium,medium
General Reviewer Notes,,,,,,,,,,,,,,"tree blocks view, unclear when user finished crossing",,,,user starts crossing out of camera view,,,,,,,,,,,,,,,,,No other busses come after this point or before 3pm
