Intention to Cross Time Stamp,3:07:35 PM,3:07:54 PM,3:09:55 PM,3:11:32 PM,3:16:17 PM,3:16:42 PM,3:16:42 PM,3:16:46 PM,3:22:37 PM,3:24:07 PM,,3:32:41 PM,3:33:21 PM,3:34:50 PM,3:35:15 PM,3:35:15 PM,3:35:16 PM,3:35:17 PM,3:35:19 PM,3:35:59 PM,3:37:37 PM,3:37:30 PM,3:39:19 PM,3:39:10 PM,3:39:21 PM,3:41:22 PM,3:41:23 PM,3:42:18 PM,3:42:27 PM,3:42:27 PM,3:45:53 PM,3:46:41 PM,3:49:31 PM,3:51:08 PM,3:51:49 PM,3:55:39 PM,4:22:08 PM,,,,,,,,5:45:32 PM,12:44:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,3:07:39 PM,3:07:54 PM,3:09:56 PM,3:11:32 PM,3:16:17 PM,3:16:42 PM,3:16:42 PM,3:16:46 PM,3:22:38 PM,3:24:13 PM,,3:32:41 PM,3:33:21 PM,3:34:50 PM,3:35:16 PM,3:35:15 PM,3:35:16 PM,3:35:17 PM,3:35:19 PM,3:35:59 PM,3:37:39 PM,3:37:30 PM,3:39:23 PM,3:39:10 PM,3:39:24 PM,3:41:23 PM,3:41:24 PM,3:42:18 PM,3:42:35 PM,3:42:37 PM,3:45:53 PM,3:46:41 PM,3:49:31 PM,3:51:08 PM,3:51:49 PM,3:55:39 PM,4:22:28 PM,,,,,,,,5:45:51 PM,12:45:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,3:07:47 PM,3:08:01 PM,,,,,,,3:22:48 PM,3:24:19 PM,,,,,3:35:23 PM,3:35:23 PM,3:35:23 PM,3:35:25 PM,3:35:26 PM,,,,,,,,,,,,,,,3:51:20 PM,,,,,,,,,,,,12:45:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,3:08:07 PM,3:08:03 PM,,,,,,,3:23:08 PM,3:24:25 PM,,,,,3:35:30 PM,3:35:30 PM,3:35:30 PM,3:35:30 PM,3:35:31 PM,,,,,,,,,,,,,,,3:51:37 PM,,,,,,,,,,,,12:49:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:08:16 PM,3:08:12 PM,3:09:59 PM,3:11:43 PM,3:16:30 PM,3:16:52 PM,3:16:52 PM,3:16:50 PM,3:23:19 PM,3:24:32 PM,,3:32:52 PM,3:33:24 PM,3:34:58 PM,3:35:39 PM,3:35:40 PM,3:35:41 PM,3:35:41 PM,3:35:41 PM,3:36:10 PM,3:37:51 PM,3:37:34 PM,3:39:31 PM,3:39:14 PM,3:39:31 PM,15;41:37,3:41:37 PM,3:42:28 PM,3:42:44 PM,3:42:46 PM,3:46:05 PM,3:46:52 PM,3:49:41 PM,3:51:45 PM,3:51:54 PM,3:55:50 PM,4:22:32 PM,,,,,,,,5:46:01 PM,12:49:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Cyclist,Walk,Walk,Walk,Walk,Cyclist,Walk,Walk,Walk,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Cyclist,Walk,Other,Walk,Walk,Walk,Walk,Cyclist,Cyclist,Walk,Walk,Walk,Walk,Cyclist,Walk,Courtesy Run,,,,,,,,,Courtesy Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,,,,,,,,,,,In Front,,,,,,,,,,,,,,,,,,,,,,,,,,Behind,,,,,,,,In Front,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,,,,,,,,Downstream,Downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,Crossed parallel then jaywalked perpendicular,,Parallel crossing,Parallel crossing,Parallel crossing,Parallel crossing,Parallel crossing: Walking in middle of crosswalk & barely moves over for biker,Parallel crossing,,,In Front of bus but on crosswalk parallel to street,Parallel crossing,Parallel crossing: Cycling in bike lane on wrong side of street then gets on the sidewalk after crossing,Parallel crossing,,,,,,Parallel crossing,Jaywalked,Parallel crossing,Parallel crossing,Parallel crossing,Parallel crossing,,,Parallel crossing,,,Parallel crossing,Parallel crossing,Parallel crossing,,Parallel crossing,Parallel crossing: Crossed just outside of crosswalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver Behavior,,,,,,,,,,,,,,,,,,,,,,,"Driver made left turn despite pedestrians on both sides of crosswalk, but pedestrians may have indicated for them to go",,,,,,,,,,,,,,,,,,,,,,,Truck driver tried to go around bus & created dangerous situation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd stop up on right side (hard to see),3rd stop up on right side (hard to see),,,,,,,,No refuge island but crossed twice; once to jaywalk left then used crosswalk back to right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
