Group Size,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,3,3,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Male,Male,Male,Male,Female,Male,Male,Female,Female,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Male,Male,Male,Female,Male,Male,Female,Male,Female,Male,Male,Female,Female,Female,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,>50,36-50,>50,0-20,21-35,21-35,21-35,21-35,21-35,21-35,21-36,21-35,21-35,36-50,36-50,36-50,0-20,0-20,36-50,36-50,0-20,36-50,21-35,36-50,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,36-50,21-35,21-35,21-35,21-35,21-35,0-20,0-20,0-20,21-35,21-35,36-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,Black,Black,Pink/Blue,Black,Black,Black/Blue,Black,Pink,Black,Black,Black,Grey,Black,Blue,Orange,Black,Light Blue,Black,White,Black,Dark blue,Purple,White,Grey,White,Black/White,Red,Grey,Grey,Black,Grey,Pink,Red,Black,Blue,White,White,White,Black,Black,White,White,Black,White,Pink,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,Listening to music and dancing/ using mobile phone,,,,Talking on the phone,,,,,Eating ice cream,Same Man as before but with two distinct crossings,,,,,,"Family of 5, elementary age children and two women, one of the kids had a wagon behind him",,,,Boy With Wagon,,,,Electric scooter,,,Couple holding hands,,On His Phone,,,,,,Crossed the roadway before the intersections,Same user as before but instead crossed at an actual sidewalk this time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,Boarded,,,,,,,,,,,,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,12:53:01 PM,,,,,,,,,,,,3:25:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,4:21:54 PM,5:19:29 PM,5:19:29 PM,5:19:29 PM,5:19:29 PM,5:19:29 PM,5:45:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,12:53:19 PM,,,,,,,,,,,,3:26:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,4:22:05 PM,5:19:41 PM,5:19:41 PM,5:19:41 PM,5:19:41 PM,5:19:41 PM,5:45:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intention to Cross Time Stamp,12:49:17 PM,3:07:37 AM,3:07:53 PM,3:09:56 PM,3:11:34 PM,3:16:17 PM,3:16:42 PM,3:16:42 PM,3:16:46 PM,3:22:38 PM,3:23:07 PM,3:24:08 PM,3:26:01 PM,3:32:40 PM,3:33:21 PM,3:34:50 PM,3:35:14 PM,3:35:14 PM,3:35:14 PM,3:35:14 PM,3:35:14 PM,3:35:58 PM,3:37:31 PM,3:37:36 PM,3:39:10 PM,3:39:18 PM,3:39:21 PM,3:41:22 PM,3:41:22 PM,3:42:18 PM,3:42:27 PM,3:42:27 PM,3:45:53 PM,3:46:41 PM,3:49:30 PM,3:51:08 PM,3:51:36 PM,3:51:48 PM,3:55:39 PM,4:22:09 PM,,,,,,5:45:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,12:49:17 PM,3:07:37 AM,3:07:53 PM,3:09:56 PM,3:11:34 PM,3:16:17 PM,3:16:42 PM,3:16:42 PM,3:16:46 PM,3:22:38 PM,3:23:07 PM,3:24:13 PM,3:26:01 PM,3:32:40 PM,3:33:21 PM,3:34:50 PM,3:35:14 PM,3:35:14 PM,3:35:14 PM,3:35:14 PM,3:35:14 PM,3:35:58 PM,3:37:31 PM,3:37:36 PM,3:39:10 PM,3:39:18 PM,3:39:24 PM,3:41:22 PM,3:41:22 PM,3:42:18 PM,3:42:36 PM,3:42:36 PM,3:45:53 PM,3:46:41 PM,3:49:30 PM,3:51:08 PM,3:51:36 PM,3:51:48 PM,3:55:39 PM,4:22:27 PM,,,,,,5:45:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,3:24:19 PM,,,,,3:35:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,3:24:25 PM,,,,,3:35:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,12:49:24 PM,3:07:47 AM,3:08:12 PM,3:10:00 PM,3:11:43 PM,3:16:30 PM,3:16:51 PM,3:16:51 PM,3:16:50 PM,3:22:48 PM,3:23:19 PM,3:24:31 PM,3:26:09 PM,3:32:52 PM,3:33:24 PM,3:34:58 PM,3:35:42 PM,3:35:42 PM,3:35:42 PM,3:35:42 PM,3:35:42 PM,3:36:08 PM,3:37:34 PM,3:37:50 PM,3:39:14 PM,3:39:30 PM,3:39:31 PM,3:41:35 PM,3:41:35 PM,3:42:27 PM,2:42:45 PM,2:42:45 PM,3:46:03 PM,3:46:51 PM,3:49:41 PM,3:51:20 PM,3:51:45 PM,3:51:54 PM,3:55:50 PM,4:22:32 PM,,,,,,5:46:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Walk,Cyclist,Walk,Walk,Walk,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Cyclist,Walk,Other,Walk,Walk,Walk,Walk,Walk,Cyclist,Cyclist,Walk,Walk,Walk,Walk,Walk,Cyclist,Walk,Courtesy Run,,,,,,Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,,,,,,Downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,"Pedestrian j-walked to the other side of the road earlier before using the crosswalk to cross back to the bus stop, but only noting crosswalk crossing because that was the crossing with intention of going to the bus stop",,,,,,,,,,,Crossed in an L shape over one road then over the next crosswalk to his right,,,Started in roadway then switched to crosswalk then sidewalk after crossing intersection,,"Group crossed in al L shape, waiting briefly at the second crosswalk for traffic to stop before they proceeded across the second stretch of road",,,,,,,Walked diagonally across the center of the intersection,,car turning left over sidewalk did not yield to him so he had to pause in the middle of the crosswalk to avoid getting hit,Had to wait for the car taking left,Couple stayed in the crosswalk most of the time but did cut the corner to get to the second L of the crosswalk to get to the opposite corner,,,,,,,,,,,,User got off the bus and immediately went to J walk across the road. Traffic came to a stop for him even though he was not crossing in a designated crosswalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver Behavior,"When bus was leaving dump truck tried to pass, had to stop for pedestrians in the crosswalk and almost went head on with the cars in the other lane + bus had to move to the left to help avoid collision",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
