Group Size,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Female,Female,Female,Female,Female,Female,Female,Male,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Female,Female,Female,Female,Female,Female,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Female,Female,Female,Male,Female,Female,Female,Female,Male,Female,Hard to Tell,Hard to Tell,Male,Male,Female,Female,Female,Female,Female,Male,Male,Male,Female,Female,Female,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Male,Female,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Female,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Female,Female,Male,Female,Male,Male,Female,Male,Male,Male,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Male,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,21-35,21-35,0-20,21-35,21-35,21-35,21-35,21-35,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,Hard to Tell,Hard to Tell,21-35,21-35,21-35,21-35,36-50,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,0-20,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,21-35,21-35,21-35,21-35,0-20,21-35,0-20,0-20,0-20,0-20,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,black,black,black,red,black,black,black,grey,grey,black,Hard to Tell,Hard to Tell,Hard to Tell,black,grey,black,pink,black,black,red,pink,pink,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,blue,brown,black,blue,black,black,black,black,black,grey,black,Hard to Tell,Hard to Tell,black,black,black,black,black,black,brown,black,black,black,black,black,grey,black,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,black,black,black,black,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,orange,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,white,black,black,black,black,white,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,blue,blue,white,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,3,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,Yes,No,No,No,No,No,No,No,No,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,No,No,No,No,No,No,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,No,No,No,No,No,No,No,No,Hard to Tell,Hard to Tell,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,No,Yes,No,No,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Yes,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"didnt exactly stop at bus stop,  a car was infront of it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,Boarded,Boarded,Boarded,,,,,,,,,,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,,,,,,,,,,,,Boarded,Boarded,,,,,,,,,,,,,,,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,,,,,Boarded,Boarded,Boarded,Boarded,,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,3:04:12 PM,3:04:12 PM,3:04:12 PM,,,,,,,,,,3:08:14 PM,3:08:14 PM,3:08:14 PM,3:08:14 PM,3:08:14 PM,3:08:14 PM,3:08:14 PM,3:08:14 PM,3:08:14 PM,3:08:38 PM,3:08:38 PM,3:08:38 PM,3:08:38 PM,3:08:38 PM,,,,,,,,,,,,3:12:34 PM,3:12:34 PM,,,,,,,,,,,,,,,3:16:21 PM,3:16:21 PM,3:16:21 PM,3:16:21 PM,3:16:21 PM,3:16:21 PM,3:16:21 PM,3:16:21 PM,,,,,3:19:43 PM,3:19:43 PM,3:19:43 PM,3:19:43 PM,,3:20:35 PM,3:20:35 PM,3:20:35 PM,3:20:35 PM,3:20:35 PM,3:20:35 PM,3:20:35 PM,3:20:35 PM,3:20:35 PM,3:20:35 PM,3:20:35 PM,3:20:47 PM,3:20:47 PM,3:20:47 PM,3:20:47 PM,3:20:47 PM,3:20:47 PM,3:20:47 PM,3:20:39 PM,3:20:39 PM,3:20:39 PM,3:20:39 PM,,,,,,,,,,,,,,3:25:09 PM,3:25:09 PM,3:25:09 PM,3:25:09 PM,3:25:09 PM,3:25:09 PM,3:25:09 PM,3:25:09 PM,3:26:00 PM,3:26:00 PM,3:26:00 PM,3:26:00 PM,3:26:00 PM,3:26:00 PM,3:26:00 PM,3:26:00 PM,3:26:00 PM,3:26:00 PM,3:26:00 PM,3:27:49 PM,3:29:18 PM,3:29:18 PM,3:29:18 PM,3:29:18 PM,3:29:18 PM,3:29:18 PM,3:29:18 PM,3:29:18 PM,3:29:18 PM,3:31:49 PM,3:31:49 PM,3:31:49 PM,3:31:49 PM,3:31:49 PM,3:31:49 PM,3:31:49 PM,3:31:49 PM,3:31:49 PM,3:31:49 PM,3:31:49 PM,3:34:23 PM,3:34:23 PM,3:34:23 PM,3:34:23 PM,3:34:23 PM,3:34:23 PM,3:34:23 PM,3:34:23 PM,3:34:23 PM,3:34:23 PM,3:34:23 PM,3:35:57 PM,3:35:57 PM,3:35:57 PM,3:35:57 PM,3:35:57 PM,3:35:57 PM,3:35:57 PM,3:36:39 PM,3:36:39 PM,3:36:39 PM,3:36:39 PM,3:36:39 PM,3:36:39 PM,3:40:09 PM,3:40:09 PM,3:40:09 PM,3:40:09 PM,3:40:09 PM,3:40:09 PM,3:40:09 PM,3:40:09 PM,3:40:09 PM,3:40:09 PM,3:40:09 PM,3:41:26 PM,3:41:26 PM,3:41:36 PM,3:41:36 PM,3:41:36 PM,3:41:36 PM,3:41:36 PM,3:48:03 PM,3:48:03 PM,3:48:03 PM,3:48:03 PM,3:48:03 PM,3:48:03 PM,3:48:03 PM,3:48:03 PM,3:48:03 PM,3:48:45 PM,3:48:45 PM,3:48:45 PM,3:51:55 PM,3:51:59 PM,3:51:59 PM,3:51:59 PM,3:51:59 PM,3:51:59 PM,3:51:59 PM,3:51:59 PM,3:51:59 PM,3:51:59 PM,3:52:32 PM,3:52:32 PM,3:52:32 PM,3:52:32 PM,3:52:32 PM,3:52:32 PM,3:52:32 PM,3:52:32 PM,3:52:32 PM,3:54:15 PM,3:54:15 PM,3:54:15 PM,3:54:15 PM,3:54:15 PM,3:54:15 PM,3:54:15 PM,3:54:15 PM,3:56:15 PM,3:56:15 PM,3:56:15 PM,3:56:15 PM,3:56:28 PM,3:56:28 PM,3:56:28 PM,3:56:28 PM,3:56:28 PM,3:56:28 PM,3:56:28 PM,3:56:28 PM,3:56:28 PM,3:56:28 PM,3:56:28 PM,3:59:22 PM,3:59:22 PM,3:59:22 PM,3:59:22 PM,3:59:22 PM,3:59:22 PM,3:59:22 PM,3:59:22 PM,3:59:22 PM,3:59:22 PM,3:59:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,15:04:31 PM,15:04:31 PM,15:04:31 PM,,,,,,,,,,3:08:40 PM,3:08:40 PM,3:08:40 PM,3:08:40 PM,3:08:40 PM,3:08:40 PM,3:08:40 PM,3:08:40 PM,3:08:40 PM,3:09:02 PM,3:09:02 PM,3:09:02 PM,3:09:02 PM,3:09:02 PM,,,,,,,,,,,,3:13:07 PM,3:13:07 PM,,,,,,,,,,,,,,,3:16:45 PM,3:16:45 PM,3:16:45 PM,3:16:45 PM,3:16:45 PM,3:16:45 PM,3:16:45 PM,3:16:45 PM,,,,,3:20:13 PM,3:20:13 PM,3:20:13 PM,3:20:13 PM,,3:21:04 PM,3:21:04 PM,3:21:04 PM,3:21:04 PM,3:21:04 PM,3:21:04 PM,3:21:04 PM,3:21:04 PM,3:21:04 PM,3:21:04 PM,3:21:04 PM,3:21:12 PM,3:21:12 PM,3:21:12 PM,3:21:12 PM,3:21:12 PM,3:21:12 PM,3:21:12 PM,3:21:04 PM,3:21:04 PM,3:21:04 PM,3:21:04 PM,,,,,,,,,,,,,,3:25:51 PM,3:25:51 PM,3:25:51 PM,3:25:51 PM,3:25:51 PM,3:25:51 PM,3:25:51 PM,3:25:51 PM,3:26:31 PM,3:26:31 PM,3:26:31 PM,3:26:31 PM,3:26:31 PM,3:26:31 PM,3:26:31 PM,3:26:31 PM,3:26:31 PM,3:26:31 PM,3:26:31 PM,3:28:07 PM,3:29:45 PM,3:29:45 PM,3:29:45 PM,3:29:45 PM,3:29:45 PM,3:29:45 PM,3:29:45 PM,3:29:45 PM,3:29:45 PM,3:32:21 PM,3:32:21 PM,3:32:21 PM,3:32:21 PM,3:32:21 PM,3:32:21 PM,3:32:21 PM,3:32:21 PM,3:32:21 PM,3:32:21 PM,3:32:21 PM,3:34:51 PM,3:34:51 PM,3:34:51 PM,3:34:51 PM,3:34:51 PM,3:34:51 PM,3:34:51 PM,3:34:51 PM,3:34:51 PM,3:34:51 PM,3:34:51 PM,3:36:26 PM,3:36:26 PM,3:36:26 PM,3:36:26 PM,3:36:26 PM,3:36:26 PM,3:36:26 PM,3:37:11 PM,3:37:11 PM,3:37:11 PM,3:37:11 PM,3:37:11 PM,3:37:11 PM,3:40:27 PM,3:40:27 PM,3:40:27 PM,3:40:27 PM,3:40:27 PM,3:40:27 PM,3:40:27 PM,3:40:27 PM,3:40:27 PM,3:40:27 PM,3:40:27 PM,3:41:43 PM,3:41:43 PM,3:42:01 PM,3:42:01 PM,3:42:01 PM,3:42:01 PM,3:42:01 PM,3:48:36 PM,3:48:36 PM,3:48:36 PM,3:48:36 PM,3:48:36 PM,3:48:36 PM,3:48:36 PM,3:48:36 PM,3:48:36 PM,3:49:04 PM,3:49:04 PM,3:49:04 PM,3:52:07 PM,3:52:32 PM,3:52:32 PM,3:52:32 PM,3:52:32 PM,3:52:32 PM,3:52:32 PM,3:52:32 PM,3:52:32 PM,3:52:32 PM,3:53:05 PM,3:53:05 PM,3:53:05 PM,3:53:05 PM,3:53:05 PM,3:53:05 PM,3:53:05 PM,3:53:05 PM,3:53:05 PM,3:54:45 PM,3:54:45 PM,3:54:45 PM,3:54:45 PM,3:54:45 PM,3:54:45 PM,3:54:45 PM,3:54:45 PM,3:56:38 PM,3:56:38 PM,3:56:38 PM,3:56:38 PM,3:56:55 PM,3:56:55 PM,3:56:55 PM,3:56:55 PM,3:56:55 PM,3:56:55 PM,3:56:55 PM,3:56:55 PM,3:56:55 PM,3:56:55 PM,3:56:55 PM,3:59:51 PM,3:59:51 PM,3:59:51 PM,3:59:51 PM,3:59:51 PM,3:59:51 PM,3:59:51 PM,3:59:51 PM,3:59:51 PM,3:59:51 PM,3:59:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
