Group Size,2,2,2,2,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Male,Male,Male,Male,Hard to Tell,Male,Female,Female,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Hard to Tell,Male,Male,Male,Male,Hard to Tell,Female,Male,Male,Hard to Tell,Male,Female,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Female,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Male,Hard to Tell,Female,Male,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,36-50,36-50,36-50,36-50,Hard to Tell,21-35,21-35,21-35,0-20,0-20,36-50,Hard to Tell,>50,36-50,Hard to Tell,21-35,21-35,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,36-50,36-50,21-35,>50,Hard to Tell,Hard to Tell,Hard to Tell,36-50,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,36-50,36-50,36-50,21-35,36-50,Hard to Tell,Hard to Tell,36-50,36-51,Hard to Tell,36-50,36-50,Hard to Tell,36-50,36-50,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,white,black,white,black,grey (hard to tell),white,white,white,white,grey ,gray,grey ,grey,grey,black,black,black,black,black,beige,white,white,Hard to Tell,Hard to Tell,black,black,white,white,beige/gray,black/blue,black,black,gray,red,white,gray,black,brown,black,white,black,black,gray,bkack,black,white,white,gray,orange,gray,gray,blue,white,black,white,black,black,black,grey,black,grey,grey,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,3,2,3,2,2,3,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,2,3,2,2,3,3,3,2,2,2,3,3,3,3,2,3,2,3,2,2,3,2,2,3,3,3,3,3,3,3,3,2,3,2,2,2,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,,,,,,,pulling cart,,,,,Same guy as in column F,pushes cart,,,,,,,pushing bike,,,,,,,,,,Man is in electronic wheelchair,,pushing cart,,,,Pusing cart,,,,,,,,,,,,,,,,,,,,,,,pushing cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,alighted,alighted,alighted,Waited at Bus Stop,,,Boarded,Boarded,Boarded,,Alighted,Alighted,,,,Alighted,,,,,Boarded,,,,Alighted,Boarded,Boarded,,,Boarded,Boarded,Boarded,Alighted,,,,,,,,,,,,,Boarded,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,1:59:42 PM,1:59:42 PM,1:59:42 PM,,,,12:15:30 PM,12:15:30 PM,12:15:30 PM,,12:31:06 PM,12:31:06 PM,,,,12:55:04 PM,,,,,11:12:54 AM,,,,11:53:50 AM,11:53:50 AM,11:53:50 AM,,,10:17:03 AM,10:17:03 AM,10:17:03 AM,10:17:03 AM,,,,,,,,,,,,,10:53:38 AM,10:53:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,1:59:53 PM,1:59:53 PM,1:59:53 PM,,,,12:15:49 PM,12:15:49 PM,12:15:49 PM,,12:31:36 PM,12:31:36 PM,,,,12:56:10 PM,,,,,11:13:09 AM,,,,11:54:11 AM,11:54:11 AM,11:54:11 AM,,,10:17:03 AM,10:17:03 AM,10:17:03 AM,10:17:03 AM,,,,,,,,,,,,,10:54:11 AM,10:54:11 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,They took their bike off the bus,,,,Bus must lower ramp for the wheelchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,,Yes,Yes,,,,No,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,No,No,Yes,Yes,,,Yes,No,,,,,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,Yes,Yes,No,No,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,N/A,Yes,,Yes,Yes,,Yes,Yes,,,,N/A,,No,Yes,Yes,Yes,No,N/A,N/A,N/A,Yes,,N/A,N/A,Yes,Yes,,,Yes,N/A,,,,,N/A,N/A,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,No,No,,Yes,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intend to Cross Timestamp,1:07:26 PM,1:07:26PM,1:12:43 PM,1:12:43 PM,1:15:14 PM,1:16:53 PM,1:34:08 PM,1:44:57 PM,1:50:19 PM,1:50:19 PM,1:50:19 PM,1:56:44 PM,1:57:20 PM,1:58:14 PM,,2:00:03 PM,2:00:03 PM,,12:07:51 PM,12:16:23 PM,,,,12:16:40 PM,,12:32:05 PM,12:31:52 PM,12:34:12 PM,12:52:00 PM,12:55:34 PM,11:03:31 AM,11:09:37 AM,11:09:37 AM,11:10:07 AM,,11:13:58 AM,11:13:58 AM,11:38:25 AM,11:54:26 AM,,,11:55:52 AM,11:57:40 AM,,,,,10:23:33 AM,10:24:18 AM,10:27:55 AM,10:38:16 AM,10:38:55 AM,10:40:23 AM,10:40:23 AM,10:46:28 AM,10:46:28 AM,10:47:42 AM,10:50:12 AM,10:50:12 AM,,10:53:52 AM,10:54:47 AM,10:58:20 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,1:08:32 PM,1:08:32 PM,1:13:30 PM,1:13:30 PM,1:15:17 PM,1:17:59 PM,1:34:13 PM,1:45:46 PM,1:51:42 PM,1:51:42 PM,1:51:42 PM,1:56:44 PM,1:57:21 PM,2:03:23 PM,,2:03:23 PM,2:03:26 PM,,12:08:56 PM,12:16:23 PM,,,,12:16:40 PM,,12:32:07 PM,12:32:52 PM,12:34:25 PM,12:52:04 PM,12:56:39 PM,11:03:31 AM,11:09:37 AM,11:09:37 AM,11:10:10 AM,,11:13:58 AM,11:13:58 AM,11:39:18 AM,11:55:18 AM,,,11:57:18 AM,11:57:41 AM,,,,,10:23:50 AM,10:24:28 AM,10:29:50 AM,10:44:00 AM,10:39:00 AM,10:41:04 AM,10:41:04 AM,10:46:30 AM,10:46:30 AM,10:47:46 AM,10:50:13 AM,10:50:13 AM,,10:53:53 AM,10:54:47 AM,10:58:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,1:15:26 PM,,,,,,,,1:57:32 PM,,,,,,,,,,,,,,,,,,11:03:41 AM,11:09:52 AM,11:09:52 AM,,,,,,,,,,,,,,,10:23:59 AM,,,,,10:41:15 AM,10:41:15 AM,,,10:47:53 AM,10:50:26 AM,10:50:26 AM,,,10:54:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:03:52 AM,,11:10:54 AM,,,,,,,,,,,,,,,10:24:26 AM,,,,,10:41:43 AM,10:41:43 AM,,,10:48:34 AM,,,,,10:55:20 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,No,No,Yes,Yes,N/A,N/A,N/A,No,Yes,Yes,Yes,N/A,N/A,Yes,,Yes,Yes,,Yes,,,,,,,No,No,Yes,No,No,N/A,N/A,N/A,Yes,,N/A,N/A,No,Yes,,,Yes,N/A,,,,,N/A,N/A,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,No,No,,No,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,1:08:54 PM,1:08:54 PM,1:13:50 PM,1:13:50 PM,,1:18:09 PM,1:34:19 PM,1:46:02 PM,1:51:55 PM,1:51:56 PM,1:52:02 PM,1:56:52 PM,,2:03:44 PM,,2:03:44 PM,2:03:44 PM,,12:09:05 PM,12:16:42 PM,,,,12:16:40 PM,,12:32:28 PM,12:33:17 PM,12:34:47 PM,12:52:19 PM,12:56:58 PM,11:04:01 AM,,11:11:04 AM,11:10:26 AM,,11:14:15 AM,11:14:15 AM,11:39:39 AM,11:55:38 AM,,,11:57:28 AM,11:57:56 AM,,,,,10:24:36 AM,10:24:34 AM,10:30:09 AM,10:44:14 AM,10:39:22 AM,10:41:52 AM,11:41:52 AM,10:46:50 AM,11:46:50 AM,10:48:43 AM,,,,10:54:12 AM,10:55:29 AM,10:58:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Walk,Walk,Walk,Cyclist,Walk,Courtesy Run,Run,Run,Walk,Walk,Walk,Walk,,Walk,Walk,,Cyclist,Walk,,,,Walk,,Cyclist,Walk,Walk,Run,Other,Walk,Walk,Walk,Walk,,Walk,Walk,Walk,Walk,,,Cyclist,Walk,,,,,Walk,Cyclist,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,Walk,Walk,Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,,No,No,,,,No,,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,In Front,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Downstream,Downstream,,Upstream,Upstream,,,,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Upstream,,Upstream,Upstream,Upstream,Upstream,,,Upstream,Upstream,,,,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Downstream,Upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Noteworthy Events,,,,,Does not finish crossing and walks up the middle barrior,crosses diagonally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,high,high,high,high,high,high,high,medium,high,high,high,medium,high,high,,high,high,,medium,medium,,,,high,,high,high,high,high,medium,medium,high,high,high,,high,high,high,high,,,high,high,,,,,high,light,high,high,medium,high,high,high,high,medium,high,high,,high,high,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,Same as ped B,Same as ped C,,,,,,,,Same guy as in column F. He starts at the middle barrior of the road and crosses back to the side he came from which is only a half cross,"only crosses half the road, staying at the middle barrior. Drops something durring crossing and goes back to grab it between 13:58:53 and 13:59:03 and then goes back to the middle barrior.",,,,,,,,,,,Crosses halfway to middle barrior of road and stays there,,,,,,,,Stops in the middle median of the road and stays there,Stops in the middle median of the road and then crosses over to gas station before crossing back,,,Starts from median so only crosses half way,Starts from median so only crosses half way,,,,,,Crosses from the middle median and crosses the road down the middle of the intersection parrelel with the lanes,,,,,,crosses intersections diaganlly and then bikes up the road going against the grain,,Crosses to the middle lane and the gets on bike to bike in the lane,,,,,,,"Doesnt finish crossing, stays at middle median","Doesnt finish crossing, stays at middle median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
