Group Size,1,1,1,1,1,1,3,3,3,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,,,,,,
Estimated Gender,Hard to Tell,Male,Female,Female,Hard to Tell,Hard to Tell,Female,Female,Female,Female,Male,Male,Male,Male,Female,Male,Male,Female,Female,Female,Female,Female,Female,Male,Male,Female,Female,Female,Female,Female,Male,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Female,Hard to Tell,Female,Male,Hard to Tell,,,,,,
Estimated Age Group,21-35,0-20,36-50,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,36-50,Hard to Tell,Hard to Tell,Hard to Tell,0-20,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,36-50,0-20,0-20,>50,>50,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,0-20,Hard to Tell,Hard to Tell,Hard to Tell,,,,,,
Clothing Color,black,white,black,white,Hard to Tell,blue,blue,black ,black,white,orange,white,pink,red,black,black,red,hard to tell,white,black,blue,blue,white,blue,red,black,black,black,red,green,black,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Green,black,Hard to Tell,,,,,,
Visibility Scale,2,3,3,3,2,2,2,2,2,3,3,3,2,2,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Hard to Tell,No,No,No,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Child in a stroller,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,
Type of Bus Interaction,,,,,,,Waited at Bus Stop,Waited at Bus Stop,,,,,,,,Waited at Bus Stop,,,,,,,,,,,,,,,,Boarded,Boarded,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4:03:28 PM,4:03:28 PM,4:03:28 PM,5:08:40 PM,5:08:40 PM,5:08:40 PM,5:08:40 PM,5:08:40 PM,6:04:54 PM,6:04:54 PM,6:04:54 PM,6:05:28 PM,6:05:28 PM,6:05:28 PM,7:01:47 PM,7:01:47 PM,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4:03:48 PM,4:03:48 PM,4:03:48 PM,5:08:57 PM,5:08:57 PM,5:08:57 PM,5:08:57 PM,5:08:57 PM,6:05:27 PM,6:05:27 PM,6:05:27 PM,6:06:56 PM,6:06:56 PM,6:06:56 PM,7:01:57 PM,7:01:57 PM,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Child in a stroller,,,,,,,,,
Crosswalk Crossing,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,
Pedestrian Phase Crossing,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,,,,,,
Intention to Cross Time Stamp,3:27:36 PM,3:33:18 PM,3:34:08 PM,3:37:12 PM,3:37:27 PM,3:37:45 PM,3:38:14 PM,3:38:14 PM,3:38:15 PM,3:39:40 PM,3:39:46 PM,3:39:46 PM,3:39:49 PM,3:41:24 PM,3:41:24 PM,3:41:33PM,3:42:34 PM,3:48:06 PM,3:52:03 PM,3:52:42 PM,3:52:50 PM,3:53:24 PM,3:54:45 PM,3:54:45 PM,3:54:59 PM,3:55:33 PM,3:55:33 PM,3:55:33 PM,3:56:24 PM,3:56:24 PM,3:57:49 PM,,,4:03:45 PM,,,,,,,,,,,,6:47:23 PM,6:48:52 PM,,,,,,
Crossing Start Time,3:28:24 PM,3:33:58 PM,3:34:09 PM,3:37:27 PM,3:37:32 PM,3:37:46 PM,3:39:04 PM,3:39:06 PM,3:39:07 PM,3:39:42 PM,3:39:47 PM,3:39:48 PM,3:39:50 PM,3:41:32 PM,3:41:32 PM,3:41:34 PM,3:42:36 PM,3:49:35 PM,3:52:04 PM,3:53:23 PM,3:53:23 PM,3:53:25 PM,3:55:26 PM,3:55:26 PM,3:55:26 PM,3:55:40 PM,3:55:40 PM,3:55:40 PM,3:56:26 PM,3:56:26 PM,3:58:49 PM,,,4:03:46 PM,,,,,,,,,,,,6:47:23 PM,6:48:53 PM,,,,,,
Refuge Island Start Time,3:28:38 PM,3:34:12 PM,3:34:23 PM,3:37:41 PM,,3:37:46 PM,3:39:08 PM,3:39:10 PM,3:39:13 PM,3:39:57 PM,3:39:54 PM,3:39:54 PM,3:40:02 PM,3:41:35 PM,3:41:35 PM,3:41:37 PM,,3:49:45 PM,3:52:07 PM,,3:53:38 PM,3:53:27 PM,3:55:34 PM,3:55:34 PM,3:55:34 PM,3:55:41 PM,3:55:41 PM,3:55:41 PM,3:56:29 PM,3:56:29 PM,3:59:07 PM,,,4:04:00 PM,,,,,,,,,,,,6:47:27 PM,6:48:56 PM,,,,,,
Refuge Island End Time,3:28:40 PM,3:34:14 PM,3:34:25 PM,,,3:37:50 PM,3:39:31 PM,3:39:31 PM,3:39:34 PM,3:39:59 PM,,,3:40:05 PM,3:41:39 PM,3:41:39 PM,3:41:40 PM,,3:49:48 PM,3:53:23 PM,,3:53:39 PM,3:53:30 PM,3:55:36 PM,3:55:41 PM,3:55:36 PM,3:55:44 PM,3:55:44 PM,3:55:44 PM,3:57:16 PM,3:57:16 PM,3:59:10 PM,,,4:04:02 PM,,,,,,,,,,,,6:48:26 PM,6:50:15 PM,,,,,,
Did User Finish Crossing During Pedestrian Phase,Yes,Yes,No,Yes,no,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,,,,,,
Crossing End Time,3:28:43 PM,3:34:17 PM,3:34:30 PM,3:37:46 PM,3:37:37 PM,3:37:57 PM,3:39:47 PM,3:39:47 PM,3:39:49 PM,3:40:03 PM,3:41:56 PM,3:41:56 PM,3:40:09 PM,3:41:56 PM,3:41:56 PM,3:41:56 PM,3:42:39 PM,3:49:51 PM,3:53:37 PM,3:53:28 PM,3:53:44 PM,3:53:43 PM,3:55:35 PM,3:55:44 PM,3:55:38 PM,3:55:45 PM,3:55:45 PM,3:55:45 PM,3:57:33 PM,3:57:33 PM,3:59:15 PM,,,4:04:05 PM,,,,,,,,,,,,6:48:40 PM,6:50:31 PM,,,,,,
Crossing Interaction Notes,Walk,Walk,Walk,Walk,Cyclist,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Run,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,,,Walk,,,,,,,,,,,,Walk,Walk,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Yes,,,,,,,,,,,,No,No,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,Behind,,,,,,,,,,,,N/A,N/A,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,Upstream,,,,,,,,,,,,Upstream,Upstream,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver Behavior,high,high,high,high,medium,high,high,high,high,high,high,high,high,high,high,high,medium,high,high,high,high,high,high,high,high,high,high,high,high,high,high,,,high,,,,,,,,,,,,high,high,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,Jogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
