Group Size,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,,,,,,,,,
Estimated Gender,Female,Male,Female,Female,Male,Female,Male,Female,Female,Male,Female,Male,Male,Female,Male,Female,Male,Male,Female,Female,Female,Female,Female,Male,Male,Female,Female,Female,Female,Female,Hard to Tell,Female,Female,Male,Male,Male,Male,Female,Male,Male,Hard to Tell,Male,Male,Female,Male,Female,Male,,,,,,,,,
Estimated Age Group,21-35,0-20,21-35,36-50,21-35,21-35,36-50,>50,36-50,21-35,>50,>50,21-35,21-35,>50,0-20,36-50,0-20,21-35,21-35,36-50,21-35,21-35,,Hard to Tell,0-20,0-20,21-35,>50,>50,Hard to Tell,21-35,Hard to Tell,21-35,36-50,21-35,21-35,0-20,Hard to Tell,Hard to Tell,Hard to Tell,36-50,36-50,36-50,0-20,21-35,0-20,,,,,,,,,
Clothing Color,black,white,black,white,blue,blue/white,blue,black,white,pink/orange,white,yellow,red,white,black,red,grey,white/black,white,black,lila,brown,white,purple,red,purple,white,black,red,yellow,black,blue,Hard to Tell,black,white,blue,beige,purple,Hard to Tell,black,white,"black, white backpack",black,white,black,"black backpack, white top",black,,,,,,,,,
Visibility Scale,2,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,3,3,3,2,3,3,2,3,2,2,3,3,3,3,2,2,3,2,2,3,2,3,2,,,,,,,,,
Estimated Visible Distrction,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Hard to Tell,No,No,No,No,No,No,No,Hard to Tell,Yes,Yes,No,Yes,No,No,,,,,,,,,
User Notes,,on phone,on phone,,,,,,,,,,,,,walking w bike,,,,pushing stroller with kid,,,jogging,,,,,,,,,on phone,leftside in busstop,right of bus stop,left of bus stop,,,,luggage,"waited longer than time noted, but far away from bus stop ",,on phone,on phone,pushing stroller,on phone,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,,No,Yes,No,No,No,Yes,Yes,,,,,,,,,
Type of Bus Interaction,,,,,,Boarded,,Boarded,,,,,,,Boarded,,,,,,,,,,,,,,,,,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Boarded,Boarded,,,,,,,,,
Bus Stop Arrival Time,,,,,,3:40:02 PM,,3:40:09 PM,,,,,,,3:42:10 PM,,,,,,,,,,,,,,,,,4:03:27 PM,3:57:26 PM,3:57:01 PM,3:55:50 PM,4:51:33 PM,4:57:05 PM,5:07:23 PM,5:05:55 PM,5:08:30 PM,5:40:40 PM,5:48:28 PM,6:04:55 PM,6:04:55 PM,6:04:55 PM,6:48:57 PM,6:50:53 PM,,,,,,,,,
Bus Stop Departure Time,,,,,,4:03:48 PM,,4:03:48 PM,,,,,,,4:03:48 PM,,,,,,,,,,,,,,,,,4:03:48 PM,4:03:48 PM,4:03:48 PM,4:03:48 PM,5:08:57 PM,5:08:57 PM,5:08:57 PM,5:08:57 PM,5:08:57 PM,6:05:27 PM,6:05:27 PM,6:06:55 PM,6:06:55 PM,6:06:55 PM,7:01:56 PM,7:01:56 PM,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,,,Yes,,,,Yes,Yes,,,,,,,,,
Pedestrian Phase Crossing,Yes,,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,,,No,No,Yes,,,,No,,,,No,No,,,,,,,,,
Intend to Cross Timestamp,3:27:34 PM,3:33:18 PM,3:34:08 PM,3:37:07 PM,3:37:43 PM,3:38:13 PM,3:38:14 PM,3:38:51 PM,3:39:42 PM,3:39:47 PM,3:39:47 PM,3:39:48 PM,3:41:28 PM,3:41:28 PM,3:41:33 PM,3:42:35 PM,3:47:51 PM,3:48:04 PM,3:52:03 PM,3:02:43 PM,3:52:49 PM,,3:53:53 PM,3:54:08 PM,3:54:54 PM,3:55:33 PM,3:55:33 PM,3:55:33 PM,3:56:26 PM,3:56:26 PM,3:57:50 PM,4:03:46 PM,,,,4:50:05 PM,4:55:55 PM,,,,,,,,,6:47:23 PM,6:48:52 PM,7:01:48 PM,,,,,,,,
Crossing Start Time,3:28:23 PM,3:33:58 PM,3:34:08 PM,3:37:28 PM,3:37:43 PM,3:39:05 PM,3:39:03 PM,3:39:07 PM,3:39:42 PM,3:39:47 PM,3:39:47 PM,3:39:48 PM,3:41:32 PM,3:41:32 PM,3:41:33 PM,3:42:36 PM,3:47:51 PM,3:49:32 PM,3:52:04 PM,3:53:24 PM,3:53:23 PM,3:53:24 PM,3:55:26 PM,3:55:26 PM,3:55:26 PM,3:55:33 PM,3:55:33 PM,3:55:33 PM,3:56:26 PM,3:56:26 PM,3:58:49 PM,4:03:46 PM,,,,4:50:05 PM,4:55:58 PM,,,,,,,,,6:47:23 PM,6:48:53 PM,,,,,,,,,
Refuge Island Start Time,3:28:38 PM,3:34:12 PM,3:34:21 PM,3:37:41 PM,3:37:46 PM,3:39:10 PM,3:35:08 PM,3:39:13 PM,3:39:57 PM,3:40:02 PM,3:39:53 PM,3:39:53 PM,3:41:35 PM,3:41:35 PM,3:41:37 PM,,3:47:53 PM,3:49:45 PM,3:52:07 PM,,3:53:37 PM,3:53:27 PM,3:55:34 PM,3:55:39 PM,3:55:34 PM,3:55:39 PM,3:55:39 PM,3:55:41 PM,3:56:30 PM,3:56:30 PM,3:59:06 PM,4:04:00 PM,,,,4:50:09 PM,4:56:02 PM,5:07:03 PM,,,,5:46:40 PM,,,,6:47:27 PM,6:48:56 PM,,,,,,,,,
Refuge Island End Time,3:28:40 PM,3:34:14 PM,3:34:25 PM,3:37:43 PM,3:37:50 PM,3:39:32 PM,3:39:30 PM,3:39:33 PM,3:39:57 PM,3:40:05 PM,3:41:35 PM,3:41:35 PM,3:41:39 PM,3:41:39 PM,3:41:40 PM,,3:47:55 PM,3:49:47 PM,3:53:23 PM,,3:53:40 PM,3:53:30 PM,3:55:37 PM,3:55:41 PM,3:55:37 PM,3:55:42 PM,3:55:42 PM,3:55:43 PM,3:57:15 PM,3:57:15 PM,3:59:09 PM,4:04:02 PM,,,,4:50:26 PM,4:56:40 PM,5:07:05 PM,,,,5:47:40 PM,,,,6:48:26 PM,6:50:15 PM,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,Yes,Yes,No,,,,Yes,,,,Yes,Yes,,,,,,,,,
Crossing End Time,3:28:44 PM,3:34:18 PM,3:34:28 PM,3:37:46 PM,3:37:56 PM,3:39:50 PM,3:39:46 PM,3:39:49 PM,3:40:02 PM,3:40:09 PM,3:41:58 PM,3:41:58 PM,3:41:55 PM,3:41:55 PM,3:41:57 PM,3:42:39 PM,3:48:06 PM,3:49:51 PM,3:53:38 PM,3:53:29 PM,3:53:44 PM,3:53:44 PM,,3:43:00 PM,,3:55:45 PM,3:55:45 PM,3:55:47 PM,3:57:32 PM,3:57:32 PM,3:59:15 PM,4:04:05 PM,,,,4:50:44 PM,4:56:52 PM,5:07:14 PM,,,,5:40:00 PM,,,,6:48:40 PM,6:50:31 PM,,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Walk,Walk,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Run,Walk,Cyclist,Run,Run,Courtesy Run,Walk,Walk,Walk,Walk,,,,,,Run,,,,Walk,,,,Walk,Walk,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,No,,,,No,,,,No,No,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Behind,,,,,,N/A,,,,N/A,,,,N/A,N/A,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,,,,Upstream,,,,Upstream,,,,Upstream,Upstream,,,,,,,,,
Noteworthy Events,,,"started crossing 5 yards from crosswalk, ended crossing on crosswalk",,,walked diagonally away from crosswalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crosses diagonally away from crosswalk towards busstop,crosses diagonally away from crosswalk towards busstop,"started crossing out of sight, crosses diagonally away from crosswalk towards busstop",,,,started crossing out of sight,,,,crosses diagonally away from crosswalk towards busstop,,,,,,,,,,
Driver Behavior,high,high,high,high,medium,high,high,high,high,high,high,high,high,high,high,low,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,cant see when done crossing,,cant see when done crossing,,,,,,,,,,,,,,,,,high,,,,high,high,,,,,,,,,
