Estimated Age Group,36-50,36-50,36-50,0-20,36-50,36-50,21-35,>50,36-50,21-35,36-50,36-50,21-35,21-35,21-35,21-35,>50,21-35,36-50,36-50,,,,,,,,,,,21-35,Hard to Tell,Hard to Tell,21-35,36-50,21-35,36-50,Hard to Tell,Hard to Tell,36-50,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to tell,21-35,,,,,,,,,,,,
Clothing Color,Blue,Black,Red,black,Black,white,WHITE,red,BLACK,WHITE,RED,BLUE,WHITE,BLACK,black,black,red,white,blue,black,WHITE,BLUE,ORANGE,RED,BLACK,WHITE,WHITE,GREEN,GREEN,WHITE,Hard to tell,BLUE,BLACK,BLACK,RED,WHITE,WHITE,BLUE,BLACK,WHITE,BLACK,WHITE,WHITE,BLACK,BLACK,BROWN,WHITE,BLACK,BLACK,BLACK,Hard to Tell,hard to tell,white,,,,,,,,,,,,
Visibility Scale,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,2,1,3,,,,,,,,,,,,
Estimated Visible Distrction,No,No,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,Boarded,,Boarded,Boarded,Boarded,Boarded,,,,,,,,,,,,,,,,,,,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Waited at Bus Stop,Waited at Bus Stop,Waited at Bus Stop,Waited at Bus Stop,Boarded,Boarded,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,15:10:50PM,,15:10:50PM,15:10:50PM,15:10:50PM,15:10:50PM,,,,,,,,,,,,,,,,,,,15:45:39PM,15:45:39PM,15:45:39PM,15:45:39PM,15:45:39PM,15:45:39PM,16:16:03PM,16:16:03PM,16:36:52PM,,,,,17:39:44PM,17:39:44PM,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,15:11:20PM,,15:11:20PM,15:11:20PM,15:11:20PM,15:11:20PM,,,,,,,,,,,,,,,,,,,15:46:02PM,15:46:02PM,15:46:02PM,15:46:02PM,15:46:02PM,15:46:02PM,16:16:27PM,16:16:27PM,16:37:09PM,,,,,17:39:53PM,17:39:53PM,,,,,,,,,,,,
Noteworthy Events,,,,,,,,waited for a long time for the bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,,,,,,,,,,,
Pedestrian Phase Crossing,N/A,Yes,Yes,No,,,No,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,N/A,N/A,Yes,Yes,Yes,N/A,N/A,N/A,Yes,N/A,N/A,,Yes,No,,,,,,,,,,,,
Intend to Cross Timestamp,15:00:41 PM,15:02:21PM,15:03:21PM,15:03:58PM,15:06:04PM,15:06:04PM,15:07:07PM,15:07:45PM,15:08:06PM,15:08:51PM,15:09:37PM,15:09:37PM,15:09:44PM,15:09:44PM,15:09:42PM,15:09:42PM,15:10:43PM,,,,15:11:24PM,15:11:26PM,15:11:26PM,15:11:28PM,15:11:28PM,15:11:28PM,15:11:29PM,15:11:35PM,15:11:36PM,15:11:36PM,15:11:37PM,15:12:13PM,15:12:13PM,15:13:37PM,15:14:20PM,15:15:29PM,15:15:30PM,15:17:10PM,15:43:45PM,,,15:45:53PM,15:45:53PM,15:45:53PM,,,,16:41:55PM,,,15:01:55PM,17:29:34PM,17:38:08PM,,,,,,,,,,,,
Crossing Start Time,15:00:47 PM,15:02:23PM,15:03:28PM,15:03:59PM,15:06:05PM,15:06:10PM,15:07:19PM,15:07:48PM,15:08:11PM,15:08:57PM,15:09:42PM,15:09:37PM,15:09:47PM,15:09:48PM,15:09:46PM,15:09:51PM,15:10:45PM,,,,15:11:26PM,15:11:27 PM,15:11:27 PM,15:11:29PM,15:11:29PM,15:11:29PM,15:11:31PM,15:11:36PM,15:11:36PM,15:11:36PM,15:11:39PM,15:12:19PM,15:12:19PM,15:13:42PM,15:14:25PM,15:15:32PM,15:15:34PM,15:17:12PM,15:43:54PM,,,15:45:55PM,15:45:55PM,15:45:55PM,,,,16:41:56PM,,,17:02:01PM,17:29:40PM,17:38:11PM,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,No,Yes,Yes,No,N/A,N/A,No,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,N/A,N/A,Yes,Yes,Yes,N/A,N/A,N/A,No,N/A,N/A,Yes,Yes,No,,,,,,,,,,,,
Crossing End Time,15:00:56PM,15:02:33PM,15:03:39PM,15:04:04PM,15:06:19PM,15:06:19PM,15:07:16PM,15:08:07PM,15:08:18PM,15:09:04PM,15:09:53PM,15:09:53PM,15:09:57PM,15:09:59PM,15:09:57PM,15:09:59PM,15:10:58PM,,,,15:11:36PM,15:11:36PM,15:11:37PM,15:11:38PM,15:11:38PM,15:11:41PM,15:11:41PM,15:11:46PM,15:11:46PM,15:11:48PM,3:11:51 PM,15:12:27PM,15:12:29PM,15:13:51PM,15:14:35PM,15:15:40PM,15:15:42PM,15:17:22PM,15:44:01PM,,,15:46:08PM,15:46:08PM,15:46:08PM,,,,16:42:05PM,,,17:02:14PM,17:29:50PM,17:38:21PM,,,,,,,,,,,,
Crossing Interaction Notes,Courtesy Run,Walk,Walk,Run,Walk,Walk,Run,Walk,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,Walk,Walk,Walk,,,,Walk,,,Walk,Walk,Walk,,,,,,,,,,,,
Bus Presence,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,,,Yes,Yes,Yes,,,,No,,,No,No,No,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Front,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,Behind,Behind,Behind,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,,,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,Upstream,Upstream,Upstream,,,,Upstream,,,Upstream,Upstream,Upstream,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,Medium,Light,Medium,High,Light,Light,Light,Light,Medium,Light,Light,Light,Medium,Medium,Light,Light,High,,,,High,High,High,High,High,High,High,High,High,High,High,High,High,Light,Light,Light,Light,Light,Light,,,Medium,Medium,Medium,,,,Light,,,Medium,Light,Medium,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
