Group Size,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,,
Estimated Gender,Male,Male,Male,Female,Male,Male,Male,Male,Male,Female,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male,Male,Male,Hard to Tell,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male,Male,Male,Hard to Tell,Male,Male,Male,Male,Male,Female,Female,Male,Male,Male,Hard to Tell,Hard to Tell,Male,Male,Male,Male,Male,Female,Female,Male,Female,,
Estimated Age Group,36-50,>50,21-35,21-35,>50,21-35,>50,21-35,,36-50,0-20,21-35,>50,Hard to Tell,Hard to Tell,0-20,0-20,Hard to Tell,Hard to Tell,Hard to Tell,>50,>50,Hard to Tell,21-35,21-35,21-35,36-50,Hard to Tell,36-50,Hard to Tell,0-20,,0-20,0-20,21-35,21-35,>50,>50,36-50,21-35,36-50,21-35,Hard to Tell,>50,Hard to Tell,0-20,Hard to Tell,36-50,36-50,21-35,36-50,21-35,21-35,,Hard to Tell,36-50,0-20,Hard to Tell,21-35,36-50,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,0-20,0-20,Hard to Tell,36-50,>50,0-20,21-35,0-20,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,36-50,Hard to tell,21-35,36-50,21-35,Hard to tell,Hard to tell,21-35,36-50,hard to tell,Hard to Tell,Hard to Tell,Hard to tell,Hard to tell,Hard to tell,Hard to tell,Hard to tell,Hard to tell,Hard to tell,Hard to tell,Hard to tell,,
Clothing Color,yellow,orange,black,black,"yellow ",black,black,black,black,white,black,black,black,black,green,black,black,black,yellow,yellow,yellow,black,black,black,black,black,green,black,green,black,black,black,"grey ",black,"black ",black,black,black,black,grey,black,green,black,black,black,black,grey,black,black,brown,orange,black,grey,black,black,grey,black,grey,black/orange,black,black,black,black,grey,black,black/ white sleeves,black,black,white,white black,black,red,black,black/purple,black,black,black,black,black,black,black,black,black,black,black,black,red,black,grey,black,black,black,white,black,grey,black,black,black,white,black,grey,,
Visibility Scale,3,3,2,2,3,2,2,2,2,3,2,2,2,2,3,2,2,2,3,3,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,1,1,1,1,Hard to tell,2,2,2,2,3,2,2,2,Hard to Tell,Hard to Tell,3,2,2,2,2,2,3,2,2,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,Hard to Tell,No,No,No,No,No,No,No,No,Hard to Tell,No,No,No,No,Hard to Tell,No,Hard to Tell,Yes,No,No,No,No,No,No,No,No,No,No,No,Hard to Tell,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Hard to Tell,Hard to Tell,No,No,No,No,No,No,Hard to Tell,No,No,No,Hard to Tell,No,Hard to Tell,No,No,No,No,No,No,No,No,Hard to Tell,Hard to Tell,No,No,No,No,No,No,No,No,No,,
User Notes,,,,,,,,,"Pedestrianis walking on the road and crosses half of the road beofre dissapearig out of the screen ",on the phone,,,same ped as in H,,,,,,,same person as in T,,walks with walkingstick,,,same person as in Y,,,,same person as AB,,ped is on its phone,,,,,,walking with walkingstick,walking with walkingstick. same person as in AL,,,,,,,,,,,same person as in AW,,,,,meets up with person BD at the busstop,meets up with person BC at the busstop,he is on his phone,ran to the busstation,,,,,,,,,,,comes walking over from behind the gasstation,,,,,,,,,,,,,,,ran to busstop,ran to busstop,ran to busstop,ran to busstop,,,,,,,,,,,,ran to catch the bus,ran to catch the bus,ran to catch the bus,ran to catch the bus,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,,,Boarded,,,,,,,,,Boarded,Boarded,Boarded,Alighted,Boarded,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:44:26 PM,,,3:48:36 PM,,,,,,,,,4:23:12 PM,4:23:12 PM,4:23:12 PM,,4:45:30 PM,4:45:30 PM,5:02:08 PM,5:02:08 PM,5:02:08 PM,5:13:28 PM,5:13:28 PM,5:13:28 PM,5:13:28 PM,5:13:28 PM,5:36:10 PM,5:36:10 PM,2:01:42 PM,2:27:11 PM,2:27:11 PM,2:27:11 PM,2:27:11 PM,2:47:31 PM,,,,,,1:04:53 PM,1:04:53 PM,1:04:53 PM,1:04:53 PM,1:04:53 PM,1:04:53 PM,1:04:53 PM,1:04:53 PM,1:04:53 PM,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:44:45 PM,,,3:48:43 PM,,,,,,,,,4:23:26 PM,4:23:26 PM,4:23:26 PM,,4:45:38 PM,4:45:38 PM,5:02:24 PM,5:02:24 PM,5:02:24 PM,5:13:51 PM,5:13:51 PM,5:13:51 PM,5:13:51 PM,5:13:51 PM,5:36:20 PM,5:36:20 PM,2:02:01 PM,2:27:39 PM,14:27:39 AM,2:27:39 PM,2:27:39 PM,2:47:48 PM,,,,,,1:05:39 PM,1:05:39 PM,1:05:39 PM,1:05:39 PM,1:05:39 PM,1:05:39 PM,1:05:39 PM,1:05:39 PM,1:05:39 PM,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ran to busstation,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,No,Yes,Yes,Yes,Yes,Yes,,No,,No,No,,No,,,,,,,No,No,No,,,,,,,,,,,,,vekkenrnknkk
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Intend to Cross Timestamp,15:02:10,15:02:42,,,15:03:05,15:03:36,15:04:30,15:04:37,,15:05:49,15:06:26,15:06:41,15:07:05,3:07:31 PM,15:07:49,15:08:11,15:08:11 PM,15:08:42,15:11:38,,15:14:27,15:14:27,15:15:04,15:15:58,,15:16:22,15:19:16,,15:19:51,15:20:29,15:21:23,15:21:38,15:23:09,,,15:23:48,15:30:03,15:30:27,15:30:34,15:32:04,15:34:06,15:34:28,15:35:15,15:35:27,15:36:40,15:38:01,15:40:01,15:41:29,3:41:42,15:42:22,15:43:23,15:44:13,15:44:22,,15:46:04,15:47:43,,15:52:32,,15:55:16,15:55:45,15:56:31,15:56:42,15:57:44,15:57:44,16:19:28,16:19:28,,16:23:29,16:42:00,16:46:02,17:00:54,17:01:37,16:58:42,,17:11:40,,17:13:51,17:13:51,,17:29:36,,,,,,,13:02:15,13:02:31,13:02:36,,,13:03:23,13:03:04,13:03:27,13:03:27,13:03:27,,,,,,
Crossing Start Time,3:02:37 PM,3:02:42 PM,3:02:44 PM,3:02:44 PM,3:03:47 PM,3:03:36 PM,3:04:42 PM,3:04:38 PM,3:05:01 PM,3:05:49 PM,3:06:26 PM,3:06:50 PM,3:07:15 PM,3:07:31 PM,3:07:55 PM,3:08:14 PM,3:08:14 PM,3:08:42 PM,3:11:38 PM,3:13:04 PM,3:14:29 PM,3:14:29 PM,3:15:04 PM,3:15:59 PM,3:16:19 PM,3:16:48 PM,3:19:37 PM,3:19:22 PM,3:19:55 PM,3:20:30 PM,3:21:22 PM,3:21:39 PM,3:23:09 PM,3:23:10 PM,3:23:10 PM,3:23:52 PM,3:30:04 PM,3:30:50 PM,3:30:37 PM,3:32:04 PM,3:34:09 PM,3:34:40 PM,3:35:15 PM,3:35:27 PM,3:36:40 PM,3:38:28 PM,3:40:26 PM,3:41:29 PM,3:41:43 PM,3:42:22 PM,3:43:23 PM,3:44:14 PM,3:44:24 PM,,3:46:04 PM,3:47:43 PM,,3:52:37 PM,3:54:02 PM,3:55:16 PM,3:55:52 PM,3:57:03 PM,3:57:03 PM,3:57:45 PM,3:57:45 PM,4:19:29 PM,4:19:29 PM,,4:23:33 PM,4:42:02 PM,4:46:02 PM,5:00:55 PM,5:01:38 PM,4:58:50 PM,,5:11:41 PM,,5:14:15 PM,5:14:15 PM,,5:29:36 PM,,,,,,,1:02:16 PM,1:02:31 PM,1:02:36 PM,,,1:03:41 PM,1:03:42 PM,1:03:45 PM,1:03:45 PM,1:03:46 PM,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:30:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4:42:15 PM,,5:01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:31:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4:42:16 PM,,5:01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Crossing End Time,3:02:44 PM,3:02:48 PM,3:02:55 PM,3:02:55 PM,3:04:01 PM,3:03:44 PM,3:04:56 PM,3:04:46 PM,3:05:23 PM,3:06:01 PM,3:06:38 PM,3:07:02 PM,3:07:25 PM,3:07:46 PM,3:08:06 PM,3:08:22 PM,3:08:23 PM,3:08:54 PM,3:11:57 PM,3:13:15 PM,3:14:40 PM,3:14:44 PM,3:15:12 PM,3:16:11 PM,3:16:33 PM,3:16:56 PM,3:19:45 PM,3:19:30 PM,3:20:06 PM,3:20:34 PM,3:21:33 PM,3:21:44 PM,3:23:13 PM,3:23:15 PM,3:23:15 PM,3:24:00 PM,3:30:25 PM,3:32:08 PM,3:31:16 PM,3:32:20 PM,3:34:17 PM,3:34:55 PM,3:35:25 PM,3:35:40 PM,3:36:57 PM,3:38:42 PM,3:40:42 PM,3:41:41 PM,3:42:02 PM,3:42:32 PM,3:43:36 PM,3:44:22 PM,3:44:34 PM,,3:46:21 PM,3:47:56 PM,,3:52:45 PM,3:54:05 PM,3:55:27 PM,3:55:57 PM,3:57:13 PM,3:57:13 PM,3:57:57 PM,3:57:57 PM,4:19:44 PM,4:19:44 PM,,4:23:41 PM,4:42:32 PM,4:46:09 PM,5:01:21 PM,5:01:44 PM,4:59:11 PM,,5:11:54 PM,,5:14:25 PM,5:14:25 PM,,5:29:47 PM,,,,,,,1:02:31 PM,1:02:44 PM,1:02:51 PM,,,1:03:51 PM,1:03:55 PM,1:03:57 PM,1:03:57 PM,1:03:57 PM,,,,,,
Crossing Interaction Notes,Walk,Courtesy Run,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Run,Walk,Courtesy Run,Courtesy Run,Courtesy Run,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Courtesy Run,,Walk,Walk,,Walk,Courtesy Run,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,,Courtesy Run,Walk,Run,Walk,Run,Walk,,Walk,,Walk,Walk,,Walk,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,Yes,No,,No,,Yes,Yes,,No,,,,,,,No,No,No,,,No,No,No,No,No,,,,,,
