Group Size,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Male,Male,Male,Female,Male,Hard to Tell,Male,Female,Hard to Tell,Female,Hard to Tell,Male,Male,Male,Female,Female,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Female,Male,Male,Male,Male,Male,Hard to Tell,Male,Male,Male,Female,Male,Male,Male,Hard to Tell,Female,Female,Male,Female,Male,Female,Male,Female,Female,Male,Hard to Tell,Male,Male,Hard to Tell,Male,Female,Hard to Tell,Hard to Tell,Hard to Tell,Male,Hard to Tell,Male,Male,Male,Hard to Tell,Female,Male,Male,Hard to Tell,Male,Male,Male,Male,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,21-35,36-50,21-35,21-35,21-35,36-50,21-35,21-35,Hard to Tell,21-35,Hard to Tell,36-50,Hard to Tell,21-35,21-35,Hard to Tell,21-35,21-35,21-35,>50,Hard to Tell,Hard to Tell,21-35,36-50,21-35,Hard to Tell,0-20,0-20,0-20,21-35,>50,Hard to Tell,36-50,21-35,>50,Hard to Tell,21-35,21-35,Hard to Tell,21-35,21-35,21-35,36-50,Hard to Tell,36-50,Hard to Tell,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,0-20,Hard to Tell,21-35,0-20,Hard to Tell,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,0-20,0-20,Hard to Tell,Hard to Tell,0-20,>50,Hard to Tell,Hard to Tell,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,yellow,orange,blue,grey,grey,black,grey,white,black,black,black,black,brown,black,black,black,yellow,yellow,yellow,black,grey,grey,black,green,black,black,grey,black,black,grey,black,green,black,green,black,blue,grey,grey,black,brown,orange,black,blue,black,grey,grey,black,grey,black,black,pink,grey,black,black,white,black,black,black,black,white,black,black,black,black,black,black,grey,green,grey,blue,black,black,blue,grey,yellow,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,3,3,1,1,1,1,1,2,1,2,1,1,2,1,1,1,3,3,3,1,2,2,1,2,1,1,2,1,1,2,1,2,1,2,1,2,2,2,1,2,3,1,2,1,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,"same user as previous ",same user as previous,user walks with a cane,,same user as previous,,,,,,,,,user used a cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boarded,,,,,,,,,,,,,,Boarded,Boarded,Alighted,Alighted,Boarded,Boarded,Alighted,Waited at Bus Stop,Waited at Bus Stop,Waited at Bus Stop,Boarded,Boarded,Alighted,Alighted,Boarded,Boarded,Alighted,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,3:06:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:48:35 PM,,,,,,,,,,,,,,4:23:13 PM,4:23:13 PM,4:23:13 PM,4:45:31 PM,5:02:09 PM,5:02:09 PM,5:02:09 PM,5:02:09 PM,5:02:09 PM,5:02:09 PM,5:13:28 PM,5:13:28 PM,5:13:28 PM,5:13:28 PM,5:36:10 PM,11:12:15 AM,11:35:41 AM,11:35:41 AM,11:35:41 AM,11:35:41 AM,11:43:49 AM,11:49:16 AM,11:49:16 AM,11:49:16 AM,11:49:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,3:06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:48:43 PM,,,,,,,,,,,,,,4:23:27 PM,4:23:27 PM,4:23:27 PM,4:45:38 PM,5:02:25 PM,5:02:25 PM,5:02:25 PM,5:02:25 PM,5:02:25 PM,5:02:25 PM,5:13:52 PM,5:13:52 PM,5:13:52 PM,5:13:52 PM,5:36:19 PM,11:12:25 AM,11:35:57 AM,11:35:57 AM,11:35:57 AM,11:35:57 AM,11:43:55 AM,11:49:46 AM,11:49:46 AM,11:49:46 AM,11:49:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,No,,Yes,,,,,,,,No,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,,Yes,N/A,N/A,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,Yes,No,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,,,N/A,,Yes,,,,,,,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intention to Cross Timestamp,3:02:11 PM,3:02:41 PM,3:02:45 PM,3:02:45 PM,3:03:36 PM,3:04:24 PM,3:04:37 PM,3:05:49 PM,,3:06:24 PM,3:06:50 PM,3:07:15 PM,3:07:49 PM,3:08:12 PM,3:08:12 PM,3:08:41 PM,3:11:38 PM,3:13:03 PM,3:14:27 PM,3:14:27 PM,3:15:58 PM,3:16:17 PM,3:16:24 PM,3:19:15 PM,3:21:22 PM,3:21:39 PM,,,,3:23:48 PM,3:30:02 PM,3:32:02 PM,3:34:07 PM,3:34:28 PM,3:35:30 PM,3:36:41 PM,3:38:00 PM,3:40:02 PM,3:41:28 PM,3:42:24 PM,3:43:24 PM,3:44:15 PM,3:44:22 PM,3:46:04 PM,3:47:44 PM,3:52:31 PM,3:55:17 PM,3:55:43 PM,3:56:34 PM,3:56:42 PM,3:57:43 PM,3:57:43 PM,,,,,5:01:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,3:02:37 PM,3:02:41 PM,3:02:45 PM,3:02:45 PM,3:03:37 PM,3:04:47 PM,3:04:38 PM,3:05:49 PM,,3:06:25 PM,3:06:50 PM,3:07:15 PM,3:07:55 PM,3:08:14 PM,3:08:14 PM,3:08:43 PM,3:11:38 PM,3:13:03 PM,3:14:27 PM,3:14:27 PM,3:16:00 PM,3:16:19 PM,3:16:48 PM,3:19:36 PM,3:21:23 PM,3:21:39 PM,3:23:09 PM,3:23:09 PM,3:23:09 PM,3:23:53 PM,3:30:05 PM,3:32:02 PM,3:34:09 PM,3:34:40 PM,3:35:30 PM,3:36:41 PM,3:38:29 PM,3:40:24 PM,3:41:30 PM,3:42:24 PM,3:43:24 PM,3:44:15 PM,3:44:25 PM,3:46:04 PM,3:47:44 PM,3:52:37 PM,3:55:17 PM,3:55:52 PM,3:57:04 PM,3:57:04 PM,3:57:43 PM,3:57:43 PM,,,4:23:31 PM,,5:01:38 PM,,,,,,,,5:14:14 PM,5:14:14 PM,,,11:36:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,3:19:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,3:19:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase?,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,,Yes,N/A,N/A,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,Yes,No,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,Yes,,,,,N/A,,Yes,,,,,,,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:02:45 PM,3:02:49 PM,3:02:56 PM,3:02:57 PM,3:03:45 PM,3:04:57 PM,3:04:48 PM,3:06:02 PM,,3:06:37 PM,3:07:02 PM,3:07:26 PM,3:08:08 PM,3:08:23 PM,3:08:24 PM,3:08:55 PM,3:11:58 PM,3:13:16 PM,3:14:41 PM,3:14:44 PM,3:16:11 PM,15:16:32,3:16:57 PM,3:20:06 PM,3:21:33 PM,3:21:43 PM,3:23:13 PM,3:23:14 PM,3:23:14 PM,3:24:00 PM,3:30:28 PM,3:32:20 PM,3:34:18 PM,3:34:55 PM,3:35:41 PM,3:36:58 PM,3:38:43 PM,3:40:50 PM,3:42:04 PM,3:42:33 PM,3:43:48 PM,3:44:33 PM,3:44:35 PM,3:46:21 PM,3:47:55 PM,3:52:45 PM,3:55:28 PM,3:55:58 PM,3:57:14 PM,3:57:14 PM,3:57:57 PM,3:57:57 PM,,,4:23:51 PM,,5:01:44 PM,,,,,,,,5:14:24 PM,5:14:25 PM,,,11:36:21 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Courtesy Run,Walk,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Run,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Run,Run,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Run,Walk,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,,,Courtesy Run,,Run,,,,,,,,Walk,Walk,,,Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,Yes,,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,,Yes,,,,,,,,Yes,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Front,,Behind,N/A,N/A,N/A,N/A,N/A,Behind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,,Behind,,,,,,,,Behind,Behind,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,,,Upstream,,Upstream,,,,,,,,Upstream,Upstream,,,Upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Medium,High,High,High,High,Medium,Medium,High,Medium,Light,Medium,Medium,Medium,Medium,Light,High,Medium,High,High,Medium,Medium,Medium,High,Medium,Medium,High,High,High,High,High,High,High,High,High,High,,,High,High,High,Medium,Medium,High,High,High,High,High,High,High,High,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,,,,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,,,,Only crossed secondary,Only crossed secondary,Only crossed secondary,,Only crossed secondary,,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,,,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,,Only crossed secondary,Only crossed secondary,Only crossed secondary,Only crossed secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
