Group Size,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,,1,2,2,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,,,,,,,,,,
Estimated Gender,male,male,male,female,male,hard to tell,male,male,"female ",hard to tell,male,male,hard to tell,hard to tell,male,female,male,,male,male,male,hard to tell,male,male,hard to tell,male,hard to tell,female,male,male,female,male,male,male,male,male,male,male,male,male,hard to tell,hard to tell,female,male,hard to tell,male,male,male,female,female,hard to tell,male,male,male,male,hard to tell,"male ",hard to tell,Male,Hard to Tell,Male,Male,Female,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Hard to Tell,Male,Hard to Tell,Hard to Tell,Male,Hard to Tell,,,,,,,,,,
Estimated Age Group,36-50,21-35,21-35,36-50,21-35,hard to tell,36-50,hard to tell,36-50,hard to tell,21-35,hard to tell,hard to tell,hard to tell,21-35,21-35,hard to tell,,hard to tell,36-50,>50,hard to tell,36-50,21-35,hard to tell,36-50,hard to tell,21-35,36-50,0-20,0-20,36-50,21-35,>50,hard to tell,36-50,21-35,36-50,>50,hard to tell,hard to tell,">50 ",36-50,21-25,hard to tell,21-35,hard to tell,hard to tell,21-35,36-50,hard to tell,21-35,36-50,21-35,hard to tell,hard to tell,hard to tell,hard to tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,,,,,,,,,,
Clothing Color,green,orange,black,black,black,yellow,black,white,white,black,black,white,"black ",yellow,black,black,black,,yellow,yellow,black,hard to tell,black,black,hard to tell,Army green,hard to tell,black,black,grey,black,black,black,black,grey,yellow,black,Army green,black,hard to tell,hard to tell,grey,black,black,orange,black,black,black,black,white,hard to tell,Army green,black,black,black,black,black,red,Light,Dark,Black,Black,White,Black,Black,Black,Red,Black,Black,Black,Black,Black,Black,Black,,,,,,,,,,
Visibility Scale,3,3,2,2,2,3,2,3,3,2,2,3,2,2,2,2,2,,3,3,3,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,1,2,2,2,2,2,2,3,1,1,1,1,2,2,1,2,3,2,2,1,1,1,2,1,,,,,,,,,,
Estimated Visible Distrction,no,no,"no ",no,no,hard to tell,no,hard to tell,no,hard to tell,no,no,hard to tell,hard to tell,no,no,hard to tell,,no,no,no,hard to tell,no,no,hard to tell,no,hard to tell,no,no,no,no,no,no,no,no,no,no,no,no,hard to tell,hard to tell,no,no,no,no,no,no,no,no,no,hard to tell,no,no,no,no,no,no,no,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,There was no bus interaction,,,was walking with a white cane,,,,,,,,,,,,,the pedestrian is walking with a white cane,,waited for the bus then left the bus stop shortly for the crosswalk down the street.,,,,,,,,,,,,,,,waited for the bus,,,,,,,,,,,,,User was holding a blanket,,,,,User was holding a bag,,,,,User had a bike,,,,,,,,,,
Bus Interaction,no,no,"no ",no,no,no,no,no,no,"yes ",no,no,no,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
Roadway Crossing,"yes ","yes ","yes ","yes ","yes ","yes ","yes ","yes ","yes ",no,"yes ","yes ","yes ","yes ","yes ","yes ","yes ",,"yes ",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alighted,,,boarded,,,,,,,,Alighted,Boarded,Boarded,Boarded,Alighted,Boarded,Alighted,Boarded,Boarded,Boarded,Alighted,Boarded,Alighted,Alighted,Boarded,Boarded,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,3:06:11 PM,,,,,,,,3:08:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:44:25 PM,,,3:48:36 PM,,,,,,,,4:01:30 PM,4:14:10 PM,4:22:56 PM,4:22:56 PM,4:23:24 PM,4:42:57 PM,4:45:39 PM,4:57:03 PM,5:01:23 PM,5:01:55 PM,5:02:21 PM,5:11:56 PM,5:13:37 PM,5:13:37 PM,5:30:08 PM,5:50:20 PM,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,3:06:21 PM,,,,,,,,3:08:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:44:46 PM,,,3:48:43 PM,,,,,,,,4:01:30 PM,4:23:17 PM,4:23:17 PM,4:23:17 PM,4:23:24 PM,5:02:10 PM,4:45:39 PM,5:02:10 PM,5:02:10 PM,5:02:10 PM,5:02:21 PM,5:13:40 PM,5:13:37 PM,5:13:37 PM,5:36:10 PM,5:51:00 PM,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes ",no,no,"yes ",,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,,no,no,no,yes,yes,yes,yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,,,,,,,,,,
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
Intend to Cross Timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,3:02:36 PM,3:02:42 PM,3:02:45 PM,3:02:46 PM,3:03:37 PM,3:03:48 PM,3:04:38 PM,3:04:46 PM,3:05:50 PM,,3:06:49 PM,3:07:14 PM,3:07:31 PM,3:07:56 PM,3:08:15 PM,3:08:15 PM,3:08:42 PM,,3:11:38 PM,3:14:27 PM,3:14:29 PM,3:15:03 PM,3:16:00 PM,3:16:48 PM,3:19:21 PM,3:19:35 PM,3:20:31 PM,3:21:25 PM,3:21:39 PM,3:23:10 PM,3:23:10 PM,3:23:10 PM,3:23:52 PM,3:30:04 PM,3:30:36 PM,3:32:04 PM,3:34:10 PM,3:34:41 PM,3:35:39 PM,3:36:41 PM,3:38:39 PM,3:40:23 PM,3:41:29 PM,3:42:25 PM,3:43:24 PM,3:44:14 PM,3:44:23 PM,,3:46:04 PM,3:47:45 PM,,3:52:34 PM,3:55:18 PM,3:55:52 PM,3:57:03 PM,3:57:03 PM,3:57:45 PM,3:57:45 PM,4:02:31 PM,,,,4:23:33 PM,4:42:02 PM,4:46:03 PM,4:56:11 PM,5:00:56 PM,5:01:40 PM,,5:11:42 PM,5:14:15 PM,5:14:15 PM,5:29:20 PM,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,3:16:13 PM,,,3:19:47 PM,,,,,,,,,3:30:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,3:16:19 PM,,,3:19:54 PM,,,,,,,,,3:31:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,No,No,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
Crossing End Time,3:02:44 PM,3:02:49 PM,3:02:55 PM,,3:03:45 PM,3:04:01 PM,3:04:47 PM,3:04:57 PM,3:06:03 PM,,3:07:02 PM,3:07:26 PM,3:07:48 PM,3:08:06 PM,3:08:23 PM,3:08:25 PM,3:08:55 PM,,3:11:58 PM,3:14:40 PM,3:14:44 PM,3:15:12 PM,3:16:33 PM,3:16:57 PM,3:19:30 PM,3:20:06 PM,,3:21:32 PM,3:21:44 PM,3:23:13 PM,3:23:15 PM,3:23:15 PM,3:24:00 PM,3:30:24 PM,,3:32:21 PM,3:34:18 PM,3:34:54 PM,3:35:42 PM,3:36:57 PM,3:38:42 PM,3:40:50 PM,3:42:01 PM,3:42:33 PM,3:43:36 PM,3:44:23 PM,3:44:34 PM,,3:46:21 PM,3:47:56 PM,,3:52:45 PM,3:55:28 PM,3:55:58 PM,3:57:14 PM,3:57:14 PM,3:57:58 PM,3:57:58 PM,4:02:45 PM,,,,4:23:41 PM,4:42:33 PM,4:46:09 PM,4:56:23 PM,5:01:23 PM,5:01:44 PM,,5:11:56 PM,5:14:26 PM,5:14:26 PM,5:29:49 PM,,,,,,,,,,,
Crossing Interaction Notes,walk,walk,walk,walk,walk,courtesy run,walk,walk,walk,,walk,walk,walk,walk,walk,walk,walk,,walk,walk,walk,walk,walk,walk,walk,walk,courtesy run,walk,courtesy run,courtesy run,courtesy run,courtesy run,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,couresy run,walk,walk,,walk,walk,,walk,walk,courtesy run,walk,walk,walk,walk,Walk,,,,Courtesy Run,Walk,Run,Walk,Courtesy Run,Run,,Walk,Walk,Walk,Walk,,,,,,,,,,,
Bus Presence,no,no,no,no,no,no,no,no,"yes ",,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,no,no,,no,no,no,no,no,no,no,No,,,,No,No,No,No,No,Yes,,No,Yes,Yes,No,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,infront,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,behind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Front,N/A,N/A,Behind,Behind,N/A,N/A,,,,,,,,,,
Crossing Location Relative to Bus Stop,"Downstream ","Downstream ","Downstream ","Downstream ","Downstream ",upstream,upstream,"Downstream ",upstream,,downstream,upstream,At,upstream,downstream,downstream,upstream,,upstream,downstream,downstream,upstream,upstream,Downstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,upstream,downstream,downstream,downstream,downstream,upstream,upstream,upstream,upstream,downstream,upstream,downstream,upstream,,"upstream ",downstream,,downstream,downstream,downstream,upstream,upstream,upstream,upstream,Downstream,N/A,N/A,N/A,At,Downstream,Downstream,Downstream,Downstream,Downstream,N/A,At,Downstream,Downstream,Downstream,N/A,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User jaywalked and blocked traffic,,,,,,,,,,,,,,,,,,,,,
vehicle Traffic,medium,medium,medium,medium,light,medium,medium,medium,medium,,light,medium,medium,light,light,light,medium,,medium,high,high,medium,high,light,medium,high,high,medium,medium,zero,zero,zero,medium,high,medium,high,medium,high,medium,light,medium,medium,high,light,high,medium,medium,,medium,medium,,light,light,high,high,high,medium,medium,High,High,High,High,High,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
