Group Size,2,2,1,1,2,2,1,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Female,Male,Male,Male,Male,Male,Male,Female,Male,Male,Hard to Tell,Male,Male,,,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,,Hard to Tell,Male,Male,Male,Hard to Tell,Hard to Tell,Male,Female,Hard to Tell,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Female,Female,Hard to Tell,Male,Hard to Tell,Hard to Tell,Male,Hard to Tell,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Female,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,Hard to Tell,Hard to Tell,0-20,0-20,0-20,0-20,Hard to Tell,21-35,21-35,Hard to Tell,Hard to Tell,21-35,21-35,,,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,,Hard to Tell,Hard to Tell,36-50,Hard to Tell,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,>50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,36-50,Hard to Tell,21-35,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,0-20,0-20,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,black,Hard to Tell,black,black,green,dark blue,Yellow,light gray/white,white,black,black,black,white,,,hard to tell,hard to tell,white,black,,black,black/white,brown,black/white,black,black,black,black,black,black,white,black,black,black,black,white,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,blue,black,black,grey,red,black,black,black,black,black,black,black,brown,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,2,2,3,3,1,1,2,2,2,1,1,3,3,,,1,1,3,2,,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,,Hard to Tell,No,No,No,No,Hard to Tell,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,,,,,No,No,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,Alighted,Alighted,,,,,Boarded,,,Boarded,Boarded,,,,,,,,,,,,Alighted,,,Boarded,,,,,,,,,,,Boarded,,,,,,,,,,,,Boarded,Boarded,,,,,,,,,,,,,,Boarded,Alighted,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,3:06:44 PM,3:06:41 PM,,,,,3:41:28 PM,,,3:41:30 PM,3:41:28 PM,,,,,,,,,,,,10:20:58 AM,,,10:40:35 AM,,,,,,,,,,,11:41:16 AM,,,,,,,,,,,,12:42:23 PM,12:42:23 PM,,,,,,,,,,,,,,2:49:01 PM,2:49:01 PM,2:49:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,3:06:49 PM,3:06:49 PM,,,,,3:41:36 PM,,,3:41:36 PM,3:41:36 PM,,,,,,,,,,,,10:21:15 AM,,,10:40:50 AM,,,,,,,,,,,11:41:25 AM,,,,,,,,,,,,12:42:37 PM,12:42:37 PM,,,,,,,,,,,,,,2:49:14 PM,2:49:12 PM,2:49:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Yes,Yes,Yes,,Yes,No,No,No,,No,No,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,,,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,,No,Yes,Yes,Yes,,Yes,No,N/A,N/A,,N/A,N/A,,No,Yes,N/A,N/A,No,Yes,Yes,N/A,N/A,N/A,,Yes,Yes,Yes,No,N/A,N/A,Yes,No,N/A,Yes,N/A,,,No,N/A,Yes,Yes,No,No,N/A,N/A,N/A,N/A,Yes,Yes,N/A,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intend to Cross Timestamp,3:05:45 PM,3:05:45 PM,3:06:51 PM,3:06:51 PM,3:24:16 PM,3:24:16 PM,3:24:51 PM,3:29:46 PM,3:32:51 PM,3:36:38 PM,3:38:58 PM,3:40:20 PM,,,,3:45:10 PM,3:57:52 PM,9:04:03 AM,9:20:34 AM,,9:37:16 AM,9:58:25 AM,10:09:03 AM,10:17:08 AM,,10:36:36 AM,10:37:45 AM,,11:18:42 AM,11:19:37 AM,11:21:11 AM,11:21:12 AM,11:23:05 AM,11:23:28 AM,11:26:07 AM,11:36:39 AM,11:36:39,11:37:47 AM,,11:40:58 AM,11:41:47 AM,11:44:29 AM,11:54:55 AM,11:58:35 AM,12:00:52 PM,12:13:05 PM,12:23:45 PM,12:28:29 PM,12:33:33 PM,12:40:58 PM,,,12:44:43 PM,1:36:35 PM,1:45:39 PM,1:48:34 PM,1:49:08 PM,2:07:58 PM,2:35:31 PM,2:38:25 PM,2:40:54 PM,2:42:51 PM,2:43:03 PM,,2:43:58 PM,,2:49:37 PM,2:49:37 PM,2:49:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,3:05:52 PM,,3:07:09 PM,3:07:09 PM,3:25:41 PM,3:25:41 PM,3:25:28 PM,3:29:46 PM,3:33:05 PM,3:36:42 PM,3:39:02 PM,3:40:31 PM,,,,3:45:12 PM,3:57:53 PM,9:04:04 AM,9:20:34 AM,,9:37:16 AM,9:58:28 AM,10:09:16 AM,10:17:09 AM,,10:36:42 AM,10:37:47 AM,,11:18:42 AM,11:20:33 AM,11:21:11 AM,11:21:12 AM,11:23:19 AM,11:23:28 AM,11:26:30 AM,11:36:43 AM,11:36:43 AM,11:38:20 AM,,11:42:06 AM,11:41:48 AM,11:44:29 AM,11:54:55 AM,11:58:51 AM,12:01:08 PM,12:13:05 PM,12:23:45 PM,12:28:29 PM,12:33:33 PM,12:40:58 PM,,,12:44:48 PM,1:36:37 PM,1:45:39 PM,1:48:41 PM,1:49:10 PM,2:08:01 PM,2:35:31 PM,2:38:40 PM,2:40:56 PM,2:43:02 PM,2:43:15 PM,2:43:21 PM,2:44:21 PM,,2:49:43 PM,2:49:43 PM,2:49:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,,N/A,N/A,N/A,,Yes,Yes,,Yes,N/A,N/A,N/A,,N/A,N/A,,No,Yes,N/A,N/A,Yes,Yes,Yes,N/A,N/A,N/A,,Yes,Yes,No,N/A,N/A,N/A,Yes,No,N/A,Yes,N/A,,,No,N/A,No,Yes,No,Yes,N/A,N/A,N/A,N/A,Yes,Yes,N/A,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:06:03 PM,3:06:03 PM,3:07:16 PM,3:07:15 PM,3:25:41 PM,3:25:41 PM,,3:29:59 PM,3:33:10 PM,3:37:03 PM,3:39:14 PM,3:40:40 PM,,3:45:23 PM,3:58:08 PM,3:45:22 PM,3:58:06 PM,9:04:19 AM,9:20:43 AM,,9:37:31 AM,9:58:40 AM,10:09:21 AM,10:17:22 AM,,10:36:53 AM,10:36:51 AM,,11:18:56 AM,11:20:45 AM,11:21:21 AM,11:21:20 AM,11:23:35 AM,11:23:35 AM,11:26:45 AM,11:36:56 AM,11:36:55 AM,11:38:28 AM,,11:42:18 AM,11:42:01 AM,11:44:43 AM,11:55:09 AM,11:59:00 AM,12:01:20 PM,12:13:14 PM,12:23:57 PM,12:28:39 PM,12:33:47 PM,12:41:05 PM,,,12:44:55 PM,1:36:48 PM,1:45:49 PM,1:48:53 PM,1:49:23 PM,2:08:14 PM,2:35:42 PM,2:38:43 PM,2:41:05 PM,2:43:07 PM,2:43:28 PM,2:43:30 PM,2:44:33 PM,,2:49:55 PM,2:49:55 PM,2:49:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Run,Run,Walk,Walk,Walk,Walk,Walk,Walk,Cyclist,Walk,,Walk,Walk,Run,Walk,Walk,Walk,,Walk,Walk,Cyclist,Walk,,Walk,Run,,Walk,Walk,Walk,Walk,Walk,Run,Walk,Walk,Walk,Walk,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,,,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Run,Walk,Walk,Run,,Walk,Walk,Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,No,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,Upstream,At,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,Upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,light,light,medium,medium,medium,medium,medium,light,medium,light,light,medium,medium,medium,medium,medium,light,1,1,,1,1,1,1,,1,1,,1,2,1,1,2,2,2,2,2,2,,2,2,2,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,"While checking to make sure our video scoring aligned, I noticed that Primah noted this one as a crosser, but I wouldn't have considered him a crosser. It looks like he was helping the two before cross",,,,,,,,,,,,,bus stops at 09:24:20 but i can not see if any interaction happens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,got help for crossing,got help for crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
