Group Size,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Female,Male,Hard to Tell,Male,Male,Male,Male,Male,Male,Hard to Tell,Male,Female,Male,Female,Male,Hard to Tell,Male,Hard to Tell,Male,Male,Hard to Tell,Female,Male,Female,Hard to Tell,Male,Female,Male,Hard to Tell,Hard to Tell,Male,Male,Female,Male,Female,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Female,Female,Hard to Tell,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,Hard to Tell,36-50,Hard to Tell,21-35,21-35,21-35,21-35,36-50,36-50,Hard to Tell,Hard to Tell,21-35,0-20,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,36-50,0-20,21-35, >50, >50,21-35,36-50,36-50,21-35,21-35,Hard to Tell,Hard to Tell,0-20,21-35,21-35,Hard to Tell,21-35,21-35,21-35,21-35,21-35,36-50,>50,0-20,0-20,36-50,>50,36-50,0-20,0-20,21-35,21-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,Black,White,Black,Grey,Black,Black,Black,Orange,Blue,White,White,Black,White,White,Hard to Tell,White,Black,Hard to Tell,White,Black,White,Grey,Grey,White,White,Black,Red,White,White,Hard to Tell,Black,Black,White,Black,White,Grey,Black,Black,Black,Blue,Grey,Black,Brown,Black,Black,Dark Purple,Blue,White,Black,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,1,1,1,1,3,2,1,1,1,1,1,3,3,1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,1,1,3,3,3,1,3,3,2,3,3,3,3,2,2,2,3,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,Pushing strolller,,Walking dog,,,,,,,,,Mother,"Son (very young, about 6-10?)",,,,,,,On Phone,,Wife (assumably),Husband,,,,Couple,Couple,,,Same individual from column U,Couple,Couple,,,,,,,,,,On Phone,,,Mother ,Daughter,On Phone,On Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,Boarded,,,,,,,,,,,,,,,,,,,,Boarded,Alighted,Alighted,,,,,,,Alighted,Alighted,Boarded,Alighted,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,3:11:32 PM,,,,,,,,,,,,,,,,,,,,3:29:37 PM,3:54:20 PM,3:54:21 PM,,,,,,,4:33:50 PM,4:33:50 PM,5:46:04 PM,11:31:40 AM,11:31:43 AM,11:45:58 AM,11:46:27 AM,11:47:31 AM,12:28:29 PM,12:41:59 PM,12:18:43 PM,1:13:23 PM,1:13:23 PM,1:17:04 PM,1:45:47 PM,2:56:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,3:16:20 PM,,,,,,,,,,,,,,,,,,,,3:53:50 PM,3:55:10 PM,3:55:10 PM,,,,,,,4:34:12 PM,4:34:10 PM,5:50:52 PM,11:31:42 AM,11:31:44 AM,11:46:09 AM,11:46:28 AM,11:50:15 AM,12:30:47 PM,12:46:02 PM,12:51:10 PM,1:13:48 PM,1:13:48 PM,1:31:58 PM,1:47:35 PM,2:56:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Noteworthy Events,,,,,,Opposite side of street,,,,,,,,,,,,,,,,,,,,Waited for ~20 min,,,,,,,,,,,Opposite side of street,,,,,,Briefly talks to other man sitting at bus stop,,Waited ~40 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,No,No,No,,No,,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,,,,,,No,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intend to Cross Timestamp,3:04:31 PM,3:05:10 PM,3:06:05 PM,3:10:12 PM,3:16:01 PM,,3:18:18 PM,3:18:48 PM,3:22:58 PM,3:25:10 PM,3:25:27 PM,3:26:14 PM,3:26:14 PM,3:30:59 PM,3:31:58 PM,3:32:46 PM,3:36:31 PM,3:38:22 PM,3:39:23 PM,3:41:23 PM,3:46:28 PM,3:47:12 PM,3:47:12 PM,3:52:26 PM,3:52:30 PM,,3:55:10 PM,3:55:10 PM,3:54:58 PM,3:55:03 PM,3:57:39 PM,3:58:58 PM,3:58:58 PM,3:59:39 PM,4:34:12 PM,4:34:09 PM,,,,,,11:47:14 AM,,,,,,,1:45:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,3:04:32 PM,3:05:10 PM,3:06:05 PM,3:10:14 PM,3:16:01 PM,,3:18:18 PM,3:18:50 PM,3:23:07 PM,3:25:14 PM,3:26:00 PM,3:26:15 PM,3:26:15 PM,3:30:59 PM,3:31:58 PM,3:32:48 PM,3:36:53 PM,3:38:22 PM,3:39:24 PM,3:41:24 PM,3:46:30 PM,3:47:32 PM,3:47:32 PM,3:52:26 PM,3:32:31 PM,,3:55:17 PM,3:55:17 PM,3:54:58 PM,3:55:03 PM,3:57:40 PM,3:59:05 PM,3:59:05 PM,3:59:39 PM,4:34:12 PM,4:34:10 PM,,,,,,11:47:14 AM,,,,,,,1:45:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:04:41 PM,3:05:17 PM,3:06:12 PM,3:10:24 PM,3:16:10 PM,,3:18:27 PM,3:18:58 PM,3:23:15 PM,3:25:22 PM,3:26:07 PM,3:26:21 PM,3:26:21 PM,3:31:11 PM,3:32:10 PM,3:32:58 PM,3:37:01 PM,3:38:34 PM,3:39:34 PM,3:41:34 PM,3:46:39 PM,3:47:41 PM,3:47:41 PM,3:52:36 PM,3:52:43 PM,,3:55:25 PM,3:55:25 PM,3:55:05 PM,3:55:17 PM,3:57:51 PM,3:59:12 PM,3:59:12 PM,3:59:51 PM,4:34:21 PM,4:34:18 PM,,,,,,11:47:24 AM,,,,,,,1:45:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Courtesy Jog ,Walk,Walk,Walk,,Walk,Walk,Walk,Walk,Walk,Run,Run,Walk,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,Walk,Walk,Courtesy Jog,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,,,,Walk,,,,,,,Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Upstream,,Downstream,At ,Downstream,Downstream,Downstream,Upstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,,,,At,,,,,,,Downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Noteworthy Events,,Car slows down to let him pass ,,"After crossing the yellow line, cars stop to let him pass",Gets out of parked car (just visible at the edge of left side of frame) and walks across the roadway,,Car stops to let him pass halfway through,,,,,,,,,,Walks towards parked car after crossing,,Crosswalk (?) at end of street,"Parks his car, gets out and crosses immediately",,,,,,,,,,,"Walks directly to parked car, end time marked as time he opens door and gets in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,2,2,2,3,2,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,3,3,3,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,"Begins walking from off-screen, estimated start time","Begins walking from off-screen, estimated start time",,,,,Finishes crossing off-screen. Estimated end time,,,,,,,"Started crossing off-screen, estimated start time",,,,,"Starts crossing off-screen, estimated start time",,,,"Started crossing offscreen, estimated start time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
