Bus Interaction,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,,,,,,,,,
Type of Bus Interaction,,,,,Boarded,,,,,,,,,,,,,,,,,,,,,,,,Boarded,Alighted,Alighted,,,,,Alighted,Alighted,Boarded,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Boarded,Boarded,Boarded,,,,,,,,,
Bus Stop Arrival Time,,,,,3:16:19 PM,,,,,,,,,,,,,,,,,,,,,,,,3:53:48 PM,3:54:11 PM,3:54:11 PM,,,,,4:33:50 PM,4:33:50 PM,5:50:41 PM,2:55:55 PM,1:13:47 PM,1:13:47 PM,1:31:58 PM,1:47:30 PM,12:30:46 PM,12:45:58 PM,12:51:08 PM,11:31:35 AM,11:31:35 AM,11:46:07 AM,11:46:07 AM,11:50:14 AM,,,,,,,,,
Bus Stop Departure Time,,,,,3:16:24 PM,,,,,,,,,,,,,,,,,,,,,,,,3:53:57 PM,3:54:26 PM,3:54:26 PM,,,,,4:34:05 PM,4:34:05 PM,5:50:52 PM,2:56:05 PM,1:13:56 PM,1:13:56 PM,1:32:05 PM,1:47:38 PM,12:30:52 PM,12:46:06 PM,12:51:19 PM,11:31:49 AM,11:31:49 AM,11:46:48 AM,11:46:48 AM,11:50:20 AM,,,,,,,,,
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bus 1,Bus 2,Bus 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,,,,,,Yes,,Yes,,,,Yes,,No,,,,,,,,,
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,,N/A,,,,N/A,,N/A,,,,,,,,,
Intend to Cross Timestamp,3:05:11 PM,3:06:05 PM,3:10:10 PM,3:16:01 PM,,3:18:17 PM,3:18:48 PM,3:22:55 PM,3:25:15 PM,3:25:36 PM,3:25:57 PM,3:26:14 PM,3:26:14 PM,3:30:11 PM,3:31:00 PM,3:31:54 PM,3:32:46 PM,3:36:31 PM,3:38:24 PM,3:39:21 PM,3:41:23 PM,3:46:29 PM,3:46:29 PM,3:47:14 PM,3:47:14 PM,3:52:25 PM,3:52:26 PM,3:52:26 PM,,3:55:11 PM,3:55:11 PM,3:57:40 PM,3:58:58 PM,3:58:58 PM,3:59:32 PM,4:34:09 PM,4:34:12 PM,,,,,,1:45:28 PM,,12:41:30 PM,,,,11:43:09 AM,,11:47:13 AM,,,,,,,,,
Crossing Start Time,3:05:12 PM,3:06:06 PM,3:10:12 PM,3:16:03 PM,,3:18:18 PM,3:18:50 PM,3:23:07 PM,3:25:16 PM,3:25:37 PM,3:26:01 PM,3:26:15 PM,3:26:15 PM,3:30:14 PM,3:31:01 PM,3:31:58 PM,3:32:48 PM,3:36:54 PM,3:38:24 PM,3:39:21 PM,3:41:25 PM,3:46:30 PM,3:46:30 PM,3:47:32 PM,3:47:32 PM,3:52:26 PM,3:52:26 PM,3:52:26 PM,,3:55:18 PM,3:55:18 PM,3:57:43 PM,3:59:05 PM,3:59:05 PM,3:59:34 PM,4:34:11 PM,4:34:13 PM,,,,,,1:45:30 PM,,12:41:33 PM,,,,11:43:10 AM,,11:47:14 AM,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,,N/A,,,,N/A,,N/A,,,,,,,,,
Crossing End Time,3:05:18 PM,3:06:13 PM,3:10:24 PM,3:16:10 PM,,3:18:27 PM,3:18:59 PM,3:23:16 PM,3:25:24 AM,3:25:49 PM,3:26:06 PM,3:26:21 PM,3:26:21 PM,3:30:20 PM,3:31:13 PM,3:32:04 PM,3:32:58 PM,3:37:02 PM,3:38:36 PM,3:39:36 PM,3:41:35 PM,3:46:39 PM,3:46:39 PM,3:47:41 PM,3:47:41 PM,3:52:37 PM,3:52:40 PM,3:52:40 PM,,3:55:25 PM,3:55:25 PM,3:57:51 PM,3:59:12 PM,3:59:12 PM,3:59:50 PM,4:34:18 PM,4:34:21 PM,,,,,,1:45:38 PM,,12:41:41 PM,,,,11:43:19 AM,,11:47:24 AM,,,,,,,,,
Crossing Interaction Notes,Run,Walk,Walk,Walk,,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Run,Run,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,,,,,,Walk,,Walk,,,,Walk,,Walk,,,,,,,,,
Bus Presence,No,No,No,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,Yes,No,No,No,,,,,,No,,No,,,,No,,No,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,In Front,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,In Front,In Front,N/A,N/A,N/A,,,,,,N/A,,N/A,,,,N/A,,N/A,,,,,,,,,
Crossing Location Relative to Bus Stop,Downstream,Downstream,Downstream,Upstream,,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,,,,Downstream,,Downstream,,,,Downstream,,Upstream,,,,,,,,,
Bus Noteworthy Events,,,Man is crossing outside of crosswalk and the cars stop to let him cross after he is halfway through the road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He crosses the street to his car and gets in,They cross infront of a bus but the bus doesnt stop,They cross infront of a bus but the bus doesnt stop,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,medium,medium,high,medium,,high,medium,medium,medium,medium,medium,medium,medium,light,light,medium,high,medium,high,light,medium,high,high,high,high,light,medium,medium,,medium,medium,medium,medium,medium,medium,medium,medium,light,medium,medium,medium,medium,medium,medium,high,high,medium,medium,medium,high,high,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
