Clothing Color,Black,White,Black,Grey,Black,Dark green,Black/khaki,Orange,Grey,White,White,Grey,Black,White,White,White,White,Black,Grey,Grey,Black,White,Grey,Grey,White,White,Red,Black/White,Black,White,Black/Khaki,Black,White,Black,White,Grey,Black,Black,Brown,Black/Khaki,Blue,Brown,Black,Black,Red,Black,Black,White,Piink,Black,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,1,2,1,2,3,2,1,2,1,1,1,1,3,1,1,1,1,3,1,1,3,1,2,2,2,1,3,3,1,1,3,3,3,1,3,3,2,2,3,3,3,2,3,3,2,2,2,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,Hard to Tell,Hard to Tell,Hard to Tell,No,Hard to Tell,No,Hard to Tell,Hard to Tell,No,Hard to Tell,Hard to Tell,No,Hard to Tell,Yes,No,No,Hard to Tell,No,No,Hard to Tell,Hard to Tell,No,No,No,Hard to Tell,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,Pushing a stroller,,Pushing a stroller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On phone,On phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,Boarded,,,,,,,Boarded,,,,,,,,,,,,,,Alighted,Alighted,,,,,,,Alighted,Alighted,Boarded,Boarded,Alighted,,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,3:16:01 PM,,,,,,,3:29:37 PM,,,,,,,,,,,,,,3:54:10 PM,3:54:10 PM,,,,,,,4:33:50 PM,4:33:50 PM,5:46:01 PM,5:46:01 PM,11:31:35 AM,11:31:35 AM,11:45:56 AM,11:46:24 AM,11:47:30 AM,12:18:43 PM,12:28:24 PM,12:42:00 PM,1:13:24 PM,1:13:24 PM,1:17:04 PM,1:45:48 PM,2:55:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,3:16:24 PM,,,,,,,3:53:56 PM,,,,,,,,,,,,,,3:55:09 PM,3:55:09 PM,,,,,,,4:34:13 PM,4:34:10 PM,5:50:52 PM,5:50:52 PM,11:31:41 AM,11:31:45 AM,11:46:46 AM,11:46:46 AM,11:50:20 AM,12:51:18 PM,12:30:54 PM,12:46:06 PM,1:13:55 PM,1:13:55 PM,1:32:08 PM,1:47:40 PM,2:56:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bus stop on opposite side of street,,,Bus stop on opposite side of the street,Bus stop on opposite side of the street,,,,,Bus stop on opposite side of the street,Bus stop on opposite side of the street,,Bus stop on opposite side of the street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,No,No,No,No,No,,No,Yes,No,No,No,No,,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,,,,,Yes,,No,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,,N/A,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intend to Cross Timestamp,,3:05:10 PM,,3:10:12 PM,3:16:00 PM,,3:18:18 PM,3:18:48 PM,3:23:00 PM,3:25:16 PM,3:25:39 PM,3:25:56 PM,,3:30:12 PM,3:30:59 PM,3:31:55 PM,3:32:46 PM,3:36:31 PM,3:38:24 PM,3:39:21 PM,3:41:24 PM,3:46:30 PM,3:47:12 PM,3:47:12 PM,3:52:25 PM,3:52:27 PM,3:55:10 PM,3:55:10 PM,3:55:00 PM,3:54:58 PM,3:57:40 PM,3:58:57 PM,3:58:57 PM,3:59:30 PM,4:34:12 PM,4:34:09 PM,,,,,11:43:09 AM,,11:47:13 AM,,,12:41:29 PM,,,,1:45:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,3:04:32 PM,3:05:10 PM,3:06:05 PM,3:10:12 PM,3:16:00 PM,,3:18:18 PM,3:18:50 PM,3:23:07 PM,3:25:16 PM,3:25:39 PM,3:25:57 PM,,3:30:15 PM,3:30:59 PM,3:32:00 PM,3:32:48 PM,3:36:53 PM,3:38:28 PM,3:39:21 PM,3:41:25 PM,3:46:30 PM,3:47:32 PM,3:47:32 PM,3:52:27 PM,3:52:30 PM,3:55:16 PM,3:55:16 PM,3:55:01 PM,3:54:58 PM,3:57:42 PM,3:59:04 PM,3:59:04 PM,3:59:33 PM,4:34:12 PM,4:34:10 PM,,,,,11:43:10 AM,,11:47:16 AM,,,12:41:33 PM,,,,1:45:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,,N/A,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:04:41 PM,3:05:18 PM,3:06:13 PM,3:10:24 PM,3:16:10 PM,,3:18:27 PM,3:18:58 PM,3:23:15 PM,3:25:25 PM,3:25:47 PM,3:26:06 PM,,3:30:20 PM,3:31:12 PM,3:32:07 PM,3:32:58 PM,3:37:02 PM,3:38:36 PM,3:39:36 PM,3:41:25 PM,3:46:39 PM,3:47:42 PM,3:47:42 PM,3:52:37 PM,3:52:42 PM,3:55:26 PM,3:55:26 PM,3:55:14 PM,3:55:09 PM,3:57:51 PM,3:59:19 PM,3:59:19 PM,3:59:47 PM,4:34:21 PM,4:34:18 PM,,,,,11:43:20 AM,,11:47:24 AM,,,12:41:42 PM,,,,1:45:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Run,Walk,Walk,Walk,,Walk,Walk,Walk,Walk,Walk,Walk,,Walk,Walk,Run,Run,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Run,Walk,Walk,,,,,Walk,,Walk,,,Walk,,,,Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,,No,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,,N/A,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Upstream,,Downstream,At,Downstream,Downstream,Downstream,Downstream,,Downstream,Downstream,Downstream,Downstream,At,Downstream,Downstream,Upstream,Downstream,At,At,Downstream,Downstream,At,At,Downstream,Downstream,Upstream,At,At,Downstream,At,At,,,,,At,,At,,,At,,,,At,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,2,2,3,,2,,2,3,3,2,2,2,,1,2,2,2,2,2,2,2,3,3,3,2,2,1,1,1,1,2,2,2,3,2,2,,,,,1,,2,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,Intention to cross not visible,,"Intention to cross not visible, likley same pedestrian as column A",,,,,,,,,,,,"Ped finished crossing off screen, estimated end time",,,,,,,,,,,,,,,,"Didn't fully cross, got in their parked car",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
