Group Size,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,5,5,5,5,1,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,,,
Estimated Gender,Male,Female,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Male,Male,Female,Male,Male,Female,Male,Female,Female,Female,Female,Female,Female,Female,Hard to Tell,Female,Female,hard to tell,Male,Female,Male,Female,Female,Female,Male,Male,Male,Female,Hard to Tell,Hard to Tell,Female,Hard to Tell,Female,Female,Female,Male,Female,Male,Hard to Tell,Male,Male,Male,Male,,Bus Interaction,Count
Estimated Age Group,36-50,36-50,36-50,21-35,36-50,36-50,21-35,36-50,Hard to tell,21-35,36-50,36-50,21-35,21-35,21-35,21-35,36-50,Hard to tell,36-50,hard to tell,Hard to Tell,Hard to Tell,Hard to tell,Hard to tell,Hard to tell,Hard to tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,36-50,36-50,21-35,36-50,36-50,36-50,36-50,Hard to tell,Hard to tell,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,36-50,Hard to tell,Hard to Tell,Hard to tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to tell,21-35,21-35,21-35,,Yes,22
Clothing Color,Hard to tell,Hard to tell,Red,black,Black,hard to tell,WHITE,red,BLACK,WHITE,RED,BLUE,WHITE,BLACK,black,black,red,white,blue,black,WHITE,BLUE,ORANGE,RED,BLACK,WHITE,Yellow,Blue,White,Black,BLUE,BLACK,White,BLACK,Red,WHITE,WHITE,BLUE,BLACK,WHITE,BLACK,WHITE,WHITE,BLACK,BLACK,Hard to tell,WHITE,BLACK,White,BLACK,White,Black,white,White,Purple,,no,33
Visibility Scale,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,3,2,1,1,3,2,3,3,3,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,
User Notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,,,
Type of Bus Interaction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boarded,0,Boarded,Boarded,Boarded,Boarded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Waited at Bus Stop,Waited at Bus Stop,Waited at Bus Stop,Waited at Bus Stop,Boarded,Boarded,Boarded,Boarded,,,
Bus Stop Arrival Time, , , , , , , , , , , , , , ,3:10:50 PM, ,3:10:50 PM,3:10:50 PM,3:10:50 PM,3:10:50 PM, , , , , , , , , , , , , , , , , , ,3:45:39 PM,3:45:39 PM,3:45:39 PM,3:45:39 PM,3:45:39 PM,3:45:39 PM,4:16:03 PM,4:16:03 PM,4:36:53 PM, , , , ,5:39:43 PM,5:39:43 PM, , ,,,
Bus Stop Departure Time, , , , , , , , , , , , , , ,3:11:19 PM, ,3:11:19 PM,3:11:19 PM,3:11:19 PM,3:11:19 PM, , , , , , , , , , , , , , , , , , ,3:46:02 PM,3:46:02 PM,3:46:02 PM,3:46:02 PM,3:46:02 PM,3:46:02 PM,4:16:26 PM,4:16:19 PM,4:24:45 PM, , , , ,5:39:53 PM,5:39:53 PM,6:09:23 PM,6:09:23 PM,,,
Noteworthy Events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Crosswalk Crossing?,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,0,0,Yes,Yes,No,0,0,,,
Pedestrian Phase Crossing?,N/A,Yes,Yes,No,N/A,N/A,No,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,No,No,Yes,N/A,N/A,Yes,Yes,Yes,N/A,N/A,N/A,No,0,0,Yes,Yes,No,0,0,,,
Intend to Cross Timestamp,3:00:42 PM,3:02:21 PM,3:03:14 PM,3:03:57 PM,3:06:03 PM,3:06:03 PM,3:07:08 PM,3:07:45 PM,3:08:06 PM,3:08:53 PM,3:09:35 PM,3:09:35 PM,3:09:44 PM,3:09:44 PM,3:09:46 PM,3:09:47 PM,3:10:44 PM, , , ,3:11:24 PM,3:11:24 PM,3:11:26 PM,3:11:27 PM,3:11:27 PM,3:11:29 PM,3:11:34 PM,3:11:36 PM,3:11:36 PM,3:11:38 PM,3:12:14 PM,3:12:14 PM,3:13:00 PM,3:13:38 PM,3:14:21 PM,3:15:30 PM,3:15:32 PM,3:17:11 PM,3:43:49 PM, , ,3:45:54 PM,3:45:54 PM,3:45:54 PM, , , ,4:41:55 PM, , ,4:21:55 PM,5:29:30 PM,5:38:09 PM,6:05:04 PM,6:05:14 PM,,,
Crossing Start Time,3:00:49 PM,3:02:24 PM,3:03:24 PM,3:03:58 PM,3:06:09 PM,3:06:10 PM,3:07:13 PM,3:07:48 PM,3:08:11 PM,3:08:58 PM,3:09:42 PM,3:09:40 PM,3:09:45 PM,3:09:46 PM,3:09:48 PM,3:09:51 PM,3:10:45 PM, , , ,3:11:26 PM,3:11:27 PM,3:11:27 PM,3:11:28 PM,3:11:28 PM,3:11:30 PM,3:11:35 PM,3:11:37 PM,3:11:37 PM,3:11:39 PM,3:12:18 PM,3:12:19 PM,3:13:00 PM,3:13:41 PM,3:14:25 PM,3:15:32 PM,3:15:33 PM,3:17:12 PM,3:43:54 PM, , ,3:45:55 PM,3:45:55 PM,3:45:55 PM, , , ,4:41:56 PM, , ,5:02:01 PM,5:29:39 PM,5:38:10 PM, ,6:05:20 PM,,,
Refuge Island Start Time, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
Refuge Island End Time, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
Did User Finish Crossing During Pedestrian Phase?,No,Yes,Yes,No,N/A,N/A,No,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,N/A,Yes,N/A,N/A,Yes,Yes,Yes,0,0,0,No,0,0,Yes,Yes,No,0,0,,,
Crossing End Time,3:01:26 PM,3:02:35 PM, ,3:04:04 PM,3:06:19 PM,3:06:19 PM,3:07:16 PM,3:08:08 PM,3:08:18 PM,3:09:04 PM,3:09:54 PM,3:09:54 PM,3:09:56 PM,3:09:57 PM,3:09:57 PM,3:09:59 PM,3:10:58 PM, , , ,3:11:36 PM,3:11:36 PM,3:11:37 PM,3:11:38 PM,3:11:38 PM,3:11:41 PM,3:11:45 PM,3:11:46 PM,3:11:47 PM,3:11:51 PM,3:12:27 PM,3:12:29 PM,3:13:10 PM,3:13:52 PM,3:14:36 PM,3:15:40 PM,3:15:43 PM,3:17:22 PM,3:44:01 PM, , ,3:46:08 PM,3:46:09 PM,3:46:10 PM, , , ,4:42:05 PM, , ,5:02:13 PM,5:29:50 PM,5:38:22 PM, ,6:05:30 PM,,,
Crossing Interaction Notes,Courtesy Run,Walk,Walk,Run,Walk,Walk,Run,Walk,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,0,0,0,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,0,0,Walk,Walk,Walk,0,0,0,Walk,0,0,Walk,Walk,Walk,0,0,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,Yes,Yes,Yes,0,0,0,No,0,0,No,No,No,0,No,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Front,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,Behind,Behind,Behind,0,0,0,N/A,0,0,N/A,N/A,N/A,0,N/A,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,0,0,0,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,0,0,Upstream,Upstream,Upstream,0,0,0,Upstream,0,0,Upstream,Upstream,Downstream,0,Downstream,,,
Noteworthy Events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Vehicle Traffic,Medium,Medium,Medium,Medium,Light,Light,Light,Light,Light,Light,Light,Light,Medium,Medium,Light,Light,High,0,0,0,High,High,High,High,High,High,High,High,High,High,High,High,High,Light,Medium,Medium,Medium,High,High,0,0,High,High,High,0,0,0,Light,0,0,High,High,High,0,Light,,,
General Reviewer Notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
