Video Title,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,,
Type of Bus Interaction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,,
Bus Stop Arrival Time, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:40:29 PM,3:40:29 PM,4:43:41 PM,4:43:41 PM,4:43:41 PM,4:43:51 PM,4:43:51 PM,4:43:51 PM,12:43:48 PM,4:43:48 PM,12:43:51 PM,4:43:51 PM,4:43:51 PM,4:43:51 PM,5:06:32 PM,5:06:32 PM,5:06:32 PM,5:48:41 PM,6:08:41 PM,6:08:41 PM,6:08:41 PM,6:08:51 PM,6:08:41 PM,6:08:41 PM,6:08:41 PM,,
Bus Stop Departure Time, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:41:02 PM,3:41:02 PM,4:44:03 PM,4:44:03 PM,4:44:03 PM,4:44:17 PM,4:44:17 PM,4:44:17 PM,4:44:13 PM,4:44:13 PM,12:44:17 PM,4:44:17 PM,4:44:17 PM,4:44:17 PM,5:06:46 PM,5:06:46 PM,5:06:46 PM,5:53:10 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,,
Noteworthy Events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Crosswalk Crossing?,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
Pedestrian Phase Crossing?,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,No,No,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,Yes,no,No,No,Yes,No,No,No,No,Yes,Yes,Yes,,
Intend to Cross Timestamp,3:00:29 PM,3:00:32 PM,3:00:32 PM,3:01:09 PM,3:01:09 PM,3:01:09 PM,3:02:00 PM,3:02:44 PM,3:02:49 PM,3:03:10 PM,3:03:41 PM,3:04:28 PM,3:04:54 PM,3:06:09 PM,3:07:14 PM,3:07:15 PM,3:07:15 PM,3:09:14 PM,3:09:13 PM,3:09:13 PM,3:12:55 PM,3:12:55 PM,3:14:41 PM,3:14:45 PM,3:14:43 PM,3:14:51 PM,3:14:51 PM,3:17:03 PM,3:20:17 PM,3:20:45 PM,3:21:30 PM,3:21:27 PM,3:23:40 PM,3:23:38 PM,3:23:38 PM,3:37:24 PM,3:37:23 PM,3:37:29 PM,3:37:35 PM,3:37:35 PM,3:37:53 PM,3:39:29 PM,3:40:35 PM,3:40:45 PM, , , , ,4:44:35 PM,4:44:35 PM,4:45:00 PM,4:45:00 PM,4:44:15 PM,4:44:20 PM,4:44:22 PM,4:44:22 PM,4:06:46 PM,5:06:53 PM,5:06:55 PM,5:49:17 PM, , , ,6:09:08 PM,6:09:01 PM,6:09:02 PM,6:09:02 PM,,
Crossing Start Time,3:00:33 PM,3:00:33 PM,3:00:33 PM,3:01:10 PM,3:01:10 PM,3:01:10 PM,3:02:21 PM,3:02:44 PM,3:02:51 PM,3:03:11 PM,3:03:41 PM,3:04:30 PM,3:04:56 PM,3:06:10 PM,3:07:16 PM,3:07:16 PM,3:07:16 PM,3:09:14 PM,3:09:14 PM,3:09:14 PM,3:13:00 PM,3:13:00 PM,3:14:48 PM,3:14:47 PM,3:14:50 PM,3:14:55 PM,3:14:55 PM,3:17:04 PM,3:20:20 PM,3:20:46 PM,11:21:30 AM,3:21:29 PM,3:23:38 PM,3:23:37 PM,3:23:38 PM,3:37:53 PM,3:37:56 PM,3:37:30 PM,3:37:42 PM,3:37:35 PM,3:37:47 PM,3:38:21 PM,3:40:36 PM,3:40:45 PM, , , , ,4:44:38 PM,4:44:38 PM,4:45:02 PM,4:45:02 PM,4:44:18 PM,4:44:22 PM,4:44:23 PM,4:44:23 PM,5:06:47 PM,5:06:55 PM,5:06:56 PM,5:49:28 PM,6:08:54 PM,6:09:02 PM,6:09:04 PM,6:09:07 PM,6:09:04 PM,6:09:13 PM,6:09:05 PM,,
Refuge Island Start Time, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3:37:49 PM,3:37:44 PM,3:37:54 PM, ,3:40:46 PM, , , , , , , , , , , , , , , , , , , , , , , , ,,
Refuge Island End Time, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3:37:51 PM,3:37:46 PM,3:37:56 PM, ,3:40:48 PM, , , , , , , , , , , , , , , , , , , , , , , , ,,
Did User Finish Crossing During Pedestrian Phase?,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,0,0,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,N/A,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,No,N/A,N/A,Yes,No,No,No,No,Yes,no,Yes,,
Crossing End Time,3:00:41 PM,3:00:46 PM,3:00:52 PM,3:01:18 PM,3:01:18 PM,3:01:18 PM,3:02:30 PM,3:02:53 PM,3:03:16 PM,3:03:25 PM,3:03:50 PM,3:04:38 PM,3:05:09 PM,3:06:22 PM,3:07:28 PM,3:07:33 PM,3:07:33 PM,3:09:32 PM,3:09:33 PM,3:09:33 PM,3:13:17 PM,3:13:20 PM,3:14:56 PM,3:15:06 PM,3:15:03 PM,3:15:24 PM,3:15:24 PM,3:17:19 PM,3:20:38 PM,3:20:56 PM,3:21:50 PM,3:21:48 PM,11:23:56 AM, , ,3:37:30 PM,3:37:33 PM,3:37:41 PM,3:37:57 PM,3:37:53 PM,3:38:00 PM,3:38:33 PM,3:40:52 PM,3:40:52 PM, , , , ,4:44:44 PM,4:44:47 PM,4:45:10 PM,4:45:10 PM,4:44:34 PM,4:44:36 PM,4:44:40 PM,4:44:42 PM,5:06:56 PM,5:07:15 PM,5:07:13 PM, ,6:08:58 PM,6:09:11 PM,6:09:15 PM,6:09:17 PM, ,6:09:25 PM,6:09:22 PM,,
Crossing Interaction Notes,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Other,Walk,Walk,0,0,0,0,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Front,In Front,In Front,Behind,Behind,Behind,In Front,Behind,In Front,0,0,0,0,N/A,N/A,N/A,N/A,Behind,Behind,Behind,Behind,N/A,N/A,N/A,Behind,In Front,N/A,N/A,N/A,N/A,N/A,N/A,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,At,At,Upstream,Downstream,At,Downstream,0,0,0,0,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Upstream,Upstream,Upstream,Upstream,,
Noteworthy Events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Vehicle Traffic,Light,Zero,Zero,Zero,Zero,Zero,Light,Light,Zero,Zero,Zero,light,Zero,Light,Light,Light,Light,Light,Light,Light,Light,Zero,Zero,Zero,Zero,Light,Light,Light,Light,Light,Light,Light,Zero,Zero,Zero,Light,Light,Light,Light,Light,Light,Light,Light,Light,0,0,0,0,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,light,,
General Reviewer Notes,0,Diagonally,0,Gothic,Gothic,Gothic,Gothic,GOTHIC,0,GOTHIC,GOTHIC,Gothic,0,0,0,0,0,0,0,0,0,0,0,0,0,Jaywalk,Jaywalk,Jaywalk,Jaywalk,Jaywalk,0,0,0,0,0,Gothic,Gothic,Gothic,0,0,0,0,0,Gothic,0,0,0,0,GOTHIC,GOTHIC,GOTHIC,GOTHIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
