Group Size,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,2,1,1,2,2,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1
Estimated Gender,Male,Female,Male,Female,Male,hard to tell,Female,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,male,male,hard to tell,hard to tell,female,female,female,female,hard to tell,hard to tell,hard to tell,male,male,hard to tell,hard to tell,male,male,hard to tell,hard to tell,Female,Female,Female,Female,Male,Male,Male,Female,Female,Male,Male,Female,Male,Male,Hard to Tell,Male,Hard to Tell,Hard to Tell,Male,Female,Female,Male,Female,Male,Male,Female,Hard to Tell,Male,Female,Male,Female,Male,Male,Male,Hard to Tell,Male,Female,Male,Hard to Tell,Female,Male,Female,Male,Female,Male,Male
Estimated Age Group,hard to tell,21-35,21-35,21-35,hard to tell,hard to tell,36-50,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,21-35,hard to tell,hard to tell,hard to tell,hard to tell,21-35,36-50,36-50,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,21-35,21-35,hard to tell,hard to tell,Hard to Tell,,21-35,Hard to Tell,0-20,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,>50,Hard to Tell,>50,Hard to Tell,Hard to Tell,Hard to Tell,>50,Hard to Tell,21-35,Hard to Tell,21-35,>50,Hard to Tell,>50,Hard to Tell,21-35,21-35,>50,21-35,0-20,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,0-20,>50,21-35,0-20,>50,21-35,>50,>50,36-50
Clothing Color,black ,black,yellow,pink,black,black,black,black,black,black,black,black,black,white,black,black,red,blue,black,black,black,black,black,black and white,black,black,black,black,black,black,black,Light,Dark,Gray,Dark,Dark,Gray,Dark,Dark,Dark,White,Black,Black,Gray,Dark,Red,Black,Dark,Dark,White,Blue,Blue,Dark,Pink,White,White,Light pattern,Black,Red,White,Blue,White,Blue,Gray,Green,Black,White,Black,Yellow,Brown,White,Gray,Pink,Black,Red,White,Red
Visibility Scale,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Estimated Visible Distrction,hard to tell,no,no,no,hard to tell,hard to tell,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scooter (human powered),,,,,,,,,,,,Pulling something on wheels,,"Stands about 50 feet upstream of bus stop before deciding to keep walking, then waits on bus bench",Holding grocery bags in both hands,Jaywalks downstream of bus stop,,Jaywalks downstream of bus stop,,,Jaywalks downstream of bus stop,,Goes into bus stop after getting off bus and waits there - can't see when he leaves,Waits inside bus stop,Has a cane - jaywalks downstream of bus stop,Mother and child,Mother and child,,,,,,,,Pushing a stroller,,Has a shopping cart,,Has shopping cart,Has luggage,
Bus Interaction,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,No,No,No,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Roadway Crossing,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Type of Bus Interaction,,,,,,,,,,,,,boarded,,,,alighted,alighted,alighted,alighted,,,,,,,,,boarded,,,,,,,,,,,,,,,,,Boarded,Alighted,,,Waited at Bus Stop,,,,,,,,,Alighted,Boarded,,Boarded,Boarded,Alighted,Waited at Bus Stop,Boarded,Boarded,Boarded,Boarded,Waited at Bus Stop,Boarded,Boarded,Alighted,Boarded,Waited at Bus Stop,Alighted,Boarded
Bus Stop Arrival Time,,,,,,,,,,,,,9:41:57 AM,,,,9:47:32 AM,9:47:32 AM,9:47:32 AM,9:47:32 AM,,,,,,,,,9:58:06 AM,,,,,,,,,,,,,,,,,10:13:07 AM,10:13:07 AM,,,10:16:07 AM,,,,,,,,,10:28:57 AM,10:36:01 AM,,10:36:01 AM,10:36:01 AM,10:36:01 AM,,12:27:54 PM,11:56:17 AM,12:04:38 PM,12:04:38 PM,,12:27:54 PM,12:34:56 PM,12:34:56 PM,12:46:20 PM,,1:00:14 PM,1:18:31 PM
Bus Stop Departure Time,,,,,,,,,,,,,9:41:02 AM,,,,9:47:54 AM,9:47:54 AM,9:47:54 AM,9:47:54 AM,,,,,,,,,9:58:15 AM,,,,,,,,,,,,,,,,,10:13:33 AM,10:13:33 AM,,,10:16:07 AM,,,,,,,,,10:29:09 AM,10:36:27 AM,,10:36:27 AM,10:36:27 AM,10:36:27 AM,,12:28:15 PM,11:56:27 AM,12:05:04 PM,12:05:04 PM,,12:28:15 PM,12:35:10 PM,12:35:10 PM,12:46:32 PM,,1:00:24 PM,1:18:46 PM
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not stop to pick up man at bus stop - man leaves after bus doesn't stop,,,,,,,,,,,,,,,,"Got in a car that picked them up at the bus stop, then came back at 30 minutes later at 12:24 and sat at bus stop again",,,,"Never got on the bus, walked away after waiting about 5 minutes",,,,,"Left after starting a phone call and crossed the street, jaywalked",,
Crosswalk Crossing,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,yes,yes,no,yes,yes,yes,,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,No,No,No,Yes,Yes,No,Yes,,,No,,,,No,,,,,,,,,Yes,No,,
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,n/a,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,N/A,,,,,,,,,N/A,N/A,,
Intend to Cross Timestamp,9:25:33 AM,9:25:55 AM,9:27:08 AM,9:28:28 AM,9:29:52 AM,9:33:14 AM,9:33:50 AM,9:34:32 AM,9:36:58,9:36:58,9:36:58,9:38:44 AM,,9:46:47 AM,9:47 AM,9:47 AM,,,,,9:51:33 AM,9:52:33 AM,9:52:33 AM,9:52:59 AM,9:55:32 AM,9:57:11 AM,9:57:11 AM,9:57:19 AM,,9:58:17 AM,9:58:24 AM,10:01:00 AM,10:01:00 AM,10:01:06 AM,10:02:10 AM,10:02:25 AM,10:03:12 AM,10:06:17 AM,10:06:28 AM,10:06:29 AM,10:07:03 AM,10:08:07 AM,10:09:47 AM,10:10:31 AM,10:10:45 AM,,,10:14:44 AM,10:14:45 AM,,10:16:14 AM,10:16:18 AM,10:19:35 AM,10:21:31 AM,10:22:10 AM,10:23:45 AM,10:24:31 AM,10:25:25 AM,,,10:31:05 AM,,,,11:00:41 AM,,,,,,,,,12:39:12 PM,12:59:03 PM,,
Crossing Start Time,9:25:36 AM,9:25:55 AM,9:27:08 AM,9:28:28 AM,9:29:54 AM,9:33:14 AM,9:33:50 AM,9:34:44 AM,9:37:03 AM,9:37:03 AM,9:37:03 AM,9:38:44 AM,,9:46:47 AM,94:47:01 AM,94:47:01 AM,,,,,9:51:33 AM,9:52:33 AM,9:52:33 AM,9:52:59 AM,9:55:32 AM,9:57:11 AM,9:57:11 AM,9:57:19 AM,,9:58:17 AM,9:58:24 AM,10:01:00 AM,10:01:00 AM,10:01:06 AM,10:02:10 AM,10:02:25 AM,10:03:12 AM,10:06:17 AM,10:06:28 AM,10:06:29 AM,10:07:03 AM,10:08:07 AM,10:09:49 AM,10:10:31 AM,10:10:45 AM,,,10:14:44 AM,10:14:45 AM,,10:16:14 AM,10:16:18 AM,10:19:35 AM,10:21:31 AM,10:22:13 AM,10:23:45 AM,10:24:31 AM,10:25:25 AM,,,10:31:05 AM,,,,11:00:43 AM,,,,,,,,,12:39:12 PM,12:59:03 PM,,
Refuge Island Start Time,,N/A,9:27:08 AM,N/A,,,9:33:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,10:01:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00:51 AM,,,,,,,,,,,,
Refuge Island End Time,,N/A,9:27:10 AM,N/A,,,9:34:20 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,10:01:21 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:02:59 AM,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,N/A,,,,,,,,,N/A,N/A,,
Crossing End Time,9:25:48 AM,9:26:04 AM,9:27:13 AM,9:28:36 AM,9:30:05 AM,9:33:26 AM,9:34:36 AM,9:34:55 AM,9:37:13 AM,9:37:13 AM,9:37:13 AM,9:38:48 AM,,9:46:55 AM,9:47:11 AM,9:47:11 AM,,,,,9:51:42 AM,9:52:38 AM,9:52:38 AM,9:53:09 AM,9:55:46 AM,9:55:19 AM,9:55:19 AM,9:57:29 AM,,9:58:31 AM,9:58:36 AM,10:01:10 AM,10:01:10 AM,10:01:35 AM,10:02:18 AM,10:02:39 AM,10:03:23 AM,10:06:25 AM,10:06:38 AM,10:06:38 AM,10:07:12 AM,10:08:15 AM,10:10:01 AM,10:10:46 AM,10:10:56 AM,,,10:14:53 AM,10:14:54 AM,,10:16:23 AM,10:16:28 AM,10:19:43 AM,10:21:43 AM,10:22:25 AM,10:23:54 AM,10:24:47 AM,10:25:35 AM,,,10:31:26 AM,,,,11:03:07 AM,,,,,,,,,12:39:20 PM,12:59:16 PM,,
Crossing Interaction Notes,no pedestrian crosswalk traffic sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walk,Walk,Walk,Walk,Other,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,Walk,Walk,,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,,,Walk,,,,Courtesy Run,,,,,,,,,Courtesy Run,Walk,,
Bus Presence,no ,no,no,no,no,no,no,no,no,no,no,no,,no,,,,,,,no,no,no,no,no,no,no,no,,no,no,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,,No,No,No,No,No,No,No,No,,,No,,,,No,,,,,,,,,No,No,,
Crossing Location Relative to Bus,n/a,n/a,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,downstream,downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,downstream,upstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,,downstream,downstream,,,,,,downstream,downstream,downstream,downstream,upstream,downstream,downstream,upstream,,,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,Upstream,Upstream,,Upstream,Downstream,Upstream,Downstream,Upstream,Upstream,Downstream,Upstream,,,Downstream,,,,Downstream,,,,,,,,,Upstream,Downstream,,
Bus Noteworthy Events,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crossed diagonally rather than scootering to both crosswalks,Car turns left into street despite pedestrian halfway across crosswalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walked across the street to the bus stop, waited for the bus to pass, then walked back across the street",,,,,,,,,,,,
Vehicle Traffic,medium,medium,medium,medium,medium,medium,light,light,light,light,light,light,,light,light,,,,,,medium,medium,medium,medium,,light,light,light,,light,light,2,2,2,2,3,2,1,1,1,1,2,2,2,1,,,3,3,,1,1,3,1,3,2,2,2,,,2,,,,,,,,,,,,,2,2,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
