Video Title,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00001,STANDARD_2024_09_23-1044_06.00001,STANDARD_2024_09_23-1044_06.00001,STANDARD_2024_09_23-1044_06.00001,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2025_01_23-1040_46.00003,
Estimated Gender,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Male,Hard to Tell,Male,Female,Hard to Tell,Female,Female,Female,Hard to Tell,Male,Female,Male,Hard to Tell,Female,Female,Male,Male,Hard to Tell,Hard to Tell,Female,Hard to Tell,Male,Hard to Tell,Hard to Tell,Female,Male,Female,Male,Male,Female,Male,Male,Hard to Tell,Female,Hard to Tell,Female,Male,Female,Female,Male,Female,Hard to Tell,,
Estimated Age Group,21-35,,Hard to Tell,>50,21-35,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,36-50,0-20,Hard to Tell,0-20,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,0-20,0-20,0-20,36-50,36-50,>50,Hard to Tell,21-35,Hard to Tell,>50,0-20,>50,21-35,>50,Hard to Tell,Hard to Tell,,
Clothing Color,Grey,White,Black,Blue,Black,Black,White,White,Black,Black,White,Grey,Grey,Grey,Black,Black,Black,Black,Black,Grey,Grey,Black,Black,Black,Blacl,White,Red,Grey,Black,Grey,White,Blue,Black,White,pink,grey,white,black,grey,grey,red,black,blue,blue,grey,black,black,,
Visibility Scale,2,3,1,2,1,1,3,3,1,1,3,2,2,2,1,1,1,1,1,2,2,1,1,1,1,3,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,1,1,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Hard to Tell,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,
User Notes,,,,Walked with cane,,,Pushing a stroller,,,,,,,,,,,,,,,,,,,,Wheelchair user,,,,,,,,,,,Used an electic wheelchair,,,,,,,,,,,
Bus Interaction,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
Roadway Crossing,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,,
Type of Bus Interaction,Alighted,Alighted,,Boarded,Alighted,Alighted,,,,,,,Boarded,Boarded,Boarded,Alighted,,,,,,,Boarded,Alighted,,,,,,,,,,,Alighted,Alighted,Boarded,Alighted,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,Alighted,,
Bus Stop Arrival Time,3:01:47 PM,3:01:47 PM,,3:14:43 PM,3:14:43 PM,3:15:44 PM,,,,,,,3:26:10 PM,3:26:10 PM,3:26:10 PM,3:26:10 PM,,,,,3:34:17 PM,3:43:33 PM,3:43:33 PM,3:43:33 PM,,,,,,,,,,,11:15:47 AM,11:15:47 AM,11:47:16 AM,11:47:16 AM,12:01:27 PM,12:13:31 PM,12:13:31 PM,12:13:31 PM,11:30:15 AM,11:30:15 AM,12:40:07 PM,12:43:00 PM,12:59:17 PM,1:29:28 PM,
Bus Stop Departure Time,3:01:57 PM,3:01:47 PM,,3:15:32 PM,3:15:32 PM,3:15:49 PM,,,,,,,3:26:35 PM,3:26:35 PM,3:26:35 PM,3:26:35 PM,,,,,3:34:27 PM,3:43:53 PM,3:43:53 PM,3:43:53 PM,,,,,,,,,,,11:15:56 AM,11:15:56 AM,11:48:50 AM,11:48:50 AM,12:01:35 PM,12:13:42 PM,12:13:42 PM,12:13:42 PM,11:30:33 AM,11:30:33 AM,12:40:13 PM,12:43:06 PM,12:59:26 PM,1:29:44 PM,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,,No,,,,No,No,No,No,No,,,,
Pedestrian Phase Crossing,N/A,N/A,No,N/A,N/A,N/A,Yes,Yes,N/A,Yes,Yes,Yes,,,,N/A,Yes,Yes,No,No,,No,,,N/A,Yes,Yes,Yes,Yes,Yes,N/A,N/A,No,No,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,,,,
Intend to Cross Timestamp,,3:02:01 PM,3:10:18 PM,,3:14:58 PM,3:15:53 PM,3:18:54 PM,3:19:07 PM,unknown,3:24:12 PM,3:24:35 PM,3:24:35 PM,,,,3:26:28 PM,3:27:43 PM,3:29:19 PM,3:29:52 PM,3:29:52 PM,,3:42:08 PM,,,3:46:15 PM,3:49:29 PM,3:50:56 PM,3:52:23 PM,3:52:23 PM,3:56:26 PM,3:57:28 PM,3:57:28 PM,3:57:51 PM,3:57:51 PM,,,,,,,12:13:47 PM,12:13:47 PM,12:30:43 PM,12:30:43 PM,12:40:20 PM,,,,
Crossing Start Time,,3:02:03 PM,3:10:30 PM,,3:15:00 PM,3:15:53 PM,3:18:55 PM,3:19:09 PM,unknown,3:24:30 PM,3:24:39 PM,3:24:39 PM,,,,3:26:28 PM,3:27:48 PM,3:29:22 PM,3:30:17 PM,3:30:17 PM,,3:43:01 PM,,,3:46:18 PM,3:49:30 PM,3:51:35 PM,3:52:27 PM,3:52:27 PM,3:56:29 PM,3:57:31 PM,3:57:31 PM,3:57:52 PM,3:57:52 PM,,,11:43:09 AM,,,,12:13:47 PM,12:13:47 PM,12:30:43 PM,12:30:43 PM,12:40:31 PM,,,,
Refuge Island Start Time,,3:02:08 PM,3:10:39 PM,,3:15:06 PM,3:15:56 PM,3:19:11 PM,3:19:20 PM,unknown,3:24:36 PM,3:24:44 PM,3:24:44 PM,,,,3:26:33 PM,3:27:57 PM,3:29:32 PM,3:30:27 PM,3:30:27 PM,,3:43:12 PM,,,3:46:27 PM,3:49:37 PM,3:51:44 PM,3:52:37 PM,3:52:37 PM,3:56:39 PM,3:57:37 PM,3:57:37 PM,3:57:56 PM,3:57:56 PM,,,11:43:21 AM,,,,12:13:55 PM,12:13:55 PM,12:30:52 PM,12:30:52 PM,12:40:38 PM,,,,
Refuge Island End Time,,3:02:10 PM,3:10:48 PM,,unknown,3:15:58 PM,3:19:17 PM,3:19:21 PM,3:23:25 PM,3:24:40 PM,3:26:30 PM,3:26:30 PM,,,,3:26:39 PM,,3:30:06 PM,3:30:33 PM,3:30:33 PM,,3:43:50 PM,,,3:46:30 PM,3:49:41 PM,3:51:47 PM,3:52:40 PM,3:52:40 PM,3:56:42 PM,3:57:44 PM,3:57:44 PM,3:57:58 PM,3:57:58 PM,,,11:43:24 AM,,,,12:13:58 PM,12:13:58 PM,12:31:16 PM,12:31:16 PM,12:40:40 PM,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,,,,N/A,,No,No,No,,Yes,,,N/A,No,Yes,Yes,Yes,Yes,N/A,N/A,No,No,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,,,,
Crossing End Time,,3:02:18 PM,3:10:54 PM,,unknown,3:16:06 PM,3:19:23 PM,3:19:27 PM,3:23:40 PM,3:24:48 PM,3:26:38 PM,3:26:39 PM,,,,3:26:52 PM,,3:30:16 PM,3:30:40 PM,3:30:37 PM,,3:43:57 PM,,,3:46:37 PM,3:49:50 PM,3:51:54 PM,3:52:49 PM,3:52:49 PM,3:56:52 PM,3:57:49 PM,3:57:49 PM,3:58:02 PM,3:58:02 PM,,,11:43:33 AM,,,,12:14:08 PM,12:14:09 PM,12:31:25 PM,12:31:25 PM,12:40:48 PM,,,,
Crossing Interaction Notes,,Walk,Walk,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,,Walk,,Walk,Walk,Walk,,Walk,,,Walk,Walk,Other,Walk,Walk,Walk,Walk,Walk,Run,Run,,,Walk,,,,Walk,Walk,Walk,Walk,Walk,,,,
Bus Presence,,No,No,,Yes,No,No,No,No,No,Yes,Yes,,,,Yes,,No,No,No,,Yes,,,No,No,No,No,No,No,No,No,No,No,,,No,,,,Yes,Yes,No,No,Yes,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,In Front,N/A,N/A,N/A,N/A,N/A,Behind,Behind,,,,Behind,,N/A,N/A,N/A,,Behind,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,Behind,Behind,N/A,N/A,Behind,,,,
Crossing Location Relative to Bus Stop,,At,Downstream,,Upstream,At,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,,,,Downstream,,Downstream,Downstream,Downstream,,Downstream,,,At,Downstream,Downstream,Downstream,Downstream,Downstream,At,At,Downstream,Downstream,,,Downstream,,,,At,At,At,At,At,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,,Light,Light,,Light,Light,High,High,Medium,Medium,Medium,Medium,Light,Light,Light,Light,,Medium,Medium,Medium,Medium,High,,,Light,Medium,Medium,High,High,High,High,High,High,High,Light,Light,Medium,Medium,Medium,,Light,Light,Medium,Medium,Light,Light,Light,,
General Reviewer Notes,,,,individual got to bus stop at 15:04:43,User reached refuge island and moved out of camera view before completeing cross,,,,Comes into camera view while already on refuge island,,,,,,,,Intentionally staying in refuge island to panhandle,,,,,,,Briefly stops at crosswalk but then continues down the road without crossing,,,,,,,,,,,,,,,,,,,,,,,,,
