Group Size,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Female,Male,Male,Male,Male,Male,Male,Female,Male,Male,Hard to Tell,Male,Hard to Tell,Hard to Tell,Male,Male,Hard to Tell,Hard to Tell,Female,Hard to Tell,Hard to Tell,Hard to Tell,,Male,Male,Hard to Tell,Male,Male,Hard to Tell,Male,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Female,Female,Hard to Tell,Male,Male,Hard to Tell,Male,Hard to Tell,Male,Hard to Tell,Hard to Tell,Male,Hard to Tell,Hard to Tell,Male,Female,Male,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,Hard to Tell,Hard to Tell,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,,Hard to Tell,21-35,Hard to Tell,Hard to Tell,21-35,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,36-50,Hard to Tell,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,black,Hard to Tell,black,black,Hard to Tell,Hard to Tell,Yellow,grey,white,black,Hard to Tell,black,Hard to Tell,Hard to Tell,Hard to Tell,white,white,black,white,black,Hard to Tell,Hard to Tell,,Hard to Tell,black,Hard to Tell,black,black,Hard to Tell,black,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,white,black ,black ,black ,Hard to Tell,black,black,Hard to Tell,Hard to Tell,Hard to Tell,black,black,black,black,black,Hard to Tell,black,black,Hard to Tell,blue,blue,Hard to Tell,white,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,black,black,yellow,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,2,2,3,3,2,2,2,2,2,1,1,3,1,1,1,,,,3,3,2,2,,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,,,1,2,2,2,2,2,2,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,Alighted,Alighted,,,,,Boarded,,,Boarded,,,,,,,Boarded,,,,,,Alighted,,,Boarded,,,,,,,,,,Boarded,,,,,,,,,,,,,Boarded,Boarded,,,,,,,,,,,,,Boarded,Alighted,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,3:06:41 PM,3:06:41 PM,,,,,3:41:28 PM,,,3:41:28 PM,,,,,,,9:24:46 AM,,,,10:14:26 AM,,10:20:50 AM,,,10:40:36 AM,,,,,,,,,,11:41:18 AM,,,,,,,,,,,,,12:42:23 PM,12:42:23 PM,,,,,,,,,,,,,3:49:01 PM,3:49:01 PM,3:49:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,3:06:49 PM,3:06:49 PM,,,,,3:41:36 PM,,,3:41:36 PM,,,,,,,9:24:51 AM,,,,10:14:57 AM,,10:21:15 AM,,,10:40:51 AM,,,,,,,,,,11:41:22 AM,,,,,,,,,,,,,12:42:37 PM,12:42:37 PM,,,,,,,,,,,,,2:49:14 PM,2:49:14 PM,2:49:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,He crossed and stopped half way then returned back.,,Waited at the bus stop,Pedestrian was pushing a cart while crosing ,,Waited at the bus stop,,,,,,,,,,,No one boarded or alighted the bus ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,N/A,Yes,Yes,N/A,N/A,N/A,N/A,,Yes,N/A,Yes,No,N/A,Yes,Yes,No,No,Yes,Yes,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,No,yes,yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intend to Cross Timestamp,3:05:50 PM,3:05:50 PM,3:06:51 PM,3:06:51 PM,3:24:51 PM,3:24:51 PM,3:24:51 PM,3:29:42 PM,3:32:51 PM,3:36:41 PM,3:38:58 PM,3:40:20 PM,3:45:04 PM,3:45:06 PM,3:57:50 PM,7:44:57 AM,9:04:02AM,9:20:32 AM,,9:37:16 AM,9:58:22 AM,10:09:05 AM,,10:17:07 AM,,10:36:37 AM,10:37:42 AM,,11:18:38 AM,11:19:41 AM,11:21:09 AM,11:21:09 AM,11:23:17 AM,11:26:27 AM,11:36:39 AM,11:36:39 AM,11:38:14 AM,,11:41:47 AM,11:42:04 AM,11:42:49 AM,11:44:28 AM,11:54:51 AM,11:58:41 AM,12:01:07 PM,12:13:02 PM,12:23:44 PM,12:28:27 PM,12:33:33 PM,12:40:55 PM,,,12:44:45 PM,1:36:37 PM,1:45:37 PM,1:48:40 PM,1:49:05 PM,2:07:56 PM,2:35:26 PM,2:38:40 PM,2:40:54 PM,2:43:15 PM,2:43:19 PM,2:44:21 PM,,2:49:38 PM,2:49:38 PM,2:49:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,3:05:52 PM,,3:07:09 PM,3:07:09 PM,3:25:28 PM,3:25:28 PM,3:25:28 PM,3:29:46 PM,3:33:05 PM,3:36:42 PM,3:39:02 PM,3:40:32 PM,3:45:07 PM,3:45:12 PM,3:57:53 PM,7:44:59 AM,9:04:03 AM,9:20:32 AM,,9:37:16 AM,9:58:29 AM,10:09:06 AM,,10:17:09 AM,,10:36:43 AM,10:37:46 AM,,11:18:43 AM,11:20:34 AM,11:21:11 AM,11:21:12 AM,11:23:18 AM,11:26:29 AM,11:36:45 AM,11:36:45 AM,11:38:19 AM,,11:41:48 AM,11:42:06 AM,11:42:51 AM,11:44:31 AM,11:54:56 AM,11:58:43 AM,12:01:09 PM,12:13:05 PM,12:23:46 PM,12:28:30 PM,12:33:35 PM,12:40:58 PM,,,12:44:49 PM,1:36:38 PM,1:45:39 PM,1:48:42 PM,1:49:11 PM,2:08:01 PM,2:35:30 PM,2:38:41 PM,2:40:56 PM,2:43:17 PM,2:43:21 PM,2:44:23 PM,,2:49:43 PM,2:49:43 PM,2:49:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Yes,No,N/A,,N/A,N/A,Yes,No,N/A,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,Yes,No,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:06:03 PM,3:06:03 PM,3:07:14 PM,3:07:15 PM,3:25:40 PM,3:25:41 PM,,3:29:59 PM,3:33:10 PM,3:37:03 PM,3:39:14 PM,3:40:40 PM,3:45:17 PM,3:45:23 PM,3:58:08 PM,7:45:11 AM,9:04:23 AM,9:20:43 AM,,9:37:32 AM,9:58:39 AM,10:09:21 AM,,10:17:23 AM,,10:36:53 AM,10:37:52 AM,,11:18:58 AM,11:20:45 AM,11:21:21 AM,11:21:22 AM,11:23:35 AM,11:26:51 AM,11:36:56 AM,11:36:56 AM,11:38:28 AM,,11:42:01 AM,11:42:18 AM,11:43:03 AM,11:44:43 AM,11:55:09 AM,11:59:01 AM,12:01:20 PM,12:13:14 PM,12:23:58 PM,12:28:41 PM,12:33:51 PM,12:41:05 PM,,,12:44:56 PM,1:36:48 PM,1:45:49 PM,1:48:53 PM,1:49:23 PM,2:08:13 PM,2:35:44 PM,2:38:53 PM,2:41:05 PM,2:43:28 PM,2:43:31 PM,2:44:34 PM,,2:49:54 PM,2:49:54 PM,2:49:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Courtesy Run,Courtesy Run,Walk,Walk,Walk,Walk,Run,Walk,Cyclist,Walk,Walk,Walk,Walk,Cyclist,Walk,Walk,,Walk,Walk,Cyclist,,Walk,,Walk,Courtesy Run,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Run,,Walk,Walk,Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,,No,,No,No,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,Upstream,,Upstream,,Upstream,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,Upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,light,light,medium,medium,medium,medium,medium,light,medium,light,light,medium,medium,medium,medium,medium,light,light,,light,light,medium,,light,,light,light,,light,light,medium,medium,light,light,light,light,light,,light,light,light,light,light,light,light,light,medium,medium,light,light,,,light,light,light,light,light,medium,medium,medium,light,light,light,light,,light,light,light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
