Group Size,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Estimated Gender,Female,Male,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male,Male,Hard to Tell,Hard to Tell,Female,Hard to Tell,Hard to Tell,Male,Hard to Tell,Female,Male,Male,Male,,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female
Estimated Age Group,21-35,21-35,21-35,21-35,0-20,0-20,21-35,0-20,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,21-35,Hard to Tell,36-50,Hard to Tell,Hard to Tell,21-35,,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,36-50,21-35,36-50,Hard to Tell,Hard to Tell,21-35,Hard to Tell,21-35,21-35,21-35
Clothing Color,brown,white,black,black,black,black,white,white,black,black,white,blue,black,black,black,black,Hard to Tell,Hard to Tell,white,Hard to Tell,Hard to Tell,brown,Hard to Tell,black,black,black,grey,,black,black,white,white,white,black,white,black,black,black,black,black,black,black,black,black,black,black,green,black,black,grey,black,black,black,black,black,brown,black,black
Visibility Scale,1,1,3,3,3,3,2,1,2,2,2,2,1,1,1,1,1,1,3,1,1,1,1,3,1,1,3,,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,,,
Estimated Visible Distrction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes
Roadway Crossing,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Type of Bus Interaction,,,Alighted,Alighted,,,,,,Alighted,Alighted,,,,,,,,Boarded,,,,,Alighted,,,Boarded,,,,,,,,,,Boarded,,,,,,,,,,Boarded,Boarded,,,,,,,,Boarded,,
Bus Stop Arrival Time,,,3:06:40 PM,3:06:40 PM,,,,,,3:41:19 PM,3:41:19 PM,,,,,,,,9:24:44 AM,,,,,10:20:57 AM,,,10:40:33 AM,11:17:34 AM,,,,,,,,,11:41:00 AM,,,,,,,,,,12:42:24 PM,12:42:24 PM,,,,,,,,2:49:00 PM,2:49:00 PM,2:49:00 PM
Bus Stop Departure Time,,,3:06:51 PM,3:06:51 PM,,,,,,3:41:35 PM,3:41:35 PM,,,,,,,,9:24:51 AM,,,,,10:21:07 AM,,,10:40:53 AM,,,,,,,,,,11:41:23 AM,,,,,,,,,,12:42:37 PM,12:42:37 PM,,,,,,,,2:49:15 PM,2:49:15 PM,2:49:15 PM
Noteworthy Events,,,users crossed upstream of pedestrian crossing,,,,,,,,,,,,,,,,,,,,,,,,,"kids playing on the side of the road, almost hit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,,No,No,No,No,,No,No,,,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,,,No,Yes,Yes,No,No,No,No,,Yes,Yes
Pedestrian Phase Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,No,No,No,Yes,No,No,,No,No,No,No,,No,No,,,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,,,Yes,No,No,Yes,Yes,No,No,,Yes,Yes
Intend to Cross Timestamp,3:05:45 PM,3:05:45 PM,3:07:09 PM,3:07:09 PM,3:24:44 PM,3:24:44 PM,3:29:44 PM,3:32:37 PM,3:40:16 PM,,,4:04:30 PM,4:15:19 PM,4:17:14 PM,4:20:18 PM,4:26:09 PM,9:04:04 AM,9:20:33 AM,,9:37:15 AM,9:58:23 AM,10:09:11 AM,10:17:09 AM,,10:36:40 AM,10:37:42 AM,,,11:20:01 AM,11:21:11 AM,11:21:11 AM,11:23:18 AM,11:23:18 AM,11:36:34 AM,11:36:34 AM,11:37:57 AM,,11:41:00 AM,11:44:31 AM,11:54:55 AM,11:56:37 AM,11:58:34 AM,12:01:03 PM,12:28:29 PM,12:29:27 PM,12:40:58 PM,,,1:36:37 PM,1:49:08 PM,2:35:29 PM,2:38:23 PM,2:40:54 PM,2:41:51 PM,2:44:03PM,,2:49:35 PM,2:49:35 PM
Crossing Start Time,3:05:52 PM,3:05:52 PM,3:07:10 PM,3:07:10 PM,3:25:29 PM,3:25:29 PM,3:29:46 PM,3:03:05 PM,3:40:29 PM,,,4:04:38 PM,4:15:24 PM,4:17:21 PM,4:20:20 PM,4:26:16 PM,9:04:05 AM,9:20:36 AM,,9:37:16 AM,9:58:29 AM,10:09:16 AM,10:17:10 AM,,10:36:42 AM,10:37:46 AM,,,11:20:34 AM,11:21:12 AM,11:21:12 AM,11:23:19 AM,11:23:19 AM,11:36:45 AM,11:36:45 AM,11:37:58 AM,,11:42:17 AM,11:43:33 AM,11:54:56 AM,11:56:39 AM,11:58:51 AM,12:01:09 PM,12:28:30 PM,12:29:31 PM,12:40:58 PM,,,1:36:38 PM,1:49:11 PM,2:35:30 PM,2:38:40 PM,2:40:55 PM,2:43:02 PM,2:44:23 PM,,2:49:43 PM,2:49:43 PM
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:06:02 PM,3:06:02 PM,3:07:14 PM,3:07:14 PM,3:25:39 PM,3:25:39 PM,3:29:57 PM,3:33:10 PM,3:40:40 PM,,,4:04:48 PM,4:15:30 PM,4:17:34 PM,4:20:25 PM,4:26:24 PM,9:04:19 AM,9:20:42 AM,,9:37:30 AM,9:58:39 AM,10:09:21 AM,10:17:22 AM,,10:36:53 AM,10:37:51 AM,,,11:20:45 AM,11:21:21 AM,11:21:21 AM,11:23:34 AM,11:23:34 AM,11:36:55 AM,11:36:55 AM,11:38:27 AM,,,11:44:43 AM,11:55:08 AM,11:56:48 AM,11:59:00 AM,12:01:20 PM,12:28:39 PM,12:29:40 PM,12:41:04 PM,,,1:36:48 PM,1:49:22 PM,2:35:42 PM,2:38:52 PM,2:41:05 PM,2:43:07 PM,2:44:34 PM,,2:49:53 PM,2:49:53 PM
Crossing Interaction Notes,Walk,Walk,,,Walk,Walk,Walk,Run,Walk,,,Run,Run,Walk,Run,Courtesy Run,Walk,Courtesy Run,,Walk,Walk,Walk,Walk,,Walk,Run,,,Walk,Run,Walk,Walk,Run,,,,,Walk,Walk,Walk,Run,Walk,Walk,Courtesy Run,Walk,Run,,,Walk,Walk,Walk,Walk,Courtesy Run,Run,Run,,Walk,Walk
Bus Presence,No,No,,No,No,No,No,No,No,,,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,light,medium,medium,medium,medium,medium,light,medium,heavy,medium,medium,high,high,high,high,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,medium,,,low,low,low,medium,medium,high,high,,medium,medium
General Reviewer Notes,,,,,,,,,was assited to cross,,,,,,,,,,,,,,,,,,seemed like the car almost collided with the bus as it entered back in the lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
