Group Size,2,2,1,1,1,1,1,3,3,3,1,1,1,1,1,3,3,3,1,2,2,2,2,1,1,1,1,1,1,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,,,,,,,,
Estimated Gender,Female,Female,Male,Hard to Tell,Male,Female,Male,Female,Male,Male,Male,Hard to Tell,Hard to Tell,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male,Male,Female,Male,Hard to Tell,Female,Hard to Tell,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Female,Male,Female,Hard to Tell,Hard to Tell,Male,Hard to Tell,Male,Male,Male,Female,Female,Female,Male,Male,Female,Female,Hard to Tell,Male,Female,Female,Female,Male,Female,Female,Female,Female,Female,Male,Female,Male,Male,Female,Male,Female,Female,Female,Male,,,,,,,,
Estimated Age Group,21-35,21-35,36-50,Hard to Tell,>50,Hard to Tell,Hard to Tell,36-50,0-20,36-50,Hard to Tell,21-35,Hard to Tell,21-35,0-20,0-20,0-20,0-20,Hard to Tell,21-35,21-35,21-35,21-35,21-35,>50,Hard to Tell,21-35,Hard to Tell,Hard to Tell,36-50,0-20,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,0-20,>50,>50,36-50,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,>50,21-35,21-35,Hard to Tell,21-35,21-35,0-20,Hard to Tell,0-20,0-20,>50,36-50,21-35,0-20,21-35,21-35,0-20,36-50,>50,36-50,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,,,,,,,,
Clothing Color,white,black,white,black,white/black,black,white,black,black,black,grey,black,black,black,white,black,white,blue,grey,blue,white,white,black,black,black,white,pink,black,white,black,black,black,white,white,white,black,white,black,pink,black,black,black,black,black,white,white,white,white,white,grey,white,orange,black,black,white,black,white,white/black,black,white,white,blue,white,lila,white,yellow,white,black,black,black,black,black,white,white,white,grey,,,,,,,,
Visibility Scale,3,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,3,3,2,3,3,3,2,2,2,3,3,2,3,2,2,2,3,3,3,2,3,2,3,2,2,2,2,2,3,3,3,3,3,2,3,3,2,2,2,2,3,3,2,2,3,2,2,3,3,3,3,2,2,2,2,2,3,3,3,3,,,,,,,,
Estimated Visible Distrction,No,No,Yes,Hard to Tell,Hard to Tell,,,No,No,No,No,No,Hard to Tell,No,No,No,No,No,Hard to Tell,No,No,No,No,Yes,No,Hard to Tell,No,No,Hard to Tell,No,No,Hard to Tell,No,No,No,Hard to Tell,No,No,No,No,No,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,No,No,No,No,No,No,Hard to Tell,Hard to Tell,No,No,No,No,No,No,No,No,No,No,Hard to Tell,No,No,No,No,No,No,Hard to Tell,No,No,,,,,,,,
User Notes,,,he is calling,on a skateboard,,,,,,,,,,,,,,,,,,,,he is on his phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ped is on escooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,,,,,,,,,,,,,,,,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,Alighted,Alighted,Boarded,Boarded,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:42:37 PM,3:42:37 PM,3:42:37 PM,3:42:37 PM,,,,,,,,,,,,,,,,3:42:37 PM,4:07:17 PM,4:31:22 PM,4:31:22 PM,4:31:22 PM,4:44:41 PM,4:44:04 PM,5:37:53 PM,2:03:36 PM,2:03:36 PM,2:44:34 PM,1:14:54 PM,1:14:54 PM,1:38:57 PM,1:38:57 PM,1:38:57 PM,6:19:30 PM,6:36:50 PM,12:43:19 PM,12:43:19 PM,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:43:00 PM,3:43:00 PM,3:43:00 PM,3:43:00 PM,,,,,,,,,,,,,,,,3:43:00 PM,4:07:23 PM,4:31:35 PM,4:31:35 PM,4:31:35 PM,4:44:56 PM,4:44:56 PM,5:38:05 PM,2:03:47 PM,2:03:47 PM,2:44:45 PM,1:15:07 PM,1:15:07 PM,1:39:33 PM,1:39:33 PM,1:39:33 PM,6:19:38 PM,6:37:00 PM,12:43:30 PM,12:43:30 PM,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,No,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,No,,,,,,No,,,,,,,,,,,,,,
Pedestrian Phase Crossing,No,No,No,Yes,No,Yes,Yes,N/A,N/A,N/A,Yes,No,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,No,N/A,Yes,Yes,N/A,Yes,Yes,Yes,Yes,No,,N/A,,,Yes,Yes,N/A,Yes,Yes,N/A,Yes,Yes,Yes,N/A,N/A,No,Yes,Yes,Yes,,,,,,N/A,N/A,N/A,,,,,,N/A,,,,,,,,,,,,,,
Intend to Cross Timestamp,3:01:55 PM,3:01:55 PM,3:02:46 PM,3:03:34 PM,3:03:13 PM,3:04:13 PM,3:04:26 PM,3:04:37 PM,3:04:37 PM,3:04:37 PM,3:05:06 PM,3:08:20 PM,3:11:15 PM,3:12:56 PM,3:14:34 PM,3:16:31 PM,3:16:31 PM,3:16:33 PM,3:17:11 PM,3:17:38 PM,3:17:38 PM,3:21:50 PM,3:21:50 PM,3:20:37 PM,3:25:37 PM,3:25:55 PM,3:25:52 PM,3:27:09 PM,3:30:56 PM,3:30:40 PM,3:30:40 PM,,3:34:27 PM,3:34:27 PM,3:34:27 PM,3:35:09 PM,3:39:06 PM,,3:42:55 PM,,,3:43:18 PM,3:44:00 PM,3:46:44 PM,3:47:23 PM,3:48:12 PM,3:50:20 PM,3:49:00 PM,3:49:05 PM,3:50:45 PM,3:56:37 PM,3:56:37 PM,3:57:04 PM,3:58:29 PM,3:58:29 PM,3:58:29 PM,,,,,,4:45:22 PM,4:45:22 PM,5:38:24 PM,,,,,,1:39:10 PM,,,,,,,,,,,,,,
Crossing Start Time,3:01:56 PM,3:10:26 PM,3:02:46 PM,3:03:34 PM,3:04:08 PM,3:04:36 PM,3:04:36 PM,3:04:48 PM,3:04:48 PM,3:04:48 PM,3:05:06 PM,3:08:36 PM,3:11:19 PM,3:13:14 PM,3:14:34 PM,3:16:31 PM,3:16:31 PM,3:16:33 PM,3:17:11 PM,3:17:39 PM,3:17:39 PM,3:21:50 PM,3:21:50 PM,3:20:37 PM,3:25:49 PM,3:26:43 PM,3:26:45 PM,3:27:09 PM,3:30:57 PM,3:33:26 PM,3:33:26 PM,3:33:36 PM,3:35:16 PM,3:35:16 PM,3:35:16 PM,3:35:20 PM,3:39:06 PM,,,,,3:43:47 PM,3:44:00 PM,3:47:02 PM,3:47:44 PM,3:48:12 PM,3:50:27 PM,3:50:27 PM,3:50:27 PM,3:50:45 PM,3:56:37 PM,3:56:37 PM,3:57:04 PM,3:58:52 PM,3:58:52 PM,3:58:52 PM,,,,,,,,5:38:24 PM,,,,,,1:39:10 PM,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,3:04:25 PM,,,,,,,,,,,,,,,,,,,3:22:54 PM,,,,,,,,,,,,,3:39:14 PM,,,,,,,3:47:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,3:04:37 PM,,,,,,,,,,,,,,,,,,,3:23:06 PM,,,,,,,,,,,,,3:39:16 PM,,,,,,,3:47:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A,N/A,Yes,Yes,N/A,Yes,,,Yes,N/A,,N/A,,,Yes,Yes,N/A,Yes,Yes,N/A,Yes,Yes,No,N/A,N/A,N/A,Yes,Yes,Yes,,,,,,N/A,N/A,N/A,,,,,,N/A,,,,,,,,,,,,,,
Crossing End Time,3:02:07 PM,3:02:07 PM,3:02:57 PM,3:03:38 PM,3:04:33 PM,3:04:48 PM,3:04:49 PM,3:05:01 PM,3:05:01 PM,3:05:03 PM,3:05:10 PM,3:08:42 PM,3:11:35 PM,3:13:23 PM,3:14:40 PM,3:16:38 PM,3:16:37 PM,3:16:40 PM,3:17:22 PM,3:17:48 PM,3:17:48 PM,3:21:58 PM,3:21:58 PM,3:23:17 PM,3:25:57 PM,3:26:51 PM,3:26:55 PM,3:27:13 PM,3:31:08 PM,3:33:38 PM,3:33:38 PM,3:33:43 PM,3:35:32 PM,3:35:32 PM,3:35:32 PM,3:35:29 PM,3:32:21 PM,,3:43:09 PM,,,3:43:59 PM,3:44:11 PM,3:47:37 PM,3:47:55 PM,3:48:27 PM,3:50:36 PM,3:50:40 PM,3:50:44 PM,3:50:59 PM,3:56:50 PM,3:56:50 PM,3:57:08 PM,3:59:17 PM,3:59:17 PM,3:59:17 PM,,,,,,4:45:33 PM,4:45:33 PM,5:38:37 PM,,,,,,1:29:20 PM,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Courtesy Run,Other,Run,Walk,Walk,Walk,Walk,Walk,Cyclist,Courtesy Run,Walk,Walk,Cyclist,Cyclist,Cyclist,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Run,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Cyclist,,Walk,,,Walk,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Other,Walk,Walk,Walk,,,,,,Walk,Walk,Walk,,,,,,Walk,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,No,No,No,,,,,,No,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Behind,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,,,,,,N/A,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,At,At,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,,,,Upstream,Upstream,Upstream,,,,,,Downstream,,,,,,,,,,,,,,
Noteworthy Events,,,,,car had to break very hard,,,,,,,"pressed button but did not wait for ped phase ",,,,car had to stop for cyclists,car had to stop for cyclists,car had to stop for cyclists,,,,,,,,,,kept running after crossing,,,,,,,,,,,"started crossing rught behind bus, ended crossing on crosswalk",,,,,,,,,,crosses diagonally,,,,,"Pedestrian crosses two roads, without using a refuge island","Pedestrian crosses two roads, without using a refuge island","Pedestrian crosses two roads, without using a refuge island",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver Behavior,medium,medium,medium,high,high,medium,medium,medium,medium,medium,medium,high,medium,medium,high,high,high,high,medium,medium,medium,medium,medium,high,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,,medium,,,high,high,medium,medium,low,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,,,,,,medium,medium,medium,,,,,,medium,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,there are two refuge island. the one mentioned is the street corner where he goes 90 degrees right to cross the main street.,,,,,,,,,,,,,,bus stopped on minor road,"bus stopped on minor road ",bus stopped on minor road,bus stopped on minor road,,,,,,,,,,,,,,,,bus stopped on minor road,,,,,bus stopped on minor road,bus stopped on minor road,bus stopped on minor road,,,bus stopped on minor road,bus stopped on minor road,bus stopped on minor road,bus stopped on minor road,bus stopped on minor road,bus stopped on minor road,,bus stopped on minor road,bus stopped on minor road,bus stopped on minor road,,,,,,,,
