Visibility Scale,2,1,3,2,2,2,3,2,2,3,2,2,2,2,2,1,2,3,1,3,2,1,2,3,2,2,3,1,1,1,2,2,3,1,3,3,2,2,3,1,2,3,2,2,1,1,1,2,3,2,3,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,,,,,,,,Boarded,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,3:42:38 PM,3:42:38 PM,3:42:38 PM,3:42:38 PM,,,,,,,,4:07:16 PM,4:31:22 PM,4:31:22 PM,4:31:22 PM,4:44:42 PM,4:44:42 PM,12:43:19 PM,12:43:19 PM,1:14:56 PM,1:14:56 PM,1:38:58 PM,1:38:58 PM,1:38:58 PM,2:03:35 PM,2:03:35 PM,2:44:38 PM,5:37:55 PM,6:19:29 PM,6:36:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,3:43:00 PM,3:43:00 PM,3:43:00 PM,3:43:00 PM,,,,,,,,4:07:24 PM,4:31:33 PM,4:31:33 PM,4:31:33 PM,4:44:54 PM,4:44:54 PM,12:43:30 PM,12:43:30 PM,1:15:05 PM,1:15:05 PM,13:39:33,13:39:33,13:39:33,2:03:37 PM,2:03:37 PM,2:44:46 PM,5:38:04 PM,6:19:23 PM,6:36:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,No,Yes,No,No,,,,,Yes,Yes,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,Yes,Yes,Yes,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,Yes,Yes,Yes,No,No,No,,Yes,,,Yes,Yes,Yes,N/A,Yes,N/A,N/A,,,,,No,No,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intention to Cross Timestamp ,3:01:54 PM,3:01:54 PM,3:02:47 PM,3:04:38 PM,3:04:38 PM,3:04:38 PM,3:06:47 PM,3:06:47 PM,3:08:16 PM,,,,,3:17:38 PM,3:17:38 PM,3:20:38 PM,3:21:50 PM,3:21:50 PM,3:25:38 PM,3:25:51 PM,3:33:23 PM,3:33:23 PM,3:34:27 PM,3:34:27 PM,3:34:27 PM,,3:43:00 PM,,,3:47:16 PM,3:48:13 PM,3:49:14 PM,3:50:21 PM,3:50:46 PM,3:56:37 PM,3:56:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,3:01:55 PM,3:01:55 PM,3:02:47 PM,3:04:48 PM,3:04:48 PM,3:04:48 PM,3:06:47 PM,3:06:47 PM,3:08:36 PM,3:14:35 PM,3:16:31 PM,3:16:31 PM,3:16:33 PM,3:17:39 PM,3:17:39 PM,3:20:38 PM,3:21:50 PM,3:21:50 PM,3:25:38 PM,3:26:44 PM,3:33:23 PM,3:33:23 PM,3:35:16 PM,3:35:16 PM,3:35:16 PM,,3:43:00 PM,,,3:47:30 PM,3:48:13 PM,3:50:26 PM,3:50:26 PM,3:50:46 PM,3:56:37 PM,3:56:37 PM,,,,,4:45:22 PM,4:45:22 PM,,,,,1:39:11 PM,,,,,,5:38:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,3:20:47 PM,,,,,,,,,,,3:43:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,3:22:45 PM,,,,,,,,,,,3:43:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,Yes,Yes,Yes,No,No,No,,No,,,Yes,Yes,Yes,N/A,No,N/A,N/A,,,,,No,No,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:02:07 PM,3:02:07 PM,3:02:56 PM,3:05:05 PM,3:05:03 PM,3:05:03 PM,3:06:52 PM,3:06:52 PM,3:08:42 PM,3:14:40 PM,3:16:38 PM,3:16:38 PM,3:16:40 PM,3:17:47 PM,3:17:47 PM,3:23:01 PM,3:21:59 PM,3:21:59 PM,3:25:57 PM,3:26:55 PM,3:33:37 PM,3:33:37 PM,3:35:33 PM,3:35:33 PM,3:35:33 PM,,3:43:37 PM,,,3:47:36 PM,3:48:28 PM,3:50:40 PM,3:50:36 PM,3:51:00 PM,3:56:53 PM,3:56:53 PM,,,,,4:45:34 PM,4:45:34 PM,,,,,1:39:21 PM,,,,,,5:38:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Walk,Walk,Walk,Walk,Walk,Cyclist,Cyclist,Run,Cyclist,Cyclist,Cyclist,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,Walk,Walk,Walk,,Walk,,,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,,,,,Walk,Walk,,,,,Walk,,,,,,Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,,Yes,,,No,No,No,No,No,No,No,,,,,No,No,,,,,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,Behind,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,Upstream,Upstream,Upstream,,Upstream,,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,,,Upstream,Upstream,,,,,N/A,,,,,,Upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver Behavior,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,,,medium,medium,medium,medium,medium,medium,medium,light,light,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,,,,,light,,,,medium,medium,light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
