Group Size,2,2,1,3,3,3,2,2,1,1,3,3,3,2,2,2,2,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,,,,,,,,,,,,,,,
Estimated Gender,Hard to Tell,Hard to Tell,Male,female,male,hard to tell,male,male,hard to  tell,hard to tell,hard to tell,hard to tell,hard to tell,male,male,female,hard to tell,male,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,male,male,female,male,male,female,hard to tell,female,female ,hard to tell,female,female,female,Female,Female,Male,Female,Male,Male,Female,Male,Female,Female,Female,Male,,,,,,,,,,,,,,,
Estimated Age Group,Hard to Tell,Hard to Tell,hard to tell,36-50,0-20,21-35,0-20,0-20,hard to tell,hard to tell,0-20,hard to tell,0-20,0-20,0-20,hard to tell,hard to tell,36-50,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,36-50,>50,hard to tell,0-20,0-20,36-50,hard to tell,36-50,0-20,hard to tell,36-50,0-20,hard to tell,>50,36-50,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,,,,,,,,,,,,,,,
Clothing Color,white,black,black,black,black,white ,hard to tell,hard to tell,black,hard to tell,white ,hard to tell,hard to tell,white,white,white,black,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,black,white,hard to tell,hard to tell,hard to tell,white,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,white,white,yellow,white,black,black,black,black,black,white,white,white,grey,,,,,,,,,,,,,,,
Visibility Scale,3,3,3,3,3,3,2,2,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,3,1,1,1,1,3,3,2,2,2,3,2,3,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,3,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,no,no,no,no,no ,no ,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,No,No,No,No,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,Hard to Tell,No,No,No,No,No,No,Hard to Tell,No,No,,,,,,,,,,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,no,no ,no ,no ,no ,no ,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Yes,Yes,Yes,Yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,No,No,No,No,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,,,,,,,,alighted,,alighted,alighted,alighted,alighted,alighted,alighted,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,Alighted,Alighted,Boarded,Boarded,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,3:42:37 PM,3:42:37 PM,3:42:37 PM,3:42:37 PM,,,,,,,,4:07:17 PM,,4:31:21 PM,4:31:21 PM,4:31:21 PM,4:44:40 PM,4:44:40 PM,5:37:52 PM,2:03:36 PM,2:03:36 PM,2:44:34 PM,1:14:54 PM,1:14:54 PM,1:38:57 PM,1:38:57 PM,1:38:57 PM,6:19:30 PM,6:36:50 PM,12:43:19 PM,12:43:19 PM,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,3:42:59 PM,3:42:59 PM,3:42:59 PM,3:42:59 PM,,,,,,,,4:07:23 PM,,4:31:34 PM,4:31:34 PM,4:31:34 PM,4:44:55 PM,4:44:55 PM,5:38:04 PM,2:03:47 PM,2:03:47 PM,2:44:45 PM,1:15:07 PM,1:15:07 PM,1:39:33 PM,1:39:33 PM,1:39:33 PM,6:19:38 PM,6:37:00 PM,12:43:30 PM,12:43:30 PM,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they crossed from the crosswalk that we are not looking at.,they crossed from the crosswalk that we are not looking at.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,yes,no,no,no,yes ,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,No,No,No,No,no,yes,yes,no,yes,no,no,no,no,,,,yes,yes,no,,,,,,No,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Intention to Cross Timestamp ,3:01:54 PM,3:01:54 PM,3:02:42PM,3:04:45 PM,3:04:45 PM,3:04:45 PM,3:06:54 PM,3:06:54 PM,3:08:26 PM,3:14:33 PM,3:16:30 PM,3:16:30 PM,3:16:30 PM,3:17:39PM,3:17:39PM,3:21:48 PM,3:21:48 PM,3:25:36 PM,3:26:31 PM,3:33:24 PM,3:34:35 PM,3:34:35 PM,3:34:35 PM,,,,,3:47:26 PM,3:48:10 PM,3:49:52 PM,3:50:19 PM,3:50:43 PM,3:56:36 PM,3:56:36 PM,,4:11:25 PM,,,,,,5:38:23 PM,,,,,,1:39:10 PM,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,3:01:55 PM,3:01:55 PM,3:02:44PM,3:04:48 PM,3:04:49 PM,3:04:48 PM,3:06:56 PM,3:06:55 PM,3:08:36 PM,3:14:34 PM,3:16:31PM,3:16:32 PM,3:16:33PM,3:17:39PM,3:17:40PM,3:21:50 PM,3:21:50 PM,3:25:39 PM,3:26:32 PM,3:33:26 PM,3:35:18 PM,3:35:18 PM,3:35:18 PM,,,,,3:47:29 PM,3:48:12 PM,3:50:27 PM,3:50:27 PM,3:50:45 PM,3:56:38 PM,3:56:38 PM,,4:01:27 PM,,,,,,5:38:25 PM,,,,,,1:39:10 PM,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:02:07 PM,3:02:07 PM,3:02:58PM,3:05:04,3:05:06,3:05:05,3:07:13,3:07:18,3:08:43 PM,3:14:41PM,3:16:38PM,3:16:40PM,3:16:41PM,3:17:46PM,3:17:46PM,3:22:00 PM,3:22:00 PM,3:25:58 PM,3:26:56 PM,3:33:41 PM,3:35:32 PM,3:35:32 PM,3:35:32 PM,,,,,3:47:35 PM,3:48:29 PM,3:50:41 PM,3:50:38 PM,3:51:01 PM,3:56:53 PM,3:56:53 PM,,4:11:37 PM,,,,,,5:38:36 PM,,,,,,1:29:20 PM,,,,,,,,,,,,,,,,,,,,,
Crossing Interaction Notes,Walk,Walk,walk,walk,walk,walk,cyclist,cyclist,courtesy run,cyclist,cyclist,cyclist,cyclist,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,,,,,cyclist,walk,walk,walk,walk,walk,walk,,courtesy run,,,,,,walk,,,,,,Walk,,,,,,,,,,,,,,,,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,No,No,No,No,No,No,No,No,No,,no,,,,,,no,,,,,,No,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,n/a,n/a,n/a,n/a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,,,,,,upstream,,,,,,Downstream,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver Behavior,medium,medium,medium,light,light,light,medium,medium,medium,medium,medium,medium,medium,light,light,light,light,medium,light,medium,high,high,high,,,,,medium,medium,high,high,medium,light,light,,medium,,,,,,light,,,,,,medium,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,bus stopped on minor road,bus stopped on minor road,bus stopped on minor road,bus stopped on minor road,,,,,,,,,,,,,bus stopped on minor road,bus stopped on minor road,bus stopped on minor road,,,bus stopped on minor road,bus stopped on minor road,bus stopped on minor road,bus stopped on minor road,bus stopped on minor road,bus stopped on minor road,,bus stopped on minor road,bus stopped on minor road,bus stopped on minor road,,,,,,,,,,,,,,,
