Group Size,1,1,1,3,3,3,1,1,1,1,1,,1,,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Estimated Gender,Hard to Tell,Hard to Tell,Hard to Tell,Female,Female,Female,Male,Male,Female,Male,Female,,Hard to Tell,,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Female,Hard to Tell,Hard to Tell,Male,Male,Male,Female,Female,Female,Female,Male,Male,Female,Male,Male,Female,Male,Female,Male,Male,Male,Female,Male,Female,Female,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Male,Female,Female,Female,,Male,Female,Hard to Tell,Hard to Tell,Hard to Tell,,,,,,
Estimated Age Group,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,36-50,21-35,21-35,21-35,>50,21-35,,Hard to Tell,,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,>50,>50,Hard to Tell,Hard to Tell,36-50,36-50,36-50,21-35,21-35,21-35,21-35,>50,21-35,21-35,21-35,21-35,21-35,21-35,21-35,,,,21-35,21-35,21-35,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,21-35,,,,,Hard to Tell,Hard to Tell,Hard to Tell,,,,,,
Clothing Color,Hard to Tell,Hard to Tell,Hard to Tell,White,Black,Orange,Blue,Gray,White,Black,Black,,Hard to Tell,,Hard to Tell,Hard to Tell,Hard to Tell,White,Black,Black,Hard to Tell,Hard to Tell,Hard to Tell,White,Black,White,Blue,Black,White,White,White,Black,White,Black,Black,Green,Black,Orange,Black,Black,Black,Light color,Red,Black,Black,White,Black,Green,Black,White,Black,Blue,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Green,Black,Pink,Blue,Red,White,Black,Black,Hard to Tell,Hard to Tell,Hard to Tell,,,,,,
Visibility Scale,2,2,2,3,3,3,3,2,3,2,3,,2,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
Estimated Visible Distrction,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,No,No,No,No,No,,Hard to Tell,,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,No,No,Hard to Tell,Hard to Tell,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:37:06 PM,3:40:29 PM,3:40:29 PM,4:43:40 PM,4:43:40 PM,4:43:40 PM,4:43:52 PM,4:43:52 PM,4:43:52 PM,4:43:52 PM,4:43:52 PM,4:43:52 PM,4:43:52 PM,4:43:52 PM,4:43:52 PM,5:06:33 PM,5:06:33 PM,5:06:33 PM,5:48:40 PM,6:08:42 PM,6:08:42 PM,6:08:42 PM,6:08:42 PM,6:08:42 PM,6:08:42 PM,6:08:42 PM,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:38:33 PM,3:41:02 PM,3:41:02 PM,4:44:05 PM,4:44:05 PM,4:44:05 PM,4:44:17 PM,4:44:17 PM,4:44:17 PM,4:44:17 PM,4:44:17 PM,4:44:17 PM,4:44:17 PM,4:44:17 PM,4:44:17 PM,5:06:46 PM,5:06:46 PM,5:06:46 PM,5:53:08 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,6:08:59 PM,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He is holding a baby and a skate board,,,He takes a bike off the bus rack,She is in a motorized chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,
Pedestrian Phase Crossing,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,Yes,N/A,N/A,N/A,N/A,Yes,Yes,Yes,,,,,,
Intend to Cross Timestamp,3:00:20 PM,,,3:01:10 PM,3:01:10 PM,3:01:10 PM,3:02:22 PM,3:02:44 PM,3:02:50 PM,3:03:10 PM,3:03:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:37:34 PM,3:37:34 PM,3:37:53 PM,3:40:39 PM,3:40:29 PM,,,,,,,,,,4:44:17 PM,4:44:20 PM,4:44:22 PM,4:44:22 PM,,5:06:55 PM,5:06:55 PM,5:49:16 PM,,,,,6:09:01 PM,6:09:01 PM,6:09:01 PM,,,,,,
Crossing Start Time,3:00:32 PM,3:00:32 PM,3:00:32 PM,3:01:10 PM,3:01:10 PM,3:01:10 PM,3:02:22 PM,3:02:44 PM,3:02:50 PM,3:03:10 PM,3:03:41 PM,,3:04:56 PM,,3:07:16 PM,3:07:16 PM,3:07:16 PM,3:09:11 PM,3:09:11 PM,3:09:11 PM,3:13:02 PM,3:13:02 PM,3:14:48 PM,3:14:48 PM,3:14:48 PM,3:15:00 PM,3:15:00 PM,3:17:03 PM,3:20:22 PM,3:20:46 PM,3:21:28 PM,3:21:28 PM,3:23:36 PM,3:23:36 PM,3:23:36 PM,,,,3:37:35 PM,3:37:35 PM,3:37:53 PM,,3:40:29 PM,,,,,,,,,,4:44:17 PM,4:44:20 PM,4:44:22 PM,4:44:22 PM,,5:06:55 PM,5:06:55 PM,5:49:30 PM,,,,,,,,,,,,,
Refuge Island Start Time,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:37:45 PM,3:37:45 PM,3:38:00 PM,,3:40:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:37:46 PM,3:37:46 PM,3:38:01 PM,,3:40:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,,,Yes,Yes,Yes,Yes,,N/A,N/A,,,,,,,,,,,,,,
Crossing End Time,3:00:42 PM,3:00:47 PM,3:00:57 PM,3:01:18 PM,3:01:18 PM,3:01:18 PM,3:02:30 PM,3:02:54 PM,3:03:17 PM,3:03:26 PM,3:03:50 PM,,3:05:11 PM,,3:07:30 PM,3:07:33 PM,3:07:33 PM,3:09:33 PM,3:09:33 PM,3:09:33 PM,3:13:17 PM,3:13:20 PM,3:14:56 PM,3:15:06 PM,3:15:03 PM,3:15:24 PM,3:15:24 PM,3:17:19 PM,3:20:36 PM,3:20:56 PM,3:21:52 PM,3:21:52 PM,3:23:49 PM,3:23:54PM,3:24:07PM,,,,3:37:54 PM,3:37:54 PM,3:38:05 PM,,3:40:53 PM,,,,,,,,,,4:44:34 PM,4:44:35 PM,4:44:43 PM,4:44:43 PM,,5:07:17 PM,5:07:11 PM,5:49:50PM,,,,,6:09:23 PM,6:09:23 PM,6:09:23 PM,,,,,,
Crossing Interaction Notes,Cyclist,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,Walk,,Run,Run,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,,,,Walk,Walk,Walk,,Walk,,,,,,,,,,Walk,Walk,Walk,Walk,,Walk,Courtesy Run,Walk,,,,,Walk,Walk,Walk,,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,Yes,Yes,,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,,No,No,Yes,,,,,Yes,Yes,Yes,,,,,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Behind,Behind,Behind,,Behind,,,,,,,,,,Behind,Behind,Behind,Behind,,N/A,N/A,Behind,,,,,Behind,Behind,Behind,,,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream,,,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,,At,At,At,,At,,,,,,,,,,Upstream,Upstream,Upstream,Upstream,,Downstream,Downstream,Upstream,,,,,Upstream,Upstream,Upstream,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,Zero,Zero,Zero,Zero,Zero,Zero,Light,Light,Zero,Zero,,,Zero,,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Light,Light,Zero,Zero,Zero,Zero,,,,Light,Light,Light,,Light,,,,,,,,,,Zero,Zero,Zero,Zero,,Light,Light,Zero,,,,,Zero,Zero,Zero,,,,,,
General Reviewer Notes,,I think peds are allowed to cross diagonally at this intersection during the ped phase,I think peds are allowed to cross diagonally at this intersection during the ped phase,Gothic St Crossing,Gothic St Crossing,Gothic St Crossing,Gothic St Crossing,Gothic St Crossing,,Gothic St Crossing,Gothic St Crossing,,,,,,,,,,,,,,,They jaywalk around the time the other cars are stopped,They jaywalk around the time the other cars are stopped,,,Jaywalk,,,,,,Crosses on Gothic crosswalk,Crosses on Gothic crosswalk,Crosses on Gothic crosswalk,Jaywalk behind bus,Jaywalk behind bus,,,,Crosses on Gothic crosswalk,,,,,Crosses on Gothic crosswalk,Crosses on Gothic crosswalk,Crosses on Gothic crosswalk,Crosses on Gothic crosswalk,,,,,Crosses on Gothic crosswalk,,,,Crosses on Gothic crosswalk,Crosses on Gothic crosswalk,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
