Group Size,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1
Estimated Gender,Male,Male,Female,Male,Male,Female,Female,Female,Female,Female,Female,Male,Male,Male,Female,Hard to Tell,Female,Female,Male,Male,Hard to Tell,Male,Male,Female,Female,Female,Female,Male,Male,Female,Female,Female,Female,Male,Male,Female,Female,Male,Male,Female,Male,Male,Female,Male,Hard to Tell,Female,Female,Male,Male,Female,Female,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Female,Hard to Tell,Female,Female,Hard to Tell,Female,Male,Female,Male,Male,Female,Hard to Tell,Female
Estimated Age Group,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,>50,21-35,0-20,21-35,21-35,21-35,36-50,Hard to Tell,21-35,21-35,21-35,21-35,21-35,21-35,>50,21-35,21-35,21-35,36-50,21-35,36-50,21-35,21-35,21-35,21-35,0-20,36-50,36-50,36-50,>50,36-50,0-20,36-50,36-50,21-35,>50,21-35,21-35,0-20,21-35,Hard to Tell,21-35,21-35,21-35,0-20,21-35,>50,Hard to Tell,36-50,0-20,>50,21-35,21-35,>50,Hard to Tell,>50
Clothing Color,Black,Grey,Black,Red,Blue,White,Black,White,Yellow,Yellow,Yellow,Blue,Black,White,Black,Grey,Red,White,Black,Grey,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Pink,Grey,Black,Black,Black,Black,Black,White,Black,Black,Black,Black,Red,Black,Black,Grey,Blue,Black,Black/Red,White,White,Black,Brown,Black,White,Black,Black,Red,White,White,White,Grey,Grey,Red,Black,Black,Red,White,Red
Visibility Scale,2,1,3,2,1,1,2,1,3,3,3,1,2,2,1,1,2,2,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,1,2,1,3,2,2,1,2,2,1,2,2,2,2,2,3,1,3
Estimated Visible Distrction,Hard to Tell,Hard to Tell,No,No,Hard to Tell,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Hard to Tell,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Hard to Tell,No,No,No,Yes,No,No,No,Hard to Tell,Hard to Tell,Yes,Hard to Tell,No,No,No,No,Hard to Tell,No,No,No,No,No,No,Hard to Tell,No
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulling a cart,Test,,,,,,,,,,,,,Pushing a cart,Dropped off at the bus stop by car,Pushing a stroller,,Pushing a cart,,,Pushing a cart,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
Type of Bus Interaction,,,,,,,,,,,,,Boarded,,,,Alighted,Alighted,,,,,,,,,,Boarded,,,,,,,,,,,,,,,Boarded,Alighted,,,,,Alighted,Boarded,Boarded,Boarded,Alighted,Boarded,Boarded,Alighted,Boarded,Boarded,Alighted,Alighted,Boarded,Boarded,Boarded,Alighted,Alighted,Boarded,Waited at Bus Stop,Alighted,Boarded
Bus Stop Arrival Time,,,,,,,,,,,,,9:39:42 AM,,,,9:47:31 AM,9:47:31 AM,,,,,,,,,,9:50:28 AM,,,,,,,,,,,,,,,10:13:22 AM,10:13:07 AM,,,,,10:28:56 AM,10:30:57 AM,10:33:58 AM,10:33:58 AM,10:36:07 AM,11:51:25 AM,11:56:09 AM,11:56:17 AM,12:04:24 PM,12:04:24 PM,12:04:37 PM,12:04:37 PM,12:23:48 PM,12:27:45 PM,12:32:02 PM,12:34:56 PM,12:34:56 PM,12:39:32 PM,12:53:58 PM,1:00:11 PM,1:17:41 PM
Bus Stop Departure Time,,,,,,,,,,,,,9:42:02 AM,,,,9:47:36 AM,9:47:42 AM,,,,,,,,,,9:58:14 AM,,,,,,,,,,,,,,,10:13:37 AM,10:13:38 AM,,,,,,10:36:27 AM,10:36:27 AM,10:36:27 AM,10:36:11 AM,11:56:27 AM,11:56:27 AM,11:56:26 AM,12:05:05 PM,12:05:05 PM,12:04:46 PM,12:05:03 PM,12:28:15 PM,12:28:15 PM,12:35:11 PM,12:35:04 PM,12:35:07 PM,12:46:32 PM,12:58:53 PM,1:00:20 PM,1:18:47 PM
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot tell when the user left the bus stop, garbage truck covers the bus stop then he's gone",,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,Yes,Yes,No,,
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,N/A,,,,,,,,,,,,,,,N/A,N/A,N/A,,
Intend to Cross Timestamp,9:25:33 AM,9:25:46 AM,9:25:54 AM,9:28:26 AM,9:29:49 AM,9:33:15 AM,9:34:20 AM,9:34:44 AM,9:36:58 AM,9:36:58 AM,9:36:58 AM,9:38:43 AM,,9:46:47 AM,9:47:01 AM,9:47:01 AM,,,9:51:33 AM,9:52:23 AM,9:52:27 AM,9:55:07 AM,9:55:34 AM,9:57:08 AM,9:57:08 AM,9:57:20 AM,9:58:04 AM,,9:58:24 AM,10:00:59 AM,10:00:59 AM,10:01:20 AM,10:02:09 AM,10:03:11 AM,10:06:16 AM,10:06:28 AM,10:06:28 AM,10:07:02 AM,10:08:07 AM,10:09:49 AM,10:10:30 AM,10:10:45 AM,,,10:14:44 AM,10:14:44 AM,10:16:14 AM,10:19:35 AM,,,,,,,,,,,,,,,,,12:35:08 PM,12:39:12 PM,12:59:02 PM,,
Crossing Start Time,9:25:34 AM,9:26:01 AM,9:25:54 AM,9:28:26 AM,9:29:54 AM,9:33:15 AM,9:34:22 AM,9:34:44 AM,9:37:02 AM,9:37:02 AM,9:37:02 AM,9:38:43 AM,,9:46:47 AM,9:47:02 AM,9:47:02 AM,,,9:51:33 AM,,,9:55:07 AM,9:55:34 AM,9:57:11 AM,9:57:11 AM,9:57:20 AM,9:58:17 AM,,9:58:24 AM,10:00:59 AM,10:00:59 AM,10:01:20 AM,10:02:09 AM,10:03:11 AM,10:06:16 AM,10:06:28 AM,10:06:28 AM,10:07:02 AM,10:08:07 AM,10:09:49 AM,10:10:30 AM,10:10:45 AM,,,10:14:44 AM,10:14:44 AM,10:16:14 AM,10:19:35 AM,,,,,,,,,,,,,,,,,12:35:08 PM,12:39:12 PM,12:59:04 PM,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,N/A,,,,,,,,,,,,,,,N/A,N/A,N/A,,
Crossing End Time,9:25:48 AM,9:26:09 AM,9:26:04 AM,9:28:36 AM,9:30:05 AM,9:33:25 AM,9:34:35 AM,9:34:55 PM,9:37:14 AM,9:37:14 AM,9:37:14 AM,9:38:48 AM,,9:46:57 AM,9:47:10 AM,9:47:10 AM,,,9:51:43 AM,9:52:38 AM,9:52:39 AM,9:55:19 AM,9:55:45 AM,9:57:20 AM,9:57:20 AM,9:57:29 AM,9:58:30 AM,,9:58:35 AM,10:01:09 AM,10:01:09 AM,10:01:35 AM,10:02:18 AM,10:03:22 AM,10:06:25 AM,10:06:38 AM,10:06:38 AM,10:07:13 AM,10:08:16 AM,10:10:01 AM,10:10:46 AM,10:10:56 AM,,,10:14:53 AM,10:14:54 AM,10:16:23 AM,10:19:42 AM,,,,,,,,,,,,,,,,,12:35:15 PM,12:39:19 PM,,,
Crossing Interaction Notes,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Cyclist,,Walk,Walk,Walk,,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,,,Walk,Walk,Walk,Courtesy Run,,,,,,,,,,,,,,,,,Courtesy Run,Run,Walk,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,,No,,,,,,,,,,,,,,,No,No,No,,
Crossing Location Relative to Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behind,,,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Downstream,At,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,Upstream,,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,Upstream,Upstream,Upstream,Upstream,,Upstream,,,,,,,,,,,,,,,Upstream,Upstream,Downstream,,
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Traffic,2,3,3,2,2,1,2,1,1,1,1,1,,1,,,1,1,2,2,2,1,2,1,1,1,2,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,,1,1,1,2,,,,,,,,,,,,,,,,,2,1,1,,
General Reviewer Notes,,,,,,,,,Tolu & the crew,Tolu & the crew,Tolu & the crew,,,,,,,,,Pedestrian started crossing while covered by a truck,Pedestrian started crossing while covered by a truck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedestrian finished crossing off screen,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Pedestrian was waiting by crosswalk at 9:50:28 AM, but was standing around as if they weren't trying to cross until they just started walking. Intention to cross time stamp unclear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
