Group Size,2,2,1,1,1,1,1,2,2,1,1,3,3,3,1,2,2,1,1,3,3,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Female,Female,Female,Female,Male,Hard To Tell,Male,Male,Female,Female,Male,Female,Female,Female,Male,Male,Female,Female,Female,Male,Male,Male,Male,Female,Male,Female,Female,Male,Female,Male,Female,Male,Male,Male,Female,Male,Male,Female,Female,Male,Female,Male,Female,Female,Male,Male,Male,Male,Male,Hard to Tell,Male,Female,Female,Male,Male,Hard to Tell,Male,Male,Female,Female,Hard to Tell,Male,Female,Male,Hard to Tell,Male,Male,Male,Female,Hard to Tell,Hard to Tell,Hard to Tell,Female,Hard to Tell,Male,Female,Male,Female,Female,Male,Male,Male,Male,Hard to Tell,Female,Male,Female,Hard to Tell,Female,Female,Male,Male,Male,Female,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,21-35,21-35,21-35,21-35,36-50,21-35,36-50,21-35,21-35,36-50,21-35,21-35,21-35,21-35,36-50,21-35,21-35,21-35,21-35,21-35,21-35,21-35,36-50,21-35,36-50,36-50,21-35,36-50,36-50,>50,>50,36-50,21-35,36-50,>50,21-35,21-35,21-35,21-35,36-50,36-50,36-50,>50,21-35,36-50,>50,36-50,36-50,36-50,0-20,21-35,21-35,21-35,21-35,36-50,>50,21-35,>50,36-50,21-35,21-35,21-35,21-35,21-35,36-50,21-35,36-50,36-50,36-50,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,21-35,36-50,>50,21-35,21-35,Hard to Tell,36-50,>50,36-50,Hard to Tell,>50,21-35,21-35,Hard to Tell,21-35,21-35,>50,Hard to Tell,21-35,21-35,36-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,Black,Tan,Black,Brown,Black,Yellow,Black,Black,White,Grey,Black,Black,Tan,Black,Black,Red,Tan,Black,Blue,Black,Red,Blue,Red,Black,Blue,Blue,Black,Brown,Black,Brown,Black,Black,Red,Blue,Black,Grey,Blue,Tan,Brown,Black,Black,Black,Black,Black,Brown,Orange,Green,White,Black,Brown,Black,Black,Black,Blue,Black,Grey,Black,Grey,Black,Hard to Tell,Hard to Tell,Black,Red,Black,Hard to Tell,Brown,Black,Black,Black,Hard to Tell,Black,Hard to Tell,Hard to Tell,Hard to Tell,Blue,Black,Black,Hard to Tell,Hard to Tell,Hard to Tell,Black,Hard to Tell,Black,White,Black,Tan,Tan,Black,Black,Black,Hard to Tell,Black,Black,Black,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,3,3,3,1,3,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,Yes,No,No,No,No,No,No,No ,No ,No ,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,,,,,Phone,,,,,,,,,,,,,Phone,Phone,,,,Dropped off at bus stop by car,,,,On Phone,,On Phone,,,,Red Durag,Phone,Same person from Column AF,Phone,,,,,,,,,,,,,Father,Child,,,,,,,,,,Holding a Tennis (?) Bag,,Couple,Couple ,Drinking Soda,,,,,,On Phone,,,,,On Phone,On Phone,,,,,,Using a Cane,,,,,Carrying Bags,,On Phone Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,Alighted,,,,Alighted,Alighted,Alighted,Alighted,Alighted,,,,,,,,,,,,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,Alighted,Alighted,Alighted,Alighted,Boarded,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,Alighted,Alighted,Alighted,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,3:01:51 PM,,,,3:03:27 PM,3:03:29 PM,3:03:33 PM,3:03:35 PM,3:03:40 PM,,,,,,,,,,,,3:08:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:47:03 PM,3:47:03 PM,3:47:07 PM,3:46:09 PM,3:47:10 PM,3:47:09 PM,3:47:12 PM,3:47:00 PM,3:51:44 PM,3:51:44 PM,3:51:47 PM,4:08:11 PM,4:08:24 PM,4:10:11 PM,4:15:01 PM,4:15:13 PM,4:15:14 PM,4:16:59 PM,4:17:00 PM,4:17:01 PM,4:43:13 PM,4:28:22 PM,4:43:16 PM,4:43:21 PM,4:43:23 PM,4:43:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,3:02:09 PM,,,,3:03:42 PM,3:03:50 PM,3:03:50 PM,3:03:50 PM,3:03:48 PM,,,,,,,,,,,,3:08:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:47:06 PM,3:47:16 PM,3:47:09 PM,3:47:10 PM,3:47:20 PM,3:47:13 PM,3:47:26 PM,3:47:15 PM,3:51:47 PM,3:51:47 PM,3:51:50 PM,4:08:24 PM,,4:10:32 PM,4:15:14 PM,4:15:20 PM,4:15:21 PM,4:17:12 PM,4:17:02 PM,4:17:04 PM,4:43:16 PM,4:43:14 PM,4:43:19 PM,4:43:40 PM,4:43:40 PM,4:43:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bus doesn't pull into bus stop, stops in the middle of road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bus 1  ,Bus 1,Bus 1,Bus 1,Bus 1,Bus 2,Bus 2,Bus 2,,,,,,Bus stops in middle of road ,"Bus stops slightly ahead of bus stop, because cars block the stop",,,Uses the garbage can by the bus stop after departing the bus,,,,Had been waiting at the bus stop for over 10 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,,No,Yes,No,No,,No,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,No,No,Yes,Yes,Yes,No,,No,No,Yes,,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,,,,,,,,,No,,,No,,No,No,,Yes,,,,,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intend to Cross Timestamp,3:00:02 PM,3:00:02 PM,3:00:39 PM,3:00:44 PM,3:00:44 PM,3:01:33 PM,,3:02:16 PM,3:02:16 PM,3:02:52 PM,,3:03:50 PM,3:03:50 PM,3:03:50 PM,3:03:48 PM,3:04:40 PM,3:04:40 PM,3:05:04 PM,3:05:18 PM,3:05:39 PM,3:05:39 PM,3:05:39 PM,3:06:15 PM,3:06:37 PM,3:07:41 PM,3:07:41 PM,3:08:24 PM,3:08:10 PM,3:12:26 PM,3:14:06 PM,3:15:05 PM,3:15:29 PM,3:15:29 PM,3:15:28 PM,3:16:08 PM,3:19:14 PM,3:19:47 PM,3:20:11 PM,3:20:11 PM,3:21:08 PM,3:23:00 PM,3:24:11 PM,3:24:57 PM,3:25:03 PM,3:26:45 PM,3:26:48 PM,3:27:48 PM,3:27:48 PM,3:28:09 PM,3:28:09 PM,3:29:20 PM,3:29:38 PM,3:30:31 PM,3:31:01 PM,3:32:29 PM,3:33:08 PM,3:34:00 PM,3:37:39 PM,3:38:22 PM,3:42:00 PM,3:44:37 PM,3:44:43 PM,3:44:43 PM,3:45:09 PM,3:46:24 PM,3:46:48 PM,3:46:51 PM,3:46:52 PM,3:46:57 PM,,,,,,,,,3:52:04 PM,,,4:08:29 PM,4:07:13 PM,4:10:34 PM,4:15:14 PM,,4:15:19 PM,,,,,4:27:53 PM,4:43:48 PM,4:43:40 PM,4:43:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,3:00:19 PM,3:00:19 PM,3:00:39 PM,3:00:44 PM,3:00:45 PM,3:01:44 PM,,3:03:03 PM,3:03:03 PM,3:03:33 PM,,3:03:50 PM,3:03:51 PM,3:03:51 PM,3:03:54 PM,3:04:51 PM,3:04:51 PM,3:05:14 PM,3:05:18 PM,3:06:11 PM,3:06:12 PM,3:06:14 PM,3:06:16 PM,3:06:43 PM,3:08:24 PM,3:08:24 PM,3:08:27 PM,3:08:10 PM,3:12:32 PM,3:14:08 PM,3:15:06 PM,3:15:29 PM,3:15:29 PM,3:16:52 PM,3:16:10 PM,3:19:53 PM,3:19:50 PM,3:20:13 PM,3:20:13 PM,3:21:09 PM,3:23:03 PM,3:24:37 PM,3:25:03 PM,3:25:04 PM,3:26:45 PM,3:27:01 PM,3:27:48 PM,3:27:48 PM,3:28:33 PM,3:28:33 PM,3:29:29 PM,3:29:39 PM,3:31:13 PM,3:31:02 PM,3:32:31 PM,3:33:21 PM,3:34:01 PM,3:37:39 PM,3:38:25 PM,3:42:01 PM,3:44:47 PM,3:44:46 PM,3:44:46 PM,3:45:10 PM,3:46:25 PM,3:46:52 PM,3:46:52 PM,3:46:53 PM,3:46:57 PM,,,,,,,,,3:52:05 PM,,,4:08:29 PM,4:07:49 PM,4:10:36 PM,4:15:15 PM,,4:15:21 PM,,,,,4:27:54 PM,4:43:49 PM,4:43:41 PM,4:43:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,,,Yes,Yes,Yes,,,,No,Yes,,No,No,No,,,,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,Yes,Yes,,,,,,,Yes,,,Yes,Yes,,,,,Yes,,,,,No,,,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
